"rownum","i32","i32","i32","i32","i32","LegionBalancePerLevelKey","i32","i32"
0,0,90,10,0,0,0,5000,100
1,1,75,25,0,0,0,5000,100
2,2,0,0,100,0,0,5000,100
3,3,0,0,0,100,0,5000,0
4,0,90,10,0,0,1,5000,100
5,1,75,25,0,0,1,5000,100
6,2,0,0,100,0,1,5000,100
7,3,0,0,0,100,1,5000,0
8,0,90,10,0,0,2,5000,100
9,1,75,25,0,0,2,5000,100
10,2,0,0,100,0,2,5000,100
11,3,0,0,0,100,2,5000,0
12,0,90,10,0,0,3,5000,100
13,1,75,25,0,0,3,5000,100
14,2,0,0,100,0,3,5000,100
15,3,0,0,0,100,3,5000,0
16,0,90,10,0,0,4,5000,100
17,1,75,25,0,0,4,5000,100
18,2,0,0,100,0,4,5000,100
19,3,0,0,0,100,4,5000,0
20,0,90,10,0,0,5,5000,100
21,1,75,25,0,0,5,5000,100
22,2,0,0,100,0,5,5000,100
23,3,0,0,0,100,5,5000,0
24,0,90,10,0,0,6,5000,100
25,1,75,25,0,0,6,5000,100
26,2,0,0,100,0,6,5000,100
27,3,0,0,0,100,6,5000,0
28,0,90,10,0,0,7,5000,100
29,1,75,25,0,0,7,5000,100
30,2,0,0,100,0,7,5000,100
31,3,0,0,0,100,7,5000,1
32,0,90,10,0,0,8,5000,100
33,1,75,25,0,0,8,5000,100
34,2,0,0,100,0,8,5000,100
35,3,0,0,0,100,8,5000,1
36,0,90,10,0,0,9,5000,100
37,1,75,25,0,0,9,5000,100
38,2,0,0,100,0,9,5000,100
39,3,0,0,0,100,9,5000,1
40,0,90,10,0,0,10,5000,100
41,1,75,25,0,0,10,5000,100
42,2,0,0,100,0,10,5000,100
43,3,0,0,0,100,10,5000,5
44,0,90,10,0,0,15,5000,100
45,1,75,25,0,0,15,5000,100
46,2,0,0,100,0,15,5000,100
47,3,0,0,0,100,15,5000,6
48,0,90,10,0,0,20,5000,100
49,1,75,25,0,0,20,5000,100
50,2,0,0,100,0,20,5000,100
51,3,0,0,0,100,20,5000,7
52,0,90,10,0,0,24,5000,100
53,1,75,25,0,0,24,5000,100
54,2,0,0,100,0,24,5000,100
55,3,0,0,0,100,24,5000,8
56,0,75,25,0,0,27,6000,100
57,1,75,25,0,0,27,6000,100
58,2,0,0,100,0,27,16000,100
59,3,0,0,0,100,27,24000,0
