"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[5495,5458,5473,1,1]","[5495,5495,1,1]","[5495,5458,5473,1,1]","[5495,5495,1,1]","[5495,5458,5473,1,1]","[5495,5495,1,1]","[5495,5458,5473,1,1]","[5495,5495,1,1]","[5495,5458,5473,1,1]","[5495,5495,1,1]","[5495,5458,5473,1,1]","[5495,5495,1,1]",1316,"[5495,5458,5473,1,1]","[5495,5495,1,1]"
1,"Descent2","[5836,5971,6,5022,6006]","[5836,5971,10,11,11,5021,6006]","[5836,5971,6,5022,6006]","[5836,5971,10,11,11,5021,6006]","[5719,5835,5721,6,5022,5983]","[5719,5835,5721,10,11,11,5021,5983]","[5833,6,5022,5994,5989]","[5833,10,11,11,5021,5994,5989]","[5841,6,5022,5994,5989]","[5841,10,11,11,5021,5994,5989]","[5971,5841,5836,6,5022,5989,6006]","[5971,5841,5836,10,11,11,5021,5989,6006]",1317,"[5836,5841,5971,6,5022,6006,5989]","[5836,5841,5971,10,11,11,5021,5989,6006]"
2,"Descent3","[10,15,10,15,5459,5474,4969,4970,4971,4930,4930,4904,4741,4741,5037]","[10,15,10,15,5459,5474,4969,4970,4971,4930,4931,4932,4904,4741,4741,5037]","[10,15,10,15,5459,5474,4969,4970,4971,4930,4930,4688,4658,4879,4854]","[10,15,10,15,5459,5474,4969,4970,4971,4930,4931,4932,4688,4658,4879,4854]","[10,15,10,15,5459,5474,4969,4970,4971,4930,4930,4688,4688,4797,5513]","[10,15,10,15,5459,5474,4969,4970,4971,4930,4931,4932,4688,4688,4797,5513]","[10,15,10,15,5459,5474,4969,4970,4971,4930,4930,4599,4599,4573,4573]","[10,15,10,15,5459,5474,4969,4970,4971,4930,4931,4932,4599,4599,4573,4573]","[10,15,10,15,5459,5474,4969,4970,4971,4930,4930,4573,4573,4769,4769]","[10,15,10,15,5459,5474,4969,4970,4971,4930,4931,4932,4573,4573,4769,4769]","[10,15,10,15,5459,5474,4969,4970,4971,4930,4930,4769,4769,4826]","[10,15,10,15,5459,5474,4969,4970,4971,4930,4931,4932,4769,4769,4826]",1318,"[10,15,10,15,5459,5474,4969,4970,4971,4930,4930,4769,4769,4879,4658,4658]","[10,15,10,15,5459,5474,4969,4970,4971,4930,4931,4932,4769,4769,4879,4658,4658]"
3,"Descent4","[4968,10,14,1,1,1,5859,5724]","[6,6,5859,5724]","[4968,10,14,1,1,1,5859,5724]","[6,6,5859,5724]","[4968,10,14,1,1,1,5727,5730,5724]","[6,6,5730,5727,5724]","[4968,10,14,1,1,1,5727,5733,5730,5868,5998]","[6,6,5727,5730,5733,5868,5998]","[4968,10,14,1,1,1,5733,5727,5730,5998]","[6,6,5730,5733,5727,5998]","[4968,10,14,1,1,1,5733,5724,5859]","[6,6,5724,5733,5859]",1319,"[4968,10,14,1,1,1,5730,5733,5724]","[6,6,5724,5733,5730]"
4,"Descent5","[5697,0,0,0,0,6,2]","[5697,0,0,0,0,10,11,11,11,11,15,15]","[5697,0,0,0,0,6,2,5711]","[5697,0,0,0,0,10,11,11,11,11,15,15,5711]","[5955,5711,0,0,0,0,6,2]","[5955,5711,0,0,0,0,10,11,11,11,11,15,15]","[5781,0,0,0,0,6,2,5969,5820]","[5969,0,0,0,0,10,11,11,11,11,15,15,5781,5820]","[5781,5969,0,0,0,0,6,2,5820]","[5781,5969,0,0,0,0,10,11,11,11,11,15,15,5820]","[5969,0,0,0,0,6,2,5781,5965,5697]","[5697,5965,0,0,0,0,10,11,11,11,11,15,15,5969,5781]",1320,"[5969,0,0,0,0,6,2,5697,5781]","[5697,0,0,0,0,10,11,11,11,11,15,15,5781,5969]"
5,"Descent6","[4935,5700,5460,5475,6,6,6003]","[4935,5460,5475,5700,11,11,11,11,15,15,6003]","[4935,5700,5460,5475,5865,6,6,6003]","[4935,5865,5460,5475,5700,11,11,11,11,15,15,6003]","[4935,5789,5865,5460,5475,5806,6,6]","[4935,5865,5806,5460,5475,5789,11,11,11,11,15,15]","[4935,5870,5460,5475,5888,5896,6,6,5997,5985]","[4935,5460,5475,5888,5896,5870,11,11,11,11,15,15,5997,5985]","[4935,5807,5460,5475,5896,5800,5696,6,6,5997,5985]","[4935,5696,5460,5475,5800,5896,5807,11,11,11,11,15,15,5997,5985]","[4935,5800,5460,5475,5696,5700,5861,6,6,6003]","[4935,5460,5475,5700,5696,5800,5861,11,11,11,11,15,15,6003]",1321,"[4935,5460,5475,5800,5700,6,6,6003]","[4935,5460,5475,5800,5700,11,11,11,11,15,15,6003]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4743,4743,5038,4905]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4743,4743,5038,4905]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4855,4880,4690,4659]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4855,4880,4690,4659]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4799,4690,4690,5513]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,4799,4690,4690,5513]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4574,4574,4601,4601]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4574,4574,4601,4601]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4574,4574,4771,4771]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4574,4574,4771,4771]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4771,4771,4827]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4771,4771,4827]",1322,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4771,4771,4659,4659,4880]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4771,4771,4659,4659,4880]"
7,"Descent8","[5944,5705,5840,4934,4936,4975,4976,4974,2,6,11]","[5944,5705,5840,4934,4936,4975,4976,4974,12,12,10,10,10,11]","[5944,5705,5840,4934,4936,4975,4976,4974,2,6,11]","[5944,5705,5840,4934,4936,12,12,10,10,10,11,4975,4976,4974]","[5944,5945,5712,5840,4934,4936,4975,4976,4974,2,6,11]","[5944,5945,5712,5840,4934,4936,12,12,10,10,10,11,4975,4976,4974]","[5946,5945,5840,4934,4936,4975,4976,4974,2,6,11]","[5946,5945,5840,4934,4936,12,12,10,10,10,11,4975,4976,4974]","[5946,5945,4934,4936,4975,4976,4974,2,6,11]","[5946,5945,4934,4936,12,12,10,10,10,11,4975,4976,4974]","[5944,5946,5705,4934,4936,4975,4976,4974,2,6,11]","[5944,5946,5705,4934,4936,12,12,10,10,10,11,4975,4976,4974]",1323,"[5945,5946,5944,4934,4936,4975,4976,4974,2,6,11]","[5945,5946,5944,4934,4936,12,12,10,10,10,11,4975,4976,4974]"
8,"Descent9","[4,4,4,6,6,5023,5214,5390,5136,5319,5767,5461,5476,5725,5797,4]","[5021,0,0,0,6,6,4906,4744,5039,5725,5797,5461,5476,5767,4744,0]","[4,4,4,6,6,5023,5266,5426,5167,5356,5767,5461,5476,5725,5797,4]","[5021,0,0,0,6,6,4881,4691,5797,5725,5461,5476,5767,4856,4661,0]","[4,4,4,6,6,5023,5232,5402,5147,5332,5894,5461,5476,5725,5797,5767,4]","[5021,0,0,0,6,6,4800,5513,5797,5725,5461,5476,4691,4691,5894,5767,0]","[4,4,4,6,6,5023,5300,5442,5194,5372,5790,5461,5476,5770,5977,4]","[5021,0,0,0,6,6,5022,4602,4602,5770,5977,5461,5476,5790,4575,4575,0]","[4,4,4,6,6,5023,5249,5414,5157,5344,5770,5461,5476,5790,4]","[5021,0,0,0,6,6,5022,5790,5461,5476,5770,4575,4575,4772,4772,0]","[4,4,4,6,6,5023,5283,5434,5180,5364,5770,5767,5461,5476,5725,5790,5797,4]","[5021,0,0,0,6,6,5022,4772,4772,5790,5797,5461,5476,5725,5767,5770,4828,0]",1324,"[4,4,4,6,6,5023,5266,5426,5167,5356,5770,5767,5461,5476,5790,5725,5797,4]","[5021,0,0,0,6,6,4881,5790,5725,5461,5476,5770,5797,5767,4772,4772,4661,4661,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1325,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
