"rownum","WorldAreasKey","Connections"
0,834,"[1,0]"
1,836,"[2,0,8]"
2,837,"[9,0]"
3,838,[10]
4,839,[11]
5,840,[12]
6,842,[13]
7,843,"[14,0]"
8,844,"[15,0]"
9,845,"[16,0]"
10,846,"[17,0,3]"
11,848,"[18,0]"
12,849,"[19,0]"
13,850,"[20,0]"
14,851,"[21,0]"
15,852,"[22,0]"
16,853,"[23,0,86,0]"
17,855,"[24,0,10]"
18,857,"[25,0]"
19,858,"[26,0]"
20,859,"[27,0]"
21,860,"[28,0]"
22,861,"[29,0,15]"
23,863,"[30,0]"
24,864,"[31,0]"
25,865,"[32,0]"
26,866,"[33,0]"
27,868,"[28,0]"
28,869,"[34,0,21]"
29,871,"[35,0]"
30,872,"[36,0]"
31,873,"[37,0]"
32,874,"[38,0]"
33,875,"[39,0]"
34,876,"[40,0,28]"
35,878,"[41,0]"
36,879,"[42,0,30]"
37,881,"[43,0]"
38,882,"[44,0]"
39,884,"[40,0,33]"
40,886,"[45,0,34,0]"
41,888,"[46,0,63]"
42,889,"[47,0]"
43,890,"[48,0,69]"
44,891,"[49,0]"
45,892,"[50,0]"
46,893,"[51,0]"
47,894,"[52,0]"
48,895,"[53,0]"
49,896,"[54,0]"
50,897,"[55,0]"
51,898,"[56,0]"
52,899,"[57,0]"
53,900,"[58,0]"
54,901,"[55,0]"
55,902,"[59,0,50]"
56,904,"[57,0,60]"
57,905,"[61,0,52]"
58,906,"[62,0]"
59,909,"[63,0]"
60,910,"[64,0]"
61,911,"[65,0]"
62,912,"[66,0]"
63,913,"[67,0,41]"
64,914,"[68,0]"
65,915,"[69,0]"
66,916,"[70,0]"
67,917,"[71,0]"
68,918,"[72,0]"
69,920,"[73,0,43]"
70,921,"[71,0]"
71,922,"[75,0,67]"
72,923,"[76,0]"
73,925,"[77,0]"
74,926,[75]
75,928,"[71,0]"
76,929,[72]
77,930,[73]
78,847,[10]
79,854,[16]
80,856,[17]
81,862,[22]
82,877,[34]
83,880,[36]
84,885,[39]
85,887,[40]
86,754,"[87,0]"
87,755,[86]
