"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","bool","string","bool","bool","i32","i32","i32","i32","bool","i32","[string]","rid","bool","bool","bool","[rid]"
0,"level",1,"","",3,"","Level",1,"",-16843010,-16843010,-16843010,-16843010,1,1043633784,[],18,1,"",1,[]
1,"item_drop_slots",1,"","",3,"","Item Drop Slots","","",-16843010,-16843010,-16843010,-16843010,"",-1300918419,[],"","","",1,[]
2,"main_hand_weapon_type",1,"","",3,"","Main Hand Weapon Type",1,"",-16843010,-16843010,-16843010,-16843010,1,356082681,[],"",1,"",1,[]
3,"off_hand_weapon_type",1,"","",3,"","Off Hand Weapon Type",1,"",-16843010,-16843010,-16843010,-16843010,1,501678916,[],"",1,"",1,[]
4,"current_endurance_charges",1,"","",3,"","Endurance Charges",1,"",-16843010,-16843010,-16843010,-16843010,1,-2122390594,[],"","","",1,[]
5,"current_frenzy_charges",1,"","",3,"","Frenzy Charges",1,"",-16843010,-16843010,-16843010,-16843010,1,623963944,[],"","","",1,[]
6,"current_power_charges",1,"","",3,"","Power Charges",1,"",-16843010,-16843010,-16843010,-16843010,1,489142904,[],"","","",1,[]
7,"cannot_have_life_leeched_from",1,"","",4,"","Cannot be Life-Leeched","","",-16843010,-16843010,-16843010,-16843010,"",-547445160,[],18,"","","",[]
8,"cannot_have_mana_leeched_from",1,"","",4,"","Cannot be Mana-Leeched","","",-16843010,-16843010,-16843010,-16843010,"",-544265574,[],"","","","",[]
9,"monster_slain_experience_+%",1,"","",1,"","Experience From Slain Monsters","","",-16843010,-16843010,-16843010,-16843010,"",-412187701,[],"","","",1,[]
10,"monster_dropped_item_rarity_+%",1,"","",1,"","Rarity of Items Dropped by Monsters","","",-16843010,-16843010,-16843010,-16843010,"",-1176759949,[],"","","",1,[]
11,"monster_dropped_item_quantity_+%","","","",1,"","Quantity of Items Dropped by Monsters","","",-16843010,-16843010,-16843010,-16843010,"",-239722763,[],"","","",1,[]
12,"local_flask_life_to_recover",1,1,"",3,"","Local Flask Life to Recover","","",-16843010,-16843010,-16843010,-16843010,"",-576125868,[],"","","",1,[]
13,"local_flask_life_to_recover_+%",1,1,"",1,"","Local Flask Life to Recover +%","","",-16843010,-16843010,-16843010,-16843010,"",-1198959115,[],"","","",1,[]
14,"local_flask_mana_to_recover",1,1,"",3,"","Local Flask Mana to Recover","","",-16843010,-16843010,-16843010,-16843010,"",1835370919,[],"","","",1,[]
15,"local_flask_mana_to_recover_+%",1,1,"",1,"","Local Flask Mana to Recover +%","","",-16843010,-16843010,-16843010,-16843010,"",395902594,[],"","","",1,[]
16,"local_flask_recovery_speed_+%",1,1,"",1,"","Local Flask Recovery Speed +%","","",-16843010,-16843010,-16843010,-16843010,"",1556748148,[],"","","",1,[]
17,"local_flask_deciseconds_to_recover",1,1,"",3,"","Time to Recover","","",-16843010,-16843010,-16843010,-16843010,"",97193766,[],"","","",1,[]
18,"local_extra_max_charges","",1,"",3,"","Local Extra Charges","","",-16843010,-16843010,-16843010,-16843010,"",-383728497,[],"","","",1,[]
19,"shield_block_%",1,"","",1,"","Shield Block Chance","","",-16843010,-16843010,-16843010,-16843010,1,-1873459806,[],11,"","",1,[]
20,"old_do_not_use_spell_block_%_from_assumed_block_value","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1484398156,[],"","","",1,[]
21,"block_while_dual_wielding_%","","","",1,"","Blocking while Dual Wielding","","",-16843010,-16843010,-16843010,-16843010,"",298807534,[],11,"","",1,[]
22,"block_recovery_+%",1,"","",1,"","Block Recovery Increase","","",-16843010,-16843010,-16843010,-16843010,1,-1638902486,[],11,"","",1,[]
23,"shield_armour_+%",1,"","",1,"","Shield Armour","","",-16843010,-16843010,-16843010,-16843010,"",1669549715,[],9,"","",1,[]
24,"damage_+%",1,"","",1,"","All Damage","","",-16843010,-16843010,-16843010,-16843010,1,-1168998803,[],1,"","",1,[]
25,"spell_damage_+%",1,"","",1,"","Spell Damage +%","","",-16843010,-16843010,-16843010,-16843010,1,78851980,[],1,"","",1,[]
26,"physical_damage_+%",1,"","",1,"","Physical Damage +%","","",-16843010,-16843010,-16843010,-16843010,1,-453783483,[],1,"","",1,[]
27,"local_physical_damage_+%","",1,1,1,"","Local Physical Damage +%","","",790,0,812,0,"",-1544785049,[],"","","",1,[]
28,"global_minimum_added_physical_damage","","","",3,"","Minimum Added Physical Damage","","",-16843010,-16843010,-16843010,-16843010,1,821215114,[],"","","",1,[]
29,"global_maximum_added_physical_damage","","","",3,"","Maximum Added Physical Damage","","",-16843010,-16843010,-16843010,-16843010,"",1816224805,[],"","","",1,[]
30,"attack_minimum_added_physical_damage","","","",3,"","Minimum Added Physical Damage","","",-16843010,-16843010,-16843010,-16843010,"",-1987301089,[],1,"","",1,[]
31,"attack_maximum_added_physical_damage","","","",3,"","Maximum Added Physical Damage","","",-16843010,-16843010,-16843010,-16843010,"",1877497836,[],1,"","",1,[]
32,"local_minimum_added_physical_damage","",1,1,3,"","Local Minimum Added Physical Damage","","",791,0,813,0,"",1855777478,[],"","","",1,[]
33,"local_maximum_added_physical_damage","",1,1,3,"","Local Maximum Added Physical Damage","","",792,0,814,0,"",2141103287,[],"","","",1,[]
34,"physical_axe_damage_+%","","","",1,"","Axe Damage","","",-16843010,-16843010,-16843010,-16843010,"",-1256660353,[],1,"","",1,[]
35,"physical_staff_damage_+%","","","",1,"","Staff Damage","","",-16843010,-16843010,-16843010,-16843010,"",932143818,[],1,"","",1,[]
36,"physical_claw_damage_+%","","","",1,"","Claw Damage","","",-16843010,-16843010,-16843010,-16843010,"",140443962,[],1,"","",1,[]
37,"physical_dagger_damage_+%","","","",1,"","Dagger Damage","","",-16843010,-16843010,-16843010,-16843010,"",-689652613,[],1,"","",1,[]
38,"physical_mace_damage_+%","","","",1,"","Mace Damage","","",-16843010,-16843010,-16843010,-16843010,"",1862394874,[],1,"","",1,[]
39,"physical_bow_damage_+%","","","",1,"","Bow Damage","","",-16843010,-16843010,-16843010,-16843010,"",204052327,[],1,"","",1,[]
40,"physical_sword_damage_+%","","","",1,"","Sword Damage","","",-16843010,-16843010,-16843010,-16843010,"",2133884384,[],1,"","",1,[]
41,"physical_wand_damage_+%","","","",1,"","Wand Damage","","",-16843010,-16843010,-16843010,-16843010,"",1844590324,[],1,"","",1,[]
