"rownum","ModsKey","i32","i32","i32"
0,21972,2,9,100
1,21973,10,14,100
2,21974,15,20,100
3,21982,21,30,50
4,21975,2,9,100
5,21976,10,14,100
6,21977,15,30,100
7,21888,15,30,10
8,21889,15,30,10
9,21890,15,30,10
10,21891,10,14,0
11,21892,15,30,0
12,21893,10,14,0
13,21894,15,30,0
14,21895,10,14,0
15,21896,15,30,0
16,21897,10,14,20
17,21898,15,30,20
18,21899,5,14,35
19,21900,15,30,35
20,21901,5,9,50
21,21902,10,15,50
22,21903,15,30,50
23,21904,2,9,25
24,21905,10,14,25
25,21906,15,20,25
26,21987,21,30,25
27,21907,5,9,25
28,21908,10,14,25
29,21909,15,30,25
30,21910,5,9,25
31,21911,10,14,25
32,21912,15,30,25
33,21913,2,9,25
34,21914,10,14,25
35,21915,15,20,25
36,21988,21,30,25
37,21916,5,9,25
38,21917,10,14,25
39,21918,15,30,25
40,21919,5,9,25
41,21920,10,14,25
42,21921,15,30,25
43,21922,2,9,25
44,21923,10,14,25
45,21924,15,20,25
46,21985,21,30,25
47,21925,5,9,25
48,21926,10,14,25
49,21927,15,30,25
50,21928,5,9,25
51,21929,10,14,25
52,21930,15,30,25
53,21931,2,9,25
54,21932,10,14,25
55,21933,15,20,25
56,21986,21,30,25
57,21934,10,14,25
58,21935,15,17,25
59,21936,15,30,25
60,21937,5,9,25
61,21938,10,14,25
62,21939,15,30,25
63,21940,2,9,25
64,21941,10,14,25
65,21942,15,20,25
66,21989,21,30,25
67,21943,10,14,25
68,21944,15,17,25
69,21945,18,30,25
70,21946,10,14,20
71,21947,15,30,20
72,21948,2,9,20
73,21949,10,14,20
74,21950,15,30,20
75,21951,10,14,10
76,21952,15,17,10
77,21953,15,30,10
78,21954,2,9,100
79,21955,10,14,100
80,21956,15,30,100
81,21957,10,14,25
82,21958,15,30,25
83,21959,10,14,25
84,21960,15,30,25
85,21961,10,14,25
86,21962,15,30,25
87,21963,10,14,0
88,21964,15,30,0
89,21965,10,14,10
90,21966,15,20,10
91,21984,21,30,10
92,21967,10,14,10
93,21968,15,30,10
94,21969,2,9,30
95,21970,10,14,30
96,21971,15,30,30
97,21978,2,9,40
98,21979,10,14,40
99,21980,15,20,40
100,21983,21,30,40
