"rownum","BaseItemTypesKey","AOFile","bool"
0,560,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX.ao",1
1,561,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_SG.ao",""
2,562,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_TW.ao",""
3,563,"Metadata/Effects/Microtransactions/Misc/fireworks/Gore/gorefireworksMTX.ao",""
4,564,"Metadata/Effects/Microtransactions/Misc/arctic_aurora/arcticAurora.ao",""
5,565,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_BR.ao",""
6,566,"Metadata/Effects/misc/darksoulercoaster/rig.ao",""
7,567,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_Classic.ao",""
8,568,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_halloween.ao",""
9,569,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_frigid.ao",""
10,3743,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_valentine.ao",""
