"rownum","Id","i32","f32","rid","rid","rid"
0,"Fire",4,24,3596,163,""
1,"Ice",4,0,6199,164,""
2,"CausticCloud",8,5,4590,466,""
3,"Tar",4,0,4939,165,""
4,"Smoke",8,0,12368,1479,""
5,"Desecration",4,24,2185,202,""
6,"Consecration",10,0,8674,203,1238
7,"Lightning",6,0,10269,227,""
8,"Maelstorm",4,4,4832,692,""
9,"Haste",4,0,"",778,""
10,"Sandstorm",0,24,"",867,""
11,"Blizzard",4,0,"",797,""
12,"Spores",4,24,7291,448,""
13,"DevouringDarkness",4,24,"",836,""
14,"Quicksand",0,24,7932,915,""
15,"Blood",0,24,14661,1113,""
16,"TemporalAnomaly",10,0,10069,1001,1390
17,"OrionMeteor",0,0,"",1416,227
18,"CrownOfThorns",4,24,"",1554,""
19,"VaalCloud",4,24,"",300,""
20,"Profane",10,0,"",1526,""
21,"ChaosOfferingOfJudgement",6,24,"",491,514
22,"FireOfferingOfJudgement",6,24,"",490,514
23,"DespairBearGeyser",0,24,"",860,""
24,"Fungal",0,0,"",1380,1382
25,"BestiarySpiderWeb",0,24,"",1031,""
26,"VaalColdSnap",4,24,7875,1107,""
27,"Oil",4,24,15906,1608,163
28,"Scorch",4,0,"",1697,""
29,"GravityWell",0,24,"",1735,""
30,"LightningVortex",4,4,13930,1760,227
31,"Brittle",4,0,"",1997,""
32,"Sapping",4,0,"",1998,""
33,"Sludge",4,0,"",2006,""
34,"Sanctum",4,0,17499,2090,""
