"rownum","Id","rid","rid","i32","string","bool","i32","bool","i32","i32","rid","rid","i32","bool","i32","i32"
0,0,102,2322,40,"root","",0,"",0,0,"","",0,"",2,2
1,1,191,3030,40,"R_Weapon","",30,"",0,0,"","",0,"",2,2
2,2,281,4205,20,"mouth_fx_mid",1,0,"",20,78,"","",0,"",2,2
3,3,281,4205,20,"mouth_fx_mid","",30,"",0,0,"","",0,"",2,2
4,4,476,5769,18,"facelaser",1,20,1,0,0,"","",0,"",2,2
5,5,109,"",36,"root",1,0,"",0,0,"","",0,"",2,2
6,6,109,"",20,"root",1,0,"",0,0,"","",0,"",2,2
7,7,389,4947,15,"aux_lantern",1,0,"",20,78,"","",0,"",2,2
8,8,446,5402,20,"aux_laser",1,0,"",20,78,"","",0,"",2,2
9,9,461,5596,20,"aux_L_Weapon_attachment","",10,1,0,0,"","",0,"",2,2
10,10,507,6334,20,"death_beam","",0,"",0,0,508,6335,30,1,2,2
11,11,102,2322,30,"root",1,0,"",0,90,"","",10,"",1,0
