"rownum","EPKFile1","EPKFile2","i32","i32","i32","bool","AOFile","bool"
0,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_claw.epk","Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_claw.epk",65,11,65,"","",""
1,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_onehand.epk","Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_onehand.epk",120,11,120,"","",""
2,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_staffmain.epk","Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_staffmain.epk",150,13,150,"","",""
3,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_staffoff.epk","Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_staffoff.epk",150,13,150,"","",""
4,"Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_twohand.epk","Metadata/Effects/Microtransactions/Spells/double_strike/rainbow/double_strike_twohand.epk",150,13,150,"","",""
5,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_L_unarmed.epk","Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_L_unarmed.epk",65,11,65,"","",""
6,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_R_unarmed.epk","Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_R_unarmed.epk",65,11,65,"","",""
7,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_onehand_L.epk","Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_onehand_L.epk",120,11,120,"","",""
8,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_onehand_R.epk","Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_onehand_R.epk",120,11,120,"","",""
9,"Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_twohand.epk","Metadata/Effects/Microtransactions/Spells/smite/valhalla/weapon/smite_enchant_twohand.epk",200,13,200,"","",""
10,"Metadata/Effects/Spells/default_attack/claw_unarded.epk","",65,11,65,"","Metadata/Effects/Spells/melee_trails/default_attack/default_CLAW.ao",""
11,"Metadata/Effects/Spells/default_attack/claw_unarded_L.epk","",65,11,65,"","Metadata/Effects/Spells/melee_trails/default_attack/default_CLAW.ao",""
12,"Metadata/Effects/Spells/default_attack/one_handed.epk","",120,11,120,"","Metadata/Effects/Spells/melee_trails/default_attack/default_1H.ao",""
13,"Metadata/Effects/Spells/default_attack/one_handed_L.epk","",120,11,120,"","Metadata/Effects/Spells/melee_trails/default_attack/default_1H.ao",""
14,"Metadata/Effects/Spells/default_attack/staff_main.epk","",150,13,150,"","Metadata/Effects/Spells/melee_trails/default_attack/default_2H.ao",""
15,"Metadata/Effects/Spells/default_attack/staff_off.epk","",150,13,150,"","Metadata/Effects/Spells/melee_trails/default_attack/default_2H_off.ao",""
16,"Metadata/Effects/Spells/default_attack/two_handed.epk","",150,13,150,"","Metadata/Effects/Spells/melee_trails/default_attack/default_2H.ao",""
17,"Metadata/Effects/Spells/default_attack/claw_unarded.epk Fixed Length","Metadata/Effects/Spells/default_attack/claw_unarded.epk",65,0,65,"","",""
18,"Metadata/Effects/Spells/default_attack/claw_unarded_L.epk Fixed Length","Metadata/Effects/Spells/default_attack/claw_unarded_L.epk",65,0,65,"","",""
19,"Metadata/Effects/Spells/default_attack/one_handed.epk Fixed Length","Metadata/Effects/Spells/default_attack/one_handed.epk",120,0,120,"","",""
20,"Metadata/Effects/Spells/default_attack/one_handed_L.epk Fixed Length","Metadata/Effects/Spells/default_attack/one_handed_L.epk",120,0,120,"","",""
21,"Metadata/Effects/Spells/default_attack/staff_main.epk Fixed Length","Metadata/Effects/Spells/default_attack/staff_main.epk",150,0,150,"","",""
22,"Metadata/Effects/Spells/default_attack/staff_off.epk Fixed Length","Metadata/Effects/Spells/default_attack/staff_off.epk",150,0,150,"","",""
23,"Metadata/Effects/Spells/default_attack/two_handed.epk Fixed Length","Metadata/Effects/Spells/default_attack/two_handed.epk",150,0,150,"","",""
24,"Metadata/Effects/Spells/double_strike_02/double_strike_claw.epk","",65,11,65,"","Metadata/Effects/Spells/melee_trails/double_strike/double_strike_CLAW.ao",""
25,"Metadata/Effects/Spells/double_strike_02/double_strike_onehand.epk","",120,11,120,"","Metadata/Effects/Spells/melee_trails/double_strike/double_strike_1H.ao",""
26,"Metadata/Effects/Spells/double_strike_02/double_strike_staffmain.epk","",150,13,150,"","Metadata/Effects/Spells/melee_trails/double_strike/double_strike_2H.ao",""
27,"Metadata/Effects/Spells/double_strike_02/double_strike_staffoff.epk","",150,13,150,"","Metadata/Effects/Spells/melee_trails/double_strike/double_strike_2H_off.ao",""
28,"Metadata/Effects/Spells/double_strike_02/double_strike_twohand.epk","",150,13,150,"","Metadata/Effects/Spells/melee_trails/double_strike/double_strike_2H.ao",""
29,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_clawunarmed_L.epk","",65,11,65,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_CLAW.ao",""
30,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_clawunarmed_R.epk","",65,11,65,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_CLAW.ao",""
31,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_onehanded_L.epk","",120,11,120,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_1H.ao",""
32,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_onehanded_R.epk","",120,11,120,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_1H.ao",""
33,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_staffmain.epk","",150,13,150,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_2H.ao",""
34,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_staffoff.epk","",150,13,150,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_2H_off.ao",""
35,"Metadata/Effects/Spells/frenzy_02/melee/frenzy_twohanded_R.epk","",150,13,150,"","Metadata/Effects/Spells/melee_trails/frenzy/frenzy_2H.ao",""
36,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_claw.epk","",60,11,60,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_1H.ao",""
37,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_onehand.epk","",110,11,110,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_1H.ao",""
38,"Metadata/Effects/Spells/heavy_strike_02/heavy_strike_onehandoff.epk","",110,11,110,"","Metadata/Effects/Spells/melee_trails/heavy_strike/heavy_strike_1H.ao",""
