"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,9159,"",0
1,9160,"",0
2,9161,"",0
3,9162,"",0
4,9197,"",2
5,9198,"",3
6,9199,"",4
7,9200,"",5
8,9201,"",2
9,9202,"",3
10,9203,"",4
11,9204,"",5
12,9205,0,2
13,9206,0,3
14,9207,0,4
15,9208,0,5
16,9209,1,2
17,9210,1,3
18,9211,1,4
19,9212,1,5
20,9213,2,2
21,9214,2,3
22,9215,2,4
23,9216,2,5
24,9217,3,2
25,9218,3,3
26,9219,3,4
27,9220,3,5
28,9221,4,2
29,9222,4,3
30,9223,4,4
31,9224,4,5
32,9225,5,2
33,9226,5,3
34,9227,5,4
35,9228,5,5
36,9229,6,2
37,9230,6,3
38,9231,6,4
39,9232,6,5
40,9233,7,2
41,9234,7,3
42,9235,7,4
43,9236,7,5
44,9237,8,2
45,9238,8,3
46,9239,8,4
47,9240,8,5
48,9241,"",2
49,9242,"",3
50,9243,"",4
51,9244,"",5
52,9245,"",2
53,9246,"",3
54,9247,"",4
55,9248,"",5
56,9249,"",2
57,9250,"",3
58,9251,"",4
59,9252,"",5
