"rownum","string","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool","WorldAreasKeys","[rid]"
0,"IIQGrind",[],[1037],[],[],1,[0],[]
1,"TierGrind",[],[10014],[8218],[],1,[0],[]
2,"LeaguestoneGrind",[10],[],[],[],1,[0],[]
3,"Twinned",[3],[],[],[28],1,[0],[]
4,"RareUnid","[1,4]",[],[],[27],1,[0],[]
5,"Rare8Mod","[1,8]",[],[],[],1,[0],[]
6,"Rare8ModRed","[1,8,18]",[],[8094],[],1,[0],[]
7,"ShaperInfluenceGrind",[13],[],[],[],1,[0],[]
8,"ElderInfluenceGrind",[14],[],[],[],1,[0],[]
9,"ShaperElderInfluenceGrind",[15],[],[],[],1,[0],[]
10,"ZanaMod",[11],[],[],[],1,[0],[]
11,"CraftedMods",[12],[],[],[],1,[0],[]
12,"Corrupted",[5],[],[],[],1,[0],[]
13,"AnySextant",[21],[],[],[],1,[0],[]
14,"NemesisSextant",[22],[],[],[],1,[0],[]
15,"GroundHasteSextant",[23],[],[],[],1,[0],[]
16,"NoReflectSextant",[24],[],[],[],1,[0],[]
17,"ExtraTeamMonstersSextant",[25],[],[],[],1,[0],[]
18,"BodyguardsSextant",[26],[],[],[],1,[0],[]
19,"BarrelSextant","[27,28,29,30,31,32]",[],[],[],"",[0],[]
20,"ConvertOnDeathSextant",[33],[],[],[],1,[0],[]
21,"OnslaughtIfHitRecentlySextant",[34],[],[],[],1,[0],[]
22,"QualityAffectsRaritySextant",[35],[],[],[],1,[0],[]
23,"CorruptedDropsSextant",[36],[],[],[],1,[0],[]
24,"MinStrongboxRaritySextant",[37],[],[],[],1,[0],[]
25,"PossessedRustedScarabSextant",[38],[],[],[],1,[0],[]
26,"PossessedPolishedScarabSextant",[39],[],[],[],1,[0],[]
27,"PossessedGildedScarabSextant",[40],[],[],[],1,[0],[]
28,"PossessedUniqueDropSextant",[42],[],[],[],1,[0],[]
29,"PossessedMapDropSextant",[43],[],[],[],1,[0],[]
30,"ShrineDurationSextant",[44],[],[],[],1,[0],[]
31,"CurrencyShardSextant",[45],[],[],[],1,[0],[]
32,"VaalMonstersSextant",[46],[],[],[],1,[0],[]
33,"BeyondSextant",[47],[],[],[],1,[0],[]
34,"TormentBetrayersSextant",[48],[],[],[],1,[0],[]
35,"TormentHereticsSextant",[49],[],[],[],1,[0],[]
36,"TormentGraverobbersSextant",[50],[],[],[],1,[0],[]
37,"CorruptEssenceSextant",[51],[],[],[],1,[0],[]
38,"LegionSextant","[21,53]",[],[],[],1,[0],[]
39,"Tempest",[52],[],[],[],1,[0],[]
40,"Total10Mods",[9],[],[1023],[],1,[0],[]
41,"HasQuality",[54],[],[],[],1,[0],[]
42,"RareDeliriumMap","[1,55]",[],[],[],1,[0],[]
43,"RareDeliriumMapMaxDelirium","[1,56]",[],[7101],[],1,[0],[]
44,"RareDeliriumMapMaxDelirium4ModsTier16","[1,56,6,20]",[],[8782],[],1,[0],[]
45,"TwinnedMapMaxDelirium","[3,56]",[],[],[],1,[0],[]
46,"RareMapAwakening8MaxDelirium","[1,57,56]",[],[],[],1,[0],[]
47,"ElderGuardianMapMaxDelirium","[58,56]",[],[],[],1,[0],[]
48,"8ModBlightedMap","[59,73,8]",[],[8947],[],1,[0],[]
49,"UniqueMap_HallOfGrandmasters",[],[],[4219],[],1,"[1002,867,791,1199]",[]
50,"UniqueMap_WhakawairuaTuahu",[],[],"[8168,8365,8815,9007,9200]",[],1,"[971,880,802,1112]",[]
51,"UniqueMap_VinktarSquare",[],[],"[4222,8169,8366,8816,9008,9201]",[],1,"[1010,919,1166]",[]
52,"UniqueMap_VaultsOfAtziri",[],[],"[8159,8356,8806,8998,9191]",[],1,"[947,854,777,1162]",[]
53,"UniqueMap_PutridCloister",[],[],"[8171,8368,8818,9010,9203]",[],1,"[949,1185]",[]
54,"UniqueMap_PoorjoysAsylum",[],[],"[8163,8360,8810,9002,9195]",[],1,"[1006,877,799,1182]",[]
55,"UniqueMap_PerandusManor",[],[],[8175],[],1,"[1018,908,1114]",[]
56,"UniqueMap_OlmecsSanctum",[],[],"[8166,8363,8813,9005,9198]",[],1,"[978,885,818,1152]",[]
57,"UniqueMap_ObasCursedTrove",[],[],"[8165,8362,8812,9004,9197]",[],1,"[1022,887,807,1218]",[]
58,"UniqueMap_MaoKun",[],[],"[8164,8361,8811,9003,9196]",[],1,"[1004,856,779,1169]",[]
59,"UniqueMap_MaelstromOfChaos",[],[],"[8160,8357,8807,8999,9192]",[],1,"[989,847,770,1140]",[]
60,"UniqueMap_HallowedGround",[],[],"[8172,8369,8819,9011,9204]",[],1,"[931,1142]",[]
61,"UniqueMap_DeathAndTaxes",[],[],"[8167,8364,8814,9006,9199]",[],1,"[1028,903,822,1220]",[]
62,"UniqueMap_CowardsTrial",[],[],"[8161,8358,8808,9000,9193]",[],1,"[996,835,757,1196]",[]
63,"UniqueMap_CaerBlaidd",[],[],"[8170,8367,8817,9009,9202]",[],1,"[1015,870,1154]",[]
64,"UniqueMap_ActonsNightmare",[],[],"[8162,8359,8809,9001,9194]",[],1,"[1000,862,786,1213]",[]
65,"UniqueMap_DoryanisMachinarium",[],[],"[8176,8372,8822,9014,9207]",[],1,[1124],[]
