"rownum","Id","HASH16","Stats","Stat1Value","Stat2Value","Stat3Value","AchievementItem"
0,"Accuracy1",57597,[6766],30,0,0,8881
1,"Accuracy2",51147,[15018],100,0,0,8881
2,"Accuracy3",64775,[15324],1,0,0,8881
3,"Accuracy4",9632,[15336],40,0,0,8881
4,"Armour1",46180,[9833],600,0,0,8881
5,"Armour2",48720,[97],30,0,0,8881
6,"Armour3",59754,[8255],20,0,0,8881
7,"Armour4",7137,[3463],50,0,0,8881
8,"Armour5",59936,[15005],25,0,0,8881
9,"Armour6",10680,[492],100,0,0,8881
10,"ArmourEvasion1",49522,[12957],5,0,0,8881
11,"ArmourEvasion2",62285,"[122,8214]",8,8,0,8881
12,"ArmourEvasion3",5108,[15030],100,0,0,8881
13,"ArmourEvasion4",23955,[15329],1,0,0,8881
14,"ArmourEnergyShield1",40578,[14928],1,0,0,8881
15,"ArmourEnergyShield2",37614,[14929],120,0,0,8881
16,"ArmourEnergyShield3",16215,[14984],20,0,0,8881
17,"ArmourEnergyShield4",18301,[1277],-20,0,0,8881
18,"Attack1",28524,[1230],3,0,0,8881
19,"Attack2",39154,[6885],1,0,0,8881
20,"Attack3",38401,[14916],50,0,0,8881
21,"Attack4",64511,[15166],40,0,0,8881
22,"Attack5",11938,[15171],1,0,0,8881
23,"Attack6",19500,[15335],1,0,0,8881
24,"Attributes1",5356,[3337],5,0,0,8881
25,"Attributes2",41483,[6876],1,0,0,8881
26,"Attributes3",26621,[15167],5,0,0,8881
27,"Attributes4",52604,[15168],5,0,0,8881
28,"Attributes5",15826,[15169],5,0,0,8881
29,"Axe1",28354,[5222],1,0,0,8881
30,"Axe2",11049,[9087],15,0,0,8881
31,"Axe3",9088,[3488],40,0,0,8881
32,"Axe4",50175,"[12007,11942]",30,15,0,8881
33,"Axe5",64228,[15172],10,0,0,8881
34,"Axe6",233,[11512],1,0,0,8881
35,"Bleeding1",59626,[3384],1,0,0,8881
36,"Bleeding2",10546,[7064],60,0,0,8881
37,"Bleeding3",3449,[5349],60,0,0,8881
38,"Bleeding4",23936,[4725],80,0,0,8881
39,"Bleeding5",38703,[15173],3,0,0,8881
40,"Blind1",43524,[14830],40,0,0,8881
41,"Blind2",7831,[977],100,0,0,8881
42,"Blind3",57463,[3662],60,0,0,8881
43,"Blind4",12100,[3484],100,0,0,8881
44,"Block1",55013,[491],2,0,0,8881
45,"Block2",44840,[8193],2,0,0,8881
46,"Block3",23442,"[1363,1364]",20,20,0,8881
47,"Block4",4500,[15206],3,0,0,8881
48,"Block5",41322,[14582],3,0,0,8881
49,"Bow1",59634,[7482],100,0,0,8881
50,"Bow2",45512,[9874],20,0,0,8881
51,"Bow3",42952,[11109],100,0,0,8881
52,"Bow4",26894,[13285],100,0,0,8881
53,"Bow5",36967,[15561],100,0,0,8881
54,"Bow6",56951,[15562],1,0,0,8881
55,"Brand1",37186,[14930],10,0,0,8881
56,"Brand2",5907,[14988],30,0,0,8881
57,"Brand3",20630,[12100],1,0,0,8881
58,"Brand4",39863,[8609],50,0,0,8881
59,"Brand5",32877,[8436],2,0,0,8881
60,"Brand6",46672,[8587],40,0,0,8881
61,"Caster1",48358,[14957],30,0,0,8881
62,"Caster2",33089,[14987],1,0,0,8881
63,"Caster3",61071,[14989],100,0,0,8881
64,"Caster4",50906,[11452],1,0,0,8881
65,"Caster5",27401,[8997],1,0,0,8881
66,"Caster6",23471,[7228],1,0,0,8881
67,"Chaos1",50933,[14931],1,0,0,8881
68,"Chaos2",59574,"[10698,14932]",1,10,0,8881
69,"Chaos3",1727,[12009],20,0,0,8881
70,"Chaos4",21652,[8836],50,0,0,8881
71,"Chaos5",28678,[150],17,0,0,8881
72,"Chaos6",65015,[485],40,0,0,8881
73,"Charges1",28720,[14933],1,0,0,8881
74,"Charges2",48661,[14934],1,0,0,8881
75,"Charges3",14100,[14935],1,0,0,8881
76,"Charges4",29652,[14963],100,0,0,8881
77,"Charges5",40307,[9549],3,0,0,8881
78,"Claw1",40041,"[2693,2694]",100,100,0,8881
79,"Claw2",7389,[4847],20,0,0,8881
80,"Claw3",36475,"[343,1300]",10,5,0,8881
81,"Claw4",4516,[6321],6,0,0,8881
82,"Claw5",2823,[15307],1,0,0,8881
83,"Claw6",22056,[15343],40,0,0,8881
84,"Cold1",4116,[227],1,0,0,8881
85,"Cold2",13267,[483],40,0,0,8881
86,"Cold3",38814,[201],60,0,0,8881
87,"Cold4",33129,[15175],25,0,0,8881
88,"Cold5",19495,[15176],-5,0,0,8881
89,"Cold6",26782,[15327],15,0,0,8881
90,"Criticals1",9986,[12581],50,0,0,8881
91,"Criticals2",2987,[14958],25,0,0,8881
92,"Criticals3",59734,[14974],100,0,0,8881
93,"Criticals4",38070,[14986],3,0,0,8881
94,"Criticals5",61534,[97],30,0,0,8881
95,"Criticals6",52684,[4119],150,0,0,8881
96,"Curse1",13382,[14936],20,0,0,8881
97,"Curse2",43250,[17332],-40,0,0,8881
98,"Curse3",45691,[12075],1,0,0,8881
99,"Curse4",35426,[12210],20,0,0,8881
100,"Curse5",34663,[11496],1,0,0,8881
