"rownum","Id","Order","Width","Height","i32","i32","Name","StandardCount","Image","ChallengeLeagueCount","IsDisabled"
0,"Flask",1,1,2,40,2,"Flask",35,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Flask",35,""
1,"Amulet",2,1,1,106,1,"Amulet",75,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Amulet",76,""
2,"Ring",3,1,1,123,1,"Ring",91,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Ring",92,""
3,"Claw",4,2,2,44,2,"Claw",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Claw",20,""
4,"Dagger",5,1,3,25,3,"Dagger",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Dagger",21,""
5,"Wand",6,1,3,26,3,"Wand",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Wand",22,""
6,"Sword",7,2,3,130,3,"Sword",53,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Swords",53,""
7,"Axe",8,2,4,66,4,"Axe",27,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Axe",27,""
8,"Mace",9,2,4,114,4,"Mace",48,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maces",48,""
9,"Bow",10,2,4,68,4,"Bow",27,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Bow",27,""
10,"Staff",11,2,4,90,4,"Staff",35,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Staff",36,""
11,"Quiver",12,2,3,52,3,"Quiver",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Quiver",20,""
12,"Belt",13,2,1,128,1,"Belt",51,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Belt",51,""
13,"Gloves",14,2,2,174,2,"Gloves",78,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Gloves",78,""
14,"Boots",15,2,2,168,2,"Boots",69,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Boots",69,""
15,"Body Armour",16,2,3,200,3,"Body Armour",87,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Armour",87,""
16,"Helmet",17,2,2,240,2,"Helmet",98,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Helmet",99,""
17,"Shield",18,2,4,156,4,"Shield",66,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Shield",66,""
18,"Map",19,1,1,32,1,"Map",31,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maps",31,""
19,"Jewel",20,1,1,184,1,"Jewel",104,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Jewels",104,""
20,"Watchstone",21,1,1,15,1,"Watchstone",15,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Watchstone",15,1
21,"HeistContract",22,1,1,6,1,"Contract",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Contract",5,""
