"rownum","BaseType","Type","i32","i32","i32","Visual","i32","UseAchievement","bool"
0,9899,0,8,30,15,1769,5,8669,""
1,9900,0,10,30,25,1759,10,8670,""
2,9901,0,8,40,30,1757,16,8671,""
3,9902,0,8,40,50,1765,22,8672,""
4,9903,0,10,50,75,1758,28,8673,""
5,9904,0,8,50,85,1770,34,8674,""
6,9905,0,12,100,100,1760,40,8675,1
7,9906,0,18,60,100,1763,45,8676,1
8,9907,0,12,60,150,1764,50,8677,1
9,9908,1,8,10,30,1759,18,8678,""
10,9909,1,10,10,30,1757,20,8679,""
11,9910,1,8,10,50,1765,22,8680,""
12,9911,1,10,10,80,1758,24,8681,""
13,9912,1,8,10,100,1770,26,8682,""
14,9913,1,12,10,200,1760,20,8683,1
15,9914,1,18,10,120,1763,30,8684,1
16,9915,1,12,10,70,1764,35,8685,1
17,9916,2,12,20,2,1759,30,8686,""
18,9917,2,8,30,2,1773,35,8687,""
19,9918,2,8,50,3,1765,40,8688,""
20,9919,2,10,30,3,1758,45,8689,""
21,9920,2,8,40,4,1770,42,8690,""
22,9921,2,12,50,4,1760,45,8691,1
23,9922,2,18,30,4,1763,50,8692,1
24,9923,2,12,30,4,1764,55,8693,1
25,9924,2,5,20,1,1761,100,8694,""
