"rownum","WorldAreasKey","MonsterVarietiesKeys","TerrainMetadata"
0,1088,[5182],"Metadata/Monsters/KitavaDemon/KitavaDemonSpawnerPlaguewingMapElderClone"
1,1089,[2344],""
2,1090,"[2323,2317,2320]",""
3,1091,[2288],""
4,1092,[5413],""
5,1093,"[3586,3586,4895]",""
6,1094,[5738],"Metadata/Terrain/EndGame/MapDesert/Objects/MummyEventSpawnerKiraElderClone"
7,1095,[2304],""
8,1096,[4480],""
9,1097,[4051],""
10,1098,"[4315,4321,4322,4323,4324]",""
11,1099,[4906],""
12,1100,[2405],""
13,1101,"[3895,3940]",""
14,1102,[3828],""
15,1103,[2307],""
16,1104,[3881],""
17,1105,[2332],""
18,1106,[5784],""
19,1107,"[2432,2435]",""
20,1108,"[4885,4995,4999]",""
21,1109,[2285],""
22,1110,"[2533,2581,2567]",""
23,1111,"[2374,2387]",""
24,1113,[4451],""
25,1115,[3962],""
26,1116,[252],""
27,1117,[3995],""
28,1118,"[4341,4348,4349,4350,4351]",""
29,1119,"[4026,4039]",""
30,1120,[5709],""
31,1121,[5767],""
32,1122,[1360],""
33,1123,[2409],""
34,1124,[3222],""
35,1125,[3774],""
36,1126,[2482],""
37,1127,[1355],""
38,1128,[8392],""
39,1129,[4406],""
40,1130,[2314],""
41,1131,[1154],"Metadata/Terrain/EndGame/MapMausoleum/Objects/TolmanBossSpawnerMapElderClone"
42,1132,[5373],""
43,1133,[2398],"Metadata/Monsters/Spiders/SpiderBoss/MapBossSpawnerSimplifiedElderClone"
44,1134,[4132],""
45,1135,[1930],""
46,1136,[2423],""
47,1137,[4223],""
48,1138,[2384],""
49,1139,[1015],""
50,1141,[5669],""
51,1143,"[2358,2367]",""
52,1144,[2311],""
53,1238,[5403],""
54,1146,[2294],""
55,1147,[1979],""
56,1148,[2438],""
57,1149,[2300],""
58,1150,[984],""
59,1151,[2336],""
60,1153,[3118],""
61,1155,[1469],""
62,1156,[2394],"Metadata/Monsters/Spiders/SpiderBoss/MapBossSpawnerElderClone"
63,1157,[1898],""
64,1158,[1996],""
65,1159,[1517],""
66,1160,[5347],""
67,1161,"[1389,1426,1442]",""
68,1163,[3965],""
69,1164,[2465],""
70,1165,"[1263,1290,1293]",""
71,1167,[2646],""
72,1168,[2326],""
73,1170,[2420],""
74,1172,[2339],""
75,1173,[5312],""
76,1175,"[5779,5775]",""
77,1176,"[3586,5149]",""
78,1177,[5196],""
79,1178,"[1019,1022]",""
80,1179,[75],""
81,1180,[4483],""
82,1181,[5336],""
83,1183,"[4418,4421,4424]",""
84,1184,[4125],""
85,1186,[4140],""
86,1187,[5426],""
87,1188,"[4287,4292,4293,4294,4295]",""
88,1189,[5393],""
89,1190,[2485],""
90,1191,[3851],""
91,1192,"[2529,2541,2560]",""
92,1193,[2428],""
93,1194,[1901],""
94,1195,[2282],""
95,1197,[4528],""
96,1198,"[2441,2444]",""
97,1200,[4614],""
98,1201,[2468],""
99,1202,[4148],""
100,1203,[2329],""
101,1204,"[190,4486]",""
102,1205,[4162],""
103,1206,[5821],""
104,1207,[2402],""
105,1208,[4054],""
106,1210,[5136],""
107,1211,"[5630,3586]",""
108,1212,[5789],""
109,1214,[2377],""
110,1215,"[3910,3931,3952]",""
111,1216,[1581],""
112,1217,[7049],""
113,1219,[3377],""
114,1221,"[4075,4069,4061]",""
115,1222,[4018],""
116,1223,[2461],""
117,1224,[982],""
118,1225,[1342],""
119,1226,[5682],""
120,1227,"[2448,3586]",""
121,1228,[2941],""
122,1229,"[5874,3586]",""
123,1230,"[3586,4151]",""
124,1231,[4081],""
125,1232,"[4354,4356]",""
126,1233,[4610],""
127,1234,[5647],""
128,1235,[4524],""
129,1236,[5721],""
130,1237,"[1584,1591]",""
131,1145,[4393],""
132,1239,[5131],""
133,1240,[5390],""
134,1241,[5159],""
135,1242,[5805],""
136,1243,[4881],""
137,1244,[4874],""
138,1245,[4869],""
139,1246,[4878],""
140,1247,[4961],""
141,1248,"[3201,3204,3207]",""
142,1254,[8201],""
143,1256,[8177],""
144,1257,"[8152,8155,8158]",""
145,1258,[8215],""
146,1260,[8186],"Metadata/Terrain/EndGame/MapBurn/Objects/BossEventSarcophagusElder"
147,1261,[8194],""
148,1262,[8418],""
149,1263,"[8207,8441]",""
150,1264,"[5299,5323]",""
151,1265,"[8162,8165,8168]",""
152,1266,[6251],""
