"rownum","Id","QuestKey","rid","i32","RewardWindowTake","bool","bool","RewardWindowTitle","bool","bool","bool","bool","rid"
0,"a1q1",0,2,1280,"","","","","","","","",""
1,"a1q5",1,41,1280,"","","","","","","","",""
2,"a1q5b",1,1877,1280,"","","","",1,"","","",""
3,"a1q4",2,36,1280,"","","","","","","","",""
4,"a1q4b",2,2148,1280,"","","","",1,"","","",""
5,"a1q8",3,"",1280,"","",1,"","","","","",""
6,"a1q7",4,"",1280,"","",1,"","","","","",""
7,"a1q2",5,6,1280,"","","","","","","","",""
8,"a1q2b",5,797,1280,"","","","","","","","",""
9,"a1q6",6,"",1280,"","",1,"","","","","",""
10,"a1q3",7,72,1280,"","","","","","","","",""
11,"a1q9",8,"",1280,"","",1,"","","","","",""
12,"a2q5",10,"",1280,"","",1,"","","","","",""
13,"a2q6",11,108,1280,"","","","","","","","",""
14,"a2q10",12,248,1280,"","","","","","","","",""
15,"a2q4",13,106,1280,"","","","","","","","",""
16,"a2q9b_tencent",14,2549,1280,"",1,"","",1,"","","",""
17,"a2q7",15,"",1280,"","",1,"","","","","",""
18,"a3q1",21,173,1280,"","","","","","","","",""
19,"a3q2",22,"",1280,"","",1,"","","","","",""
20,"a3q11",23,"",1280,"","",1,"","","","","",""
21,"a3q4",25,189,1280,"","","","","","","","",""
22,"a3q5",26,"",1280,"","",1,"","","","","",""
23,"a3q8",27,212,1280,"","","","","","","","",""
24,"a3q12",28,493,1280,"","","","","","","","",""
25,"a3q13",29,197,1280,"","","","","","","","",""
26,"a3q9",30,"",1280,"","",1,"","","","","",""
27,"d2c1",32,521,1280,"","","","","","","","",""
28,"d2c2",33,522,1280,"","","","","","","","",""
29,"a4q1",34,688,1280,"","","","","","","","",""
30,"a4q2",35,665,1280,"","","","","","","","",""
31,"a4q6",39,"",1280,"","",1,"","","","","",""
32,"a4q6b_tencent",39,2555,1280,"",1,"","",1,"","","",""
33,"bandit_respec",50,"",1280,3686,"",1,3692,"","","","",""
34,"a5q1b",63,1054,1280,"","","","","","","","",""
35,"a5q2",64,1062,1280,"","","","","","","","",""
36,"a5q3",65,"",1280,"","",1,"","","","","",""
37,"a5q4",66,1074,1280,"","","","","","","","",""
38,"a5q5",67,1080,1280,"","","","","","","","",""
39,"a5q7",69,"",1280,"","",1,"","","","","",""
40,"a6q2",71,1170,1280,"","","","","","","","",""
41,"a6q3",72,"",1280,"","",1,"","","","","",""
42,"a6q4",73,"",1280,"","",1,"","","","","",""
43,"a6q5",74,1253,1280,"","","","","","","","",""
44,"a6q6",75,"",1280,"","",1,"","","","","",""
45,"a6q7",76,"",1280,"","",1,"","","","","",""
46,"a7q1",77,"",1280,"","",1,"","","","","",""
47,"a7q2",78,1278,1280,"","","","","","","","",""
48,"a7q3",79,"",1280,"","",1,"","","","","",""
49,"a7q5",81,1308,1280,"","","","","","","","",""
50,"a7q6",82,"",1280,"","",1,"","","","","",""
51,"a7q8",84,1376,1280,"","","","","","","","",""
52,"a7q8_offer",84,"",1280,3686,"",1,3692,"","","","",""
53,"a7q9",85,"",1280,"","",1,"","","","","",""
54,"a8q1",86,1421,1280,"","","","","","","","",""
55,"a8q4",89,"",1280,"","",1,"","","","","",""
56,"a8q5",90,1441,1280,"","","","","","","","",""
57,"a8q6",91,"",1280,"","",1,"","","","","",""
58,"a8q7",92,"",1280,"","",1,"","","","","",""
59,"a9q2",94,"",1280,"","",1,"","","","","",""
60,"a9q3",95,1627,1280,"","","","","","","","",""
61,"a9q4",96,"",1280,"","",1,"","","","","",""
62,"a9q5",97,"",1280,"","",1,"","","","","",""
63,"a9q5_offer",97,"",1280,3686,"",1,3692,"","","","",""
64,"a10q1",98,1645,1280,"","","","","","","","",""
65,"a10q2",99,1652,1280,"","","","","","","","",""
66,"a10q3",100,"",1280,"","",1,"","","","","",""
67,"a10q4",101,"",1280,"","",1,"","","","","",""
68,"a10q5",102,1680,1280,"","","","","","","","",""
69,"a10q6",103,"",1280,"","",1,"","","","","",""
70,"atlas",174,"",216,"","","","","","","","",""
71,"heist_tutorial",126,"",1280,3686,"",1,3692,"","","","",""
72,"heist_quest_karst2",128,"",1280,3686,"",1,3692,"","","","",""
73,"heist_quest_karst3",129,"",1280,3686,"",1,3692,"","","","",""
74,"heist_quest_tibbs2",131,"",1280,3686,"",1,3692,"","","","",""
75,"heist_quest_tullina2",139,"",1280,3686,"",1,3692,"","","","",""
76,"heist_quest_faustus2",154,"",1280,3686,"",1,3692,"","","","",""
77,"heist_quest_kurai4",159,"",871,"","","","","","","","",""
78,"heist_quest_karst1",127,"",942,"","","","","","","","",""
79,"heist_quest_karst2_2",128,"",943,"","","","","","","","",""
80,"heist_quest_karst3_2",129,"",944,"","","","","","","","",""
81,"heist_quest_tibbs1",130,"",945,"","","","","","","","",""
82,"heist_quest_tibbs2_2",131,"",946,"","","","","","","","",""
83,"heist_quest_huck1",132,"",947,"","","","","","","","",""
84,"heist_quest_huck2",133,"",948,"","","","","","","","",""
85,"heist_quest_vinderi1",134,"",949,"","","","","","","","",""
86,"heist_quest_vinderi2",135,"",950,"","","","","","","","",""
87,"heist_quest_gianna1",136,"",951,"","","","","","","","",""
88,"heist_quest_gianna2",137,"",952,"","","","","","","","",""
89,"heist_quest_tullina1",138,"",953,"","","","","","","","",""
90,"heist_quest_tullina2_2",139,"",954,"","","","","","","","",""
91,"heist_quest_niles1",140,"",955,"","","","","","","","",""
92,"heist_quest_niles2",141,"",956,"","","","","","","","",""
93,"heist_quest_nenet1",142,"",957,"","","","","","","","",""
94,"heist_quest_nenet2",143,"",958,"","","","","","","","",""
95,"heist_quest_isla1",144,"",959,"","","","","","","","",""
96,"heist_quest_isla2",145,"",960,"","","","","","","","",""
97,"heist_quest_isla3",146,"",961,"","","","","","","","",""
98,"heist_quest_adiyah1",147,"",962,"","","","","","","","",""
99,"heist_quest_adiyah2",148,"",963,"","","","","","","","",""
100,"heist_quest_adiyah3",149,"",964,"","","","","","","","",""
101,"heist_quest_whakano1",150,"",965,"","","","","","","","",""
102,"heist_quest_whakano2",151,"",966,"","","","","","","","",""
103,"heist_quest_whakano3",152,"",967,"","","","","","","","",""
104,"heist_quest_faustus1",153,"",968,"","","","","","","","",""
105,"heist_quest_faustus2_2",154,"",969,"","","","","","","","",""
106,"heist_quest_faustus3",155,"",970,"","","","","","","","",""
107,"heist_quest_kurai1",156,"",971,"","","","","","","","",""
108,"heist_quest_kurai2",157,"",972,"","","","","","","","",""
109,"heist_quest_kurai3",158,"",973,"","","","","","","","",""
110,"hellscape_tutorial1",170,"",1280,3686,"",1,3692,"","","","",""
111,"voidstones",107,"",1280,3688,1,1,3692,"","","","",3689
112,"maven",161,"",1280,"","",1,"","","","","",""
113,"uberelder",162,"",1280,"","",1,"","","","","",""
114,"tangle",163,"",1280,"","",1,"","","","","",""
115,"cleansing_fire",164,"",1280,"","",1,"","","","","",""
116,"tangle_infinite_hunger",163,"",1280,"","",1,"","","","","",""
117,"cleansing_fire_black_star",164,"",1280,"","",1,"","","","","",""
118,"sanctum_free_relic",183,"",1032,"","","","","","","","",""
