"rownum","Id","i32","BuffVisual","i32"
0,"Delirium1",0,1220,14
1,"Delirium2",0,1226,1
2,"Delirium3",0,1222,1
3,"Delirium4",0,1223,1
4,"Delirium5",0,1224,1
5,"Delirium6",0,1225,1
6,"Delirium7",0,1227,1
7,"Delirium8",0,1228,3
8,"Delirium9",0,1229,3
9,"Delirium10",0,1230,3
10,"Delirium11",0,1245,3
11,"Delirium12",0,1246,3
12,"Delirium13",0,1247,3
13,"Delirium14",0,1248,3
14,"Delirium15",0,1249,3
15,"Delirium16",0,1250,3
16,"Delirium17",0,1251,3
17,"DeliriumOnDeathMod1",1,1256,14
18,"DeliriumOnDeathMod2",1,1257,1
19,"DeliriumOnDeathMod3",1,1258,1
20,"DeliriumOnDeathMod4",1,1259,1
21,"DeliriumOnDeathMod5",1,1260,1
22,"DeliriumOnDeathMod6",1,1261,1
23,"DeliriumOnDeathMod7",1,1262,1
24,"DeliriumOnDeathMod8",1,1263,3
25,"DeliriumOnDeathMod9",1,1264,3
26,"DeliriumOnDeathMod10",1,1265,3
27,"DeliriumOnDeathMod11",1,1266,3
28,"DeliriumOnDeathMod12",1,1267,3
29,"DeliriumOnDeathMod13",1,1268,3
30,"DeliriumOnDeathMod14",1,1269,3
31,"DeliriumOnDeathMod15",1,1270,3
32,"DeliriumOnDeathMod16",1,1271,3
33,"DeliriumOnDeathMod17",1,1272,3
