"rownum","rid","bool","i32","i32","i32","rid","bool","bool","bool"
0,9930,"",69,0,0,2097152000,"","",""
1,9927,"",69,0,0,2097152000,"","",""
2,9926,"",69,0,0,2097152000,"","",""
3,9931,"",69,0,0,2097152000,"","",""
4,9925,"",69,0,0,2097152000,"","",""
5,9929,"",69,0,0,2097152000,"","",""
6,9928,"",69,0,0,2097152000,"","",""
7,9889,"",69,0,0,2080374784,"","",""
8,9891,"",69,0,0,2080374784,"","",""
9,9894,"",69,0,0,2080374784,"","",""
10,9896,"",69,0,0,2080374784,"","",""
11,9897,"",69,0,0,2063597568,"","",""
12,9893,"",69,0,0,2080374784,"","",""
13,9892,"",69,0,0,2063597568,"","",""
14,9890,"",69,0,0,2063597568,"","",""
15,9895,"",69,0,0,2063597568,"","",""
16,9078,"",69,0,0,2097152000,"","",""
17,9077,"",69,0,0,2097152000,"","",""
18,9088,"",69,0,0,2113929216,"","",""
19,9087,"",69,0,0,2097152000,"","",""
20,9086,"",69,0,0,2080374784,"","",""
21,9085,"",69,0,0,2080374784,"","",""
22,9084,"",69,0,0,2080374784,"","",""
23,9083,"",69,0,0,2063597568,"","",""
24,9082,"",69,0,0,2063597568,"","",""
25,9081,"",69,0,0,2063597568,"","",""
26,9080,"",69,0,0,2063597568,"","",""
27,9091,"",69,0,0,2046820352,"","",""
28,9090,"",69,0,0,2046820352,"","",""
29,9089,"",69,0,0,2046820352,"","",""
30,9079,"",69,0,0,2046820352,"","",""
31,0,"",69,0,0,2046820352,"","",""
32,29,"",69,0,0,2046820352,"","",""
33,204,"",69,0,0,2063597568,"","",""
34,6,"",69,0,0,2063597568,"","",""
35,10,"",69,0,0,2046820352,"","",""
36,7,"",69,0,0,2046820352,"","",""
37,14,"",69,0,0,2063597568,"","",""
38,9334,"",69,0,0,2097152000,"","",""
39,208,"",69,0,0,2080374784,"","",""
40,207,"",69,0,0,2063597568,"","",""
41,30,"",69,0,0,2113929216,"","",""
42,209,"",69,0,0,2097152000,"","",""
43,47,"",69,0,0,2113929216,"","",""
44,21,"",69,0,0,2046820352,"","",""
45,20,"",69,0,0,2046820352,"","",""
46,19,"",69,0,0,2046820352,"","",""
47,46,"",69,0,0,2113929216,"","",""
48,3,"",69,0,0,2097152000,"","",""
49,2,"",69,0,0,2080374784,"","",""
50,205,"",69,0,0,2063597568,"","",""
51,11,"",69,0,0,2046820352,"","",""
52,23,"",69,0,0,2063597568,"","",""
53,24,"",69,0,0,2113929216,"","",""
54,203,"",69,0,0,2097152000,"","",""
55,9429,"",69,0,0,2097152000,"","",""
56,9428,"",69,0,0,2097152000,"","",""
57,9427,"",69,0,0,2097152000,"","",""
58,9426,"",69,0,0,2097152000,"","",""
59,16,"",69,0,0,2046820352,"","",""
60,8,"",69,0,0,2046820352,"","",""
61,22,"",69,0,0,2113929216,"","",""
62,25,"",69,0,0,2046820352,"","",""
63,35,"",69,0,0,2097152000,"","",""
64,291,"",69,0,0,2097152000,"","",""
65,287,"",69,0,0,2097152000,"","",""
66,288,"",69,0,0,2097152000,"","",""
67,290,"",69,0,0,2080374784,"","",""
68,283,"",69,0,0,2080374784,"","",""
69,286,"",69,0,0,2080374784,"","",""
70,292,"",69,0,0,2080374784,"","",""
71,284,"",69,0,0,2063597568,"","",""
72,289,"",69,0,0,2063597568,"","",""
73,285,"",69,0,0,2063597568,"","",""
74,9425,"",69,0,0,2080374784,"","",""
75,233,"",69,0,0,2080374784,"","",""
76,235,"",69,0,0,2080374784,"","",""
77,238,"",69,0,0,2080374784,"","",""
78,236,"",69,0,0,2080374784,"","",""
79,234,"",69,0,0,2080374784,"","",""
80,237,"",69,0,0,2080374784,"","",""
81,240,"",69,0,0,2113929216,"","",""
82,239,"",69,0,0,2097152000,"","",""
83,241,"",69,0,0,2080374784,"","",""
84,8855,"",69,0,0,2097152000,"","",""
85,8825,"",69,0,0,2097152000,"","",""
86,8839,"",69,0,0,2097152000,"","",""
87,8809,"",69,0,0,2097152000,"","",""
88,8841,"",69,0,0,2097152000,"","",""
89,8811,"",69,0,0,2097152000,"","",""
90,8853,"",69,0,0,2097152000,"","",""
91,8823,"",69,0,0,2113929216,"","",""
92,8856,"",69,0,0,2097152000,"","",""
93,8826,"",69,0,0,2097152000,"","",""
