"rownum","BaseItemTypesKey","ItemCurrentLevel","Experience"
0,5695,1,0
1,5695,2,70
2,5695,3,378
3,5695,4,1932
4,5695,5,8599
5,5695,6,34646
6,5695,7,84371
7,5695,8,180085
8,5695,9,349680
9,5695,10,633439
10,5695,11,1087435
11,5695,12,1790563
12,5695,13,2851786
13,5695,14,4917656
14,5695,15,7424766
15,5695,16,13223702
16,5695,17,28307621
17,5695,18,56100356
18,5695,19,99970095
19,5695,20,342051651
20,5696,1,0
21,5696,2,15249
22,5696,3,56766
23,5696,4,138749
24,5696,5,286717
25,5696,6,537274
26,5696,7,942360
27,5696,8,1390078
28,5696,9,2005396
29,5696,10,2840035
30,5696,11,4410795
31,5696,12,6044782
32,5696,13,8195812
33,5696,14,11008001
34,5696,15,16107361
35,5696,16,25508092
36,5696,17,40781458
37,5696,18,67068040
38,5696,19,129958630
39,5696,20,342004647
40,5697,1,0
41,5697,2,9569
42,5697,3,37758
43,5697,4,96904
44,5697,5,208096
45,5697,6,401896
46,5697,7,722176
47,5697,8,1081266
48,5697,9,1579774
49,5697,10,2261831
50,5697,11,3183608
51,5697,12,4911487
52,5697,13,6703256
53,5697,14,9056935
54,5697,15,12127847
55,5697,16,21223313
56,5697,17,37263203
57,5697,18,67080320
58,5697,19,129975376
59,5697,20,342026975
60,5700,1,0
61,5700,2,15249
62,5700,3,56766
63,5700,4,138749
64,5700,5,286717
65,5700,6,537274
66,5700,7,942360
67,5700,8,1390078
68,5700,9,2005396
69,5700,10,2840035
70,5700,11,4410795
71,5700,12,6044782
72,5700,13,8195812
73,5700,14,11008001
74,5700,15,16107361
75,5700,16,25508092
76,5700,17,40781458
77,5700,18,67068040
78,5700,19,129958630
79,5700,20,342004647
80,5702,1,0
81,5702,2,70
82,5702,3,378
83,5702,4,1932
84,5702,5,8599
85,5702,6,34646
86,5702,7,84371
87,5702,8,180085
88,5702,9,349680
89,5702,10,633439
90,5702,11,1087435
91,5702,12,1790563
92,5702,13,2851786
93,5702,14,4917656
94,5702,15,7424766
95,5702,16,13223702
96,5702,17,28307621
97,5702,18,56100356
98,5702,19,99970095
99,5702,20,342051651
100,5703,1,0
101,5703,2,70
102,5703,3,378
103,5703,4,1932
104,5703,5,8599
105,5703,6,34646
106,5703,7,84371
107,5703,8,180085
108,5703,9,349680
109,5703,10,633439
110,5703,11,1087435
111,5703,12,1790563
112,5703,13,2851786
113,5703,14,4917656
114,5703,15,7424766
115,5703,16,13223702
116,5703,17,28307621
117,5703,18,56100356
118,5703,19,99970095
119,5703,20,342051651
120,5704,1,0
121,5704,2,9569
122,5704,3,37758
123,5704,4,96904
124,5704,5,208096
125,5704,6,401896
126,5704,7,722176
127,5704,8,1081266
128,5704,9,1579774
129,5704,10,2261831
130,5704,11,3183608
131,5704,12,4911487
132,5704,13,6703256
133,5704,14,9056935
134,5704,15,12127847
135,5704,16,21223313
136,5704,17,37263203
137,5704,18,67080320
138,5704,19,129975376
139,5704,20,342026975
140,5705,1,0
141,5705,2,9569
142,5705,3,37758
143,5705,4,96904
144,5705,5,208096
145,5705,6,401896
146,5705,7,722176
147,5705,8,1081266
148,5705,9,1579774
