"rownum","Contract_BaseItemTypesKey","Level","Cost","CostHardmode"
0,0,1,0,""
1,2,1,1,""
2,4,1,2,""
3,5,1,3,""
4,6,1,4,""
5,7,1,5,""
6,8,1,6,""
7,10,1,7,37
8,11,1,8,""
9,12,1,9,""
10,13,1,10,""
11,14,1,11,""
12,15,1,12,""
13,16,1,13,""
14,17,1,14,""
15,18,1,15,""
16,19,1,16,""
17,20,1,17,""
18,21,1,18,""
19,22,1,19,""
20,23,1,20,""
21,24,1,21,""
22,42,1,22,""
23,44,1,23,""
24,179,1,24,""
25,180,1,25,""
26,181,1,26,""
27,9,1,27,120
28,222,1,28,""
29,223,1,29,""
30,224,1,30,""
31,225,1,31,""
32,226,1,32,""
33,227,1,33,""
34,228,1,34,""
35,229,1,35,""
36,230,1,36,""
37,4572,1,38,114
38,4573,1,39,114
39,4574,1,40,114
40,4575,1,41,114
41,4576,1,42,114
42,4577,1,42,114
43,4579,1,42,114
44,4580,1,42,114
45,4581,1,43,115
46,4582,1,43,115
47,4583,1,43,115
48,4585,1,43,115
49,4586,1,43,115
50,4587,1,44,116
51,4588,1,44,116
52,4589,1,44,116
53,4597,1,38,""
54,4594,1,40,114
55,4595,1,42,115
56,4596,1,44,116
57,4598,1,38,114
58,4599,1,39,114
59,4600,1,40,114
60,4601,1,41,114
61,4602,1,42,114
62,4603,1,42,114
63,4604,1,42,114
64,4605,1,42,114
65,4607,1,42,114
66,4608,1,42,114
67,4609,1,42,114
68,4610,1,43,115
69,4611,1,43,115
70,4612,1,43,115
71,4613,1,43,115
72,4615,1,43,115
73,4616,1,43,115
74,4617,1,44,116
75,4618,1,44,116
76,4619,1,44,116
77,4620,1,44,116
78,4621,1,44,116
79,4629,1,38,114
80,4630,1,45,114
81,4631,1,40,114
82,4632,1,41,114
83,4633,1,42,114
84,4634,1,42,114
85,4635,1,42,114
86,4636,1,42,114
87,4638,1,42,114
88,4639,1,42,114
89,4640,1,43,115
90,4641,1,43,115
91,4642,1,43,115
92,4643,1,43,115
93,4644,1,43,115
94,4646,1,43,115
95,4647,1,44,116
96,4648,1,44,116
97,4649,1,44,116
98,4650,1,44,116
99,4651,1,44,116
100,4652,1,44,116
101,4657,1,38,114
102,4658,1,39,114
103,4659,1,40,114
104,4660,1,41,114
105,4661,1,42,114
106,4662,1,42,114
107,4663,1,42,114
108,4664,1,42,114
109,4666,1,42,114
110,4667,1,42,114
111,4668,1,42,114
112,4669,1,43,115
113,4670,1,43,115
114,4671,1,43,115
115,4672,1,43,115
116,4674,1,43,115
117,4675,1,43,115
118,4676,1,44,116
119,4677,1,44,116
120,4678,1,44,116
121,4679,1,44,116
122,4680,1,44,116
123,4687,1,38,114
124,4688,1,39,114
125,4689,1,40,114
126,4690,1,41,114
127,4691,1,42,114
128,4692,1,42,114
129,4693,1,42,114
130,4694,1,42,114
131,4696,1,42,114
132,4697,1,42,114
133,4698,1,42,114
134,4699,1,43,115
135,4700,1,43,115
136,4701,1,43,115
137,4702,1,43,115
138,4704,1,43,115
139,4705,1,43,115
140,4706,1,44,116
141,4707,1,44,116
142,4708,1,44,116
143,4709,1,44,116
144,4710,1,44,116
145,4715,1,38,114
146,4716,1,45,114
147,4717,1,40,114
