"rownum","Slot","ClusterJewelSize","i32","ReplacesSlot","ProxySlot","StartIndices"
0,1219,"",0,"","",[]
1,1220,"",0,"","",[]
2,1221,"",0,"","",[]
3,1222,"",0,"","",[]
4,1223,"",0,"","",[]
5,1224,"",0,"","",[]
6,1225,"",0,"","",[]
7,1226,"",0,"","",[]
8,1227,"",0,"","",[]
9,1228,"",0,"","",[]
10,1229,"",0,"","",[]
11,1230,2,0,"",3037,"[3,5,5]"
12,1231,2,1,"",3038,"[0,11,11]"
13,1232,2,2,"",3039,"[2,3,3]"
14,1233,"",0,"","",[]
15,1234,2,3,"",3040,"[1,1,1]"
16,1235,"",0,"","",[]
17,1236,2,4,"",3041,"[5,9,9]"
18,1237,"",0,"","",[]
19,1238,"",0,"","",[]
20,1239,2,5,"",3042,"[4,7,7]"
21,3001,1,0,11,3043,"[2,3]"
22,3002,1,1,11,3044,"[3,5]"
23,3003,1,2,11,3045,"[3,7]"
24,3004,0,0,21,3046,[1]
25,3005,0,0,22,3047,[2]
26,3006,0,0,23,3048,[3]
27,3007,1,0,12,3049,"[5,9]"
28,3008,1,1,12,3050,"[5,11]"
29,3009,1,2,12,3051,"[0,1]"
30,3010,0,0,27,3052,[4]
31,3011,0,0,28,3053,[5]
32,3012,0,0,29,3054,[0]
33,3013,1,0,13,3055,"[1,1]"
34,3014,1,1,13,3056,"[2,3]"
35,3015,1,2,13,3057,"[3,5]"
36,3016,0,0,33,3058,[0]
37,3017,0,0,34,3059,[1]
38,3018,0,0,35,3060,[2]
39,3019,1,0,15,3061,"[5,11]"
40,3020,1,1,15,3062,"[1,1]"
41,3021,1,2,15,3063,"[2,3]"
42,3022,0,0,39,3064,[5]
43,3023,0,0,40,3065,[0]
44,3024,0,0,41,3066,[1]
45,3025,1,0,17,3067,"[4,7]"
46,3026,1,1,17,3068,"[5,9]"
47,3027,1,2,17,3069,"[5,11]"
48,3028,0,0,45,3070,[3]
49,3029,0,0,46,3071,[4]
50,3030,0,0,47,3072,[5]
51,3031,1,0,20,3073,"[3,5]"
52,3032,1,1,20,3074,"[4,7]"
53,3033,1,2,20,3075,"[5,9]"
54,3034,0,0,51,3076,[2]
55,3035,0,0,52,3077,[3]
56,3036,0,0,53,3078,[4]
