"rownum","BaseItemTypesKey","Block"
0,5036,24
1,5037,23
2,5038,26
3,5039,25
4,5040,24
5,5041,23
6,5042,25
7,5043,26
8,5044,25
9,5045,24
10,5046,23
11,5047,25
12,5048,26
13,5049,25
14,5050,24
15,5051,23
16,5052,25
17,5053,23
18,5054,23
19,5055,23
20,5056,25
21,5057,26
22,5058,24
23,5059,27
24,5060,26
25,5061,25
26,5062,26
27,5063,24
28,5064,27
29,5065,26
30,5066,25
31,5067,26
32,5068,24
33,5069,27
34,5070,26
35,5071,25
36,5072,22
37,5073,22
38,5074,22
39,5075,22
40,5076,24
41,5077,22
42,5078,24
43,5079,23
44,5080,25
45,5081,24
46,5082,22
47,5083,24
48,5084,23
49,5085,25
50,5086,24
51,5087,22
52,5088,24
53,5089,23
54,5090,25
55,5091,20
56,5092,20
57,5093,20
58,5094,24
59,5095,24
60,5096,27
61,5097,26
62,5098,25
63,5099,24
64,5100,27
65,5101,26
66,5102,25
67,5103,24
68,5104,27
69,5105,26
70,5106,25
71,5107,22
72,5108,24
73,5109,26
74,5110,24
75,5111,22
76,5112,24
77,5113,26
78,5114,24
79,5115,22
80,5116,24
81,5117,26
82,5118,24
83,5119,22
84,5120,24
85,5121,24
86,5122,25
87,5123,26
88,5124,24
89,5125,24
90,5126,25
91,5127,26
92,5128,24
93,5129,24
94,5130,25
95,5131,26
96,5132,24
97,5133,20
