"rownum","ModsKey","Weight","MinLevel","MaxLevel"
0,19582,80,13,100
1,19583,80,0,100
2,19584,80,0,100
3,19585,80,13,100
4,19586,80,0,100
5,19587,80,0,100
6,19588,120,13,100
7,19589,120,0,100
8,19590,120,0,100
9,19591,80,20,100
10,19592,80,20,100
11,19593,80,20,100
12,19594,50,68,100
13,19595,50,68,100
14,19596,50,68,100
15,19597,50,40,100
16,19598,50,40,100
17,19599,50,40,100
18,19600,80,13,100
19,19601,80,0,100
20,19602,80,0,100
21,19603,120,13,100
22,19604,120,0,100
23,19605,120,0,100
24,19606,120,13,100
25,19607,120,0,100
26,19608,120,0,100
27,19609,120,13,100
28,19610,120,68,100
29,19611,120,68,100
30,19612,80,13,100
31,19613,80,0,100
32,19614,80,0,100
33,19615,50,68,100
34,19616,50,68,100
35,19617,0,68,100
36,19618,50,68,100
37,19619,50,68,100
38,19620,0,68,100
39,19621,50,68,100
40,19622,50,68,100
41,19623,50,68,100
42,19624,50,40,100
43,19625,50,40,100
44,19626,0,40,100
45,19627,80,20,100
46,19628,50,50,100
47,19629,37,68,100
48,19630,50,30,100
49,19631,80,13,100
50,19632,120,13,100
51,19633,37,13,100
52,19634,50,68,100
53,19635,80,63,100
54,19636,120,13,100
55,19637,80,13,100
56,19638,50,13,100
57,19639,120,0,100
58,19640,120,0,100
59,19641,120,13,100
60,19642,120,0,100
61,19643,50,40,100
62,19650,120,0,100
63,19651,80,20,100
64,19652,50,40,100
