"rownum","StatsKey","i32","MonsterPacksKeys","AdditionalMonsterPacksStatMode","PackCountStatsKey","StatsKeys","StatsValues","i32","rid"
0,6867,1,"[1311,1312]",1,"",[],[],0,""
1,6866,1,"[1304,1305,1306,1307,1308,1309,1807]",0,2213,[],[],0,17337
2,7240,1,"[1316,1317,1318,1319]",0,2213,[],[],0,17338
3,9371,2,[1806],0,"",[],[],0,""
4,5026,2,[1218],0,"",[],[],0,""
5,5027,2,[1222],0,"",[],[],0,""
6,5028,2,[1220],0,"",[],[],0,""
7,5620,2,[1284],0,"",[],[],0,""
8,5029,2,[1221],0,"",[],[],0,""
9,5030,2,[1219],0,"",[],[],0,""
10,5082,2,[1223],0,"",[],[],0,""
11,5111,2,[1227],0,"",[],[],0,""
12,5086,2,[1228],0,"",[5089],[1],0,""
13,5087,2,[1224],0,"",[],[],15,""
14,10816,2,"[1316,1317,1318,1319]",0,"",[10854],[1],126,""
15,10817,2,"[1304,1305,1306,1307,1308,1309,1807]",0,"",[10853],[1],127,""
16,13963,2,[1405],0,"",[],[],0,""
17,13964,2,[1406],0,"",[],[],0,""
18,13965,2,[1416],0,"",[],[],0,""
19,14906,2,"[1955,1956,1957,1958]",0,14906,[],[],0,""
20,15543,3,"[2191,2192,2193,2194]",1,"",[],[],0,""
