"rownum","Monster","Spectre","[rid]"
0,1673,1674,[]
1,1675,1676,[]
2,1677,1678,[]
3,1679,1680,[]
4,1684,1685,[]
5,1686,1687,[]
6,1688,1689,[]
7,1748,1749,[]
8,1750,1751,[]
9,1752,1753,[]
10,1754,1755,[]
11,1756,1757,[]
12,1758,1759,[]
13,1760,1761,[]
14,1762,1763,[]
15,1764,1765,[]
16,3867,3869,[]
17,3870,3871,[]
18,3872,3873,[]
19,3874,3876,[]
20,1720,1721,[]
21,1722,1723,[]
22,1724,1725,[]
23,1808,1809,[]
24,1810,1811,[]
25,1812,1813,[]
26,285,286,[]
27,288,289,[]
28,290,291,[]
29,313,314,[]
30,315,316,[]
31,321,322,[]
32,323,324,[]
33,325,326,[]
34,333,334,[]
35,335,334,[]
36,336,334,[]
37,337,334,[]
38,915,917,[]
39,1623,1624,[]
40,1625,1626,[]
41,1627,1628,[]
42,1629,1630,[]
43,1631,1632,[]
44,1633,1634,[]
45,1635,1636,[]
46,1637,1638,[]
47,3085,3087,[]
48,3090,3092,[]
49,3103,3105,[]
50,3093,3098,[]
51,3097,3098,[]
52,3110,3111,[]
53,3106,3111,[]
54,5907,5909,[]
55,5913,5917,[]
56,5914,5917,[]
57,5918,5921,[]
58,5919,5921,[]
59,5922,5923,[]
60,5925,5926,[]
61,5927,5928,[]
62,5929,5930,[]
63,5932,5933,[]
64,5937,5938,[]
65,5940,5941,[]
66,6575,5917,[]
67,6577,5917,[]
68,6579,5917,[]
69,6581,5917,[]
70,6583,5917,[]
71,6576,5921,[]
72,6578,5921,[]
73,6580,5921,[]
74,6582,5921,[]
75,6584,5921,[]
76,6585,5923,[]
77,6586,5928,[]
78,6587,5941,[]
79,6589,5926,[]
80,6590,6591,[]
81,6593,6591,[]
82,6595,6596,[]
83,6597,6596,[]
84,6598,6599,[]
85,6600,6599,[]
86,6618,6619,[]
87,6623,6624,[]
88,6627,6624,[]
89,6625,6626,[]
90,6628,6626,[]
91,6629,6630,[]
92,6631,6630,[]
93,6635,6636,[]
94,6637,6636,[]
95,6640,6641,[]
96,6644,6641,[]
97,6642,6643,[]
98,6645,6643,[]
99,6649,6650,[]
100,6653,6650,[]
101,6651,6652,[]
102,6654,6652,[]
103,6658,6659,[]
104,6662,6659,[]
105,6660,6661,[]
106,6663,6661,[]
107,6665,6666,[]
108,6669,6666,[]
109,6671,6666,[]
110,6667,6668,[]
111,6670,6668,[]
112,6676,6668,[]
113,6672,6673,[]
114,6674,6675,[]
115,6677,641,[]
116,6678,3899,[]
117,6679,3912,[]
118,6680,3922,[]
119,6683,5713,[]
120,6684,5714,[]
121,6685,432,[]
122,6686,432,[]
123,6687,432,[]
124,6688,432,[]
125,6689,432,[]
126,6690,6694,[]
127,6691,6694,[]
128,6692,6694,[]
129,6693,6694,[]
130,6695,6697,[]
131,6699,122,[]
132,6704,3981,[]
133,6706,5930,[]
134,6709,5933,[]
135,6710,118,[]
136,6711,925,[]
137,6712,1520,[]
138,6715,3030,[]
139,6733,6370,[]
140,6735,6372,[]
141,6737,6374,[]
142,6739,6376,[]
143,6741,6378,[]
144,6742,6382,[]
145,6743,6384,[]
146,6744,6388,[]
147,6745,6390,[]
148,6746,6394,[]
149,6747,6396,[]
150,6748,6400,[]
151,6749,6402,[]
152,6751,6404,[]
153,6753,6406,[]
154,6755,6408,[]
155,6757,6515,[]
156,6758,6520,[]
157,6759,6525,[]
158,6760,6530,[]
159,6761,6535,[]
160,6762,6539,[]
161,6763,6544,[]
162,6770,386,[]
163,6774,6775,[]
164,6776,6777,[]
165,6794,6797,[]
166,6795,6797,[]
167,6796,6797,[]
168,6798,6801,[]
169,6799,6801,[]
170,6800,6801,[]
171,6802,6805,[]
172,6803,6805,[]
173,6804,6805,[]
174,6806,6809,[]
175,6807,6809,[]
176,6808,6809,[]
177,6810,6813,[]
178,6811,6813,[]
179,6812,6813,[]
180,6814,6817,[]
181,6815,6817,[]
182,6816,6817,[]
183,6852,6853,[]
184,6923,6928,[]
185,6924,6928,[]
186,6925,6928,[]
187,6926,6928,[]
188,6927,6928,[]
189,6929,6931,[]
190,6930,6931,[]
191,6936,6948,[]
192,6937,6948,[]
193,6938,6948,[]
194,6939,6948,[]
195,6940,6948,[]
196,6941,6948,[]
197,6942,6948,[]
198,6943,6948,[]
199,6944,6948,[]
200,6945,6948,[]
201,6946,6948,[]
202,6947,6948,[]
203,6949,6960,[]
204,6950,6960,[]
205,6951,6960,[]
206,6952,6960,[]
207,6953,6960,[]
208,6954,6960,[]
209,6955,6960,[]
210,6956,6960,[]
211,6957,6960,[]
212,6958,6960,[]
213,6959,6960,[]
214,6962,6963,[]
215,6969,6970,[]
216,6971,6972,[]
217,6973,6974,[]
218,6975,6977,[]
219,6984,6986,[]
220,6987,6989,[]
221,6991,6992,[]
222,6993,6994,[]
223,7013,7015,[]
224,7014,7015,[]
225,7025,7015,[]
226,7016,7018,[]
227,7017,7018,[]
228,7019,7021,[]
229,7020,7021,[]
230,7022,7024,[]
231,7023,7024,[]
232,7055,7057,[]
233,7056,7057,[]
234,7058,7059,[]
235,7060,7061,[]
236,7062,7063,[]
237,7157,7063,[]
238,7064,7065,[]
239,7158,7065,[]
240,7066,7067,[]
241,7159,7067,[]
242,7068,7069,[]
243,7160,7069,[]
244,7070,7071,[]
245,7072,7073,[]
246,7074,7075,[]
247,7161,7075,[]
248,7076,7077,[]
249,7150,7077,[]
250,7078,7079,[]
251,7151,7079,[]
252,7080,7081,[]
253,7152,7081,[]
254,7082,7084,[]
255,7083,7084,[]
256,7085,7087,[]
257,7086,7087,[]
258,7088,7089,[]
259,7153,7089,[]
260,7090,7091,[]
261,7154,7091,[]
262,7092,7093,[]
263,7155,7093,[]
264,7094,7095,[]
265,7156,7095,[]
266,7118,7120,[]
267,7119,7120,[]
268,7167,7169,[]
269,7168,7169,[]
270,7170,7172,[]
271,7171,7172,[]
272,7173,7175,[]
273,7174,7175,[]
274,7183,7193,[]
275,7184,7193,[]
276,7185,7193,[]
277,7186,7193,[]
278,7188,7193,[]
279,7189,7193,[]
280,7190,7193,[]
281,7191,7193,[]
282,7187,7194,[]
283,7192,7194,[]
284,7195,7196,[]
285,7200,7196,[]
286,7197,7198,[]
287,7201,7198,[]
288,7203,7204,[]
289,7205,7206,[]
290,7210,7212,[]
291,7211,7212,[]
292,7213,7214,[]
293,7217,7214,[]
294,7215,7216,[]
295,7218,7216,[]
296,7219,7220,[]
297,7221,7222,[]
298,7228,7229,[]
299,7232,7229,[]
300,7236,7237,[]
301,7241,7237,[]
302,7238,7239,[]
303,7242,7239,[]
304,7243,7244,[]
305,7245,7246,[]
306,7251,7257,[]
307,7254,7257,[]
308,7252,7258,[]
309,7255,7258,[]
310,7253,7259,[]
311,7256,7259,[]
312,7260,7264,[]
313,7262,7264,[]
314,7261,7265,[]
315,7263,7265,[]
316,7266,7267,[]
317,7268,7269,[]
318,7272,7278,[]
319,7275,7278,[]
320,7273,7279,[]
321,7276,7279,[]
322,7274,7280,[]
323,7277,7280,[]
324,7281,7283,[]
325,7282,7283,[]
326,7284,7286,[]
327,7285,7286,[]
328,7287,7288,[]
329,7290,7288,[]
330,7292,7293,[]
331,7294,7295,[]
332,7710,7717,[]
333,7711,7718,[]
334,7712,7719,[]
335,7713,7720,[]
336,7714,7721,[]
337,7715,7722,[]
338,7716,7723,[]
339,7733,7743,[]
340,7734,7744,[]
341,7735,7745,[]
342,7736,7746,[]
343,7737,7747,[]
344,7739,7748,[]
345,7758,7769,[]
346,7759,7770,[]
347,7760,7771,[]
348,7761,7772,[]
349,7765,7773,[]
350,7766,7774,[]
351,7767,7775,[]
352,7768,7776,[]
353,7783,7797,[]
354,7784,7798,[]
355,7785,7799,[]
356,7786,7800,[]
357,7787,7799,[]
358,7788,7800,[]
359,7789,7799,[]
360,7790,7800,[]
361,7791,7801,[]
362,7792,7802,[]
363,7793,7803,[]
364,7794,7804,[]
365,7795,7805,[]
366,7796,7806,[]
367,5574,5576,[]
368,5575,5576,[]
369,5577,5581,[]
370,5578,5581,[]
371,5579,5581,[]
372,5580,5581,[]
373,5017,5024,[]
374,5018,5024,[]
375,5019,5024,[]
376,5020,5024,[]
377,5021,5024,[]
378,5022,5024,[]
379,5023,5024,[]
380,5026,5028,[]
381,5027,5028,[]
382,5031,5034,[]
383,5032,5034,[]
384,5033,5034,[]
385,5037,5041,[]
386,5038,5041,[]
387,5039,5041,[]
388,5040,5041,[]
389,5042,5051,[]
390,5043,5051,[]
391,5044,5051,[]
392,5045,5051,[]
393,5046,5051,[]
394,5047,5051,[]
395,5048,5051,[]
396,5053,5056,[]
397,5054,5056,[]
398,5055,5056,[]
399,5057,5059,[]
400,5058,5059,[]
401,5061,5064,[]
402,5062,5064,[]
403,5063,5064,[]
404,5070,5073,[]
405,5071,5073,[]
406,5072,5073,[]
407,5065,5068,[]
408,5066,5068,[]
409,5067,5068,[]
410,5074,5068,[]
411,5075,5068,[]
412,5076,5068,[]
413,5079,5081,[]
414,5080,5081,[]
415,5082,5084,[]
416,5083,5084,[]
