"rownum","RewardOffer","i32","Characters","Reward","RewardLevel","rid","i32","string","[rid]","RewardStack","bool","bool","[rid]","i32","i32","[rid]","i32","rid","i32","[rid]"
0,0,0,[1],5761,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
1,0,1,[1],5976,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
2,0,2,[1],5950,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
3,0,3,[1],5714,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
4,0,4,[1],5996,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
5,0,5,[1],6168,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
6,0,6,[6],6057,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
7,0,7,[6],6004,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
8,0,8,[6],5976,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
9,0,9,[6],5950,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
10,0,10,[6],5928,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
11,0,11,[6],6073,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
12,0,12,[0],5702,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
13,0,13,[0],5928,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
14,0,14,[0],6221,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
15,0,15,[4],5703,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
16,0,16,[4],5928,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
17,0,17,[4],5980,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
18,0,18,[4],6093,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
19,0,19,[4],6189,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
20,0,20,[3],5723,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
21,0,21,[3],5721,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
22,0,22,[3],5970,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
23,0,23,[3],5980,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
24,0,24,[3],5719,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
25,0,25,[5],5761,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
26,0,26,[5],6045,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
27,0,27,[5],6115,1,"",0,"",[],1,"","",[],1280,0,[],0,"",0,[]
