"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,8807,111,"Essence Item",52571,[]
1,8808,131,"Currency Item",52259,[]
2,8809,151,"Unique Item",18701,[]
3,8810,121,"Map Item",22038,[]
4,8811,251,"Unique Map Item",6696,[]
5,8812,301,"Rare Abyss Item",41772,[]
6,8813,301,"Fragment Item",60390,[]
7,8814,301,"Scarab Item",32186,[]
8,8815,151,"Essence Item",23218,[]
9,8816,301,"Fossil Item",19642,[]
10,8817,221,"Expedition Item",40101,[]
11,8818,151,"Stacked Decks",34745,[]
12,8819,151,"Talisman Item",43064,[]
13,8820,161,"Enchanted Helmet",19352,[]
14,8821,1001,"6-Linked Armour Item",6078,[]
15,8822,141,"Currency Item",14134,[]
16,8823,1501,"League-specific Unique Item",4526,[]
17,8824,501,"Shaper or Elder Armour Item",61377,[]
18,8825,501,"Shaper or Elder Weapon Item",53204,[]
19,8826,701,"Shaper or Elder Trinket Item",61894,[]
20,8827,501,"Elder Map Item",39336,[]
21,8828,351,"Breach Item",43164,[]
22,8829,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,8830,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,8831,301,"Item",31223,[]
25,8832,121,"Quality Gem",16288,[]
26,8833,151,"Bestiary Item",28161,[]
27,8834,221,"Blight Item",19373,[]
28,8835,221,"Metamorph Item",62324,[]
29,8836,431,"Delirium Item",23535,[]
30,8837,111,"Essence Item",46750,[]
31,8838,131,"Currency Item",54300,[]
32,8839,151,"Unique Item",59184,[]
33,8840,121,"Map Item",43361,[]
34,8841,251,"Unique Map Item",37492,[]
35,8842,301,"Rare Abyss Item",2531,[]
36,8843,301,"Fragment Item",4173,[]
37,8844,301,"Scarab Item",25303,[]
38,8845,151,"Essence Item",31454,[]
39,8846,301,"Fossil Item",51101,[]
40,8847,221,"Expedition Item",41074,[]
41,8848,151,"Stacked Decks",47490,[]
42,8849,151,"Talisman Item",23793,[]
43,8850,161,"Enchanted Helmet",42868,[]
44,8851,1001,"6-Linked Armour Item",12755,[]
45,8852,141,"Currency Item",30048,[]
46,8853,1501,"League-specific Unique Item",32094,[]
47,8854,501,"Shaper or Elder Armour Item",38195,[]
48,8855,501,"Shaper or Elder Weapon Item",28068,[]
49,8856,701,"Shaper or Elder Trinket Item",52048,[]
50,8857,501,"Elder Map Item",56725,[]
51,8858,351,"Breach Item",39939,[]
52,8859,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,8860,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,8861,301,"Item",55071,[]
55,8862,121,"Quality Gem",43471,[]
56,8863,151,"Bestiary Item",58563,[]
57,8864,221,"Blight Item",24651,[]
58,8865,221,"Metamorph Item",65346,[]
59,8866,431,"Delirium Item",12740,[]
