"rownum","string","[rid]","[string]","bool","i32","i32","i32","f32","i32","i32","i32","f32","i32","bool","bool","bool","rid"
0,"HarvestThornOnHit",[4134],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
1,"HarvestBulbOnHit",[4135],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
2,"HarvestScaleOnHit",[4136],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
3,"HarvestRavenBossScreechHit",[4257],[],1,16777216,16777216,0,0,1,0,0,0.125,0,"","","",""
4,"HarvestSpikerBreathImpact",[4261],[],1,16777216,0,0,0.125,0,16777216,0,9007199254740992,1,"","","",""
5,"HarvestCatBossStealthHit",[4292],[],1,16777216,0,0,0.125,0,0,0,0.125,0,"","","",""
6,"HarvestPlagueSpiderViperStrikeImpact",[4319],[],1,16777216,0,0,0.125,0,16777216,0,0,2,"","","",""
7,"HarvestMinerHammerGasHit",[4320],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
8,"HarvestSnakeHeadbuttImpact",[4367],[],1,16777216,0,0,0.125,0,16777216,0,0,2,"","","",""
9,"HeistTemplarRangedSnipeImpact",[4388],[],1,16777216,0,0,0.125,0,0,0,0.125,0,"","","",""
10,"HeistMilitaryBounceShield",[4520],[],1,16777216,0,0,0.125,0,16777216,0,590295810358705700000,3,"","","",""
11,"GreenShockHit",[4544],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
12,"HeistYellowChaosHit",[4638],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
13,"RedLightningHit",[4715],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
14,"HeistTrapLaserBeamImpact",[4677],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
15,"HeistTwinsColdSnipeImpact",[4776],[],1,0,0,0,0.125,0,16777216,0,0,4,"","","",""
16,"BrutalPirateLordHitEffect",[4968],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
17,"CrimsonPriestRuneHitEffect",[5017],[],1,0,16777216,0,2,5,0,0,0.125,0,"","","",""
18,"MavenOnHitEffect",[5176],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
19,"MavenBrainOnHitEffect",[5177],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
20,"BloodTendrilsOnHitEffect",[5223],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
21,"BloodScytheHitEffect",[5318],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
22,"BloodScytheHitEffectConsole",[5319],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
23,"OblivionToxicRainHitEffect",[5330],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
24,"ArcaneHit",[5476],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
25,"VoidEmperorFireDamage",[],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",308
26,"StygianFireHit",[5554],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
27,"DemonicLightningHit",[5588],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
28,"BloodTendrilsOnHitEffectTranscendence",[5592],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
29,"SpectralSpiralHitEffect",[],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",323
30,"TraumaStrikeHitEffect",[5605],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
31,"RageVortexHit",[5645],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
32,"BurningArrowMysticHit",[5689],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
33,"ExpeditionMedvedChaosHit",[5692],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
34,"ExpeditionVoranaHit",[5693],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
35,"ExpeditionPhsicalOnHit",[5694],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
36,"ExpeditionFireOnHit",[5695],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
37,"ExpeditionColdOnHit",[5696],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
38,"ExpeditionChaosOnHit",[5697],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
39,"OlrothBloodSpatter1",[5719],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
40,"OlrothBloodSpatter2",[5720],[],1,16777216,0,0,0.125,0,0,0,0.125,0,"","","",""
41,"OlrothBloodSpatter3",[5721],[],1,16777216,0,0,0.125,0,0,0,0.125,0,"","","",""
42,"MyrmidonLightningStrikeHit",[5737],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
43,"HellscapeDemonEliteScreechHit",[6031],[],1,16777216,16777216,0,0,11,0,0,0.125,0,"","","",""
44,"DirebladeFireHit",[6050],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
45,"HellscapePaleBossSnipePierce",[6069],[],1,16777216,0,0,0.125,0,0,0,0.125,0,"","","",""
46,"HellscapePaleBossAxeTossPierce",[6074],[],1,16777216,0,0,0.125,0,0,0,0.125,0,"","","",""
47,"OblivionSummonRagingSpiritsHit",[6092],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
48,"OnyxOblivionSummonRagingSpiritsHit",[6093],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
49,"StygianScourgeArrowHit",[6181],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
50,"ProjectEssenceDrainHit",[6199],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
51,"ScientistEssenceDrainHit",[6200],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
52,"VoidSparkHit",[6210],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
53,"AuspiciousToxicRainHit",[6227],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
54,"BloodTendrilsOnHitEffectMercurial",[6286],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
55,"ToxicRainOnHitEffectVulcan",[6302],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
56,"ConsumeBossLightningHit",[6337],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
57,"VulcanLightningStrikeHit",[6361],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
58,"SummonRagingSpiritsDemonicHit",[6379],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
59,"CelestialEnergyBladeHit",[6402],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
60,"DivineLightningArrowHit",[6501],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
61,"OblivionFireTrapHit",[6505],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
62,"OozeCharacterEffectHit",[6515],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
63,"MagmaMoltenShellHit",[6516],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
64,"TraumaStrikeHitEffectCelestial",[6538],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
65,"MistCharacterEffectHit",[6540],[],1,16777216,0,0,0.125,0,0,0,0.125,0,"","","",""
66,"BattlePassThreeColdIronPointHit",[6546],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
