"rownum","rid","i32","i32","bool","string","[rid]","i32","string","string","i32","i32","bool"
0,0,0,0,"","BattlePassOneArchnemesisWatchersEye",[3773],0,"","",375,399,""
1,0,2,17,"","BattlePassOneArchnemesisDyingSun",[3775],0,"","",376,400,""
2,0,4,33,"","BattlePassOneArchnemesisAegisAurora",[3772],0,"","",377,401,""
3,0,6,50,"","BattlePassOneArchnemesisHandsoftheHighTemplar",[3771],0,"","",378,402,""
4,0,8,67,"","BattlePassOneArchnemesisParadoxica",[3774],0,"","",379,403,""
5,0,10,84,"","BattlePassOneArchnemesisMjolner",[3770],0,"","",380,404,""
6,0,12,100,"","BattlePassOneArchnemesisBottledFaith",[3777],0,"","",381,405,""
7,0,14,117,"","BattlePassOneArchnemesisHeadhunter",[3776],0,"","",382,406,""
8,1,0,0,"","BattlePassTwoRumisConcoction",[3878],0,"","",375,399,""
9,1,2,17,"","BattlePassTwoDeadReckoning",[3874],0,"","",376,400,""
10,1,4,33,"","BattlePassTwoHyrrisIre",[3877],0,"","",377,401,""
11,1,6,50,"","BattlePassTwoDevouringDiadem",[3875],0,"","",378,402,""
12,1,9,67,"","BattlePassTwoVoidBattery",[3879],0,"","",379,403,""
13,1,10,84,"","BattlePassTwoAshesoftheStars",[3873],0,"","",380,404,""
14,1,12,100,"","BattlePassTwoArakaalisFang",[3872],0,"","",381,405,""
15,1,14,115,"","BattlePassTwoMageblood",[3876],0,"","",382,406,""
16,2,0,0,"","BattlePassThreeDarknessEnthroned",[3942],0,"","",375,399,""
17,2,2,10,"","BattlePassThreeColdIronPoint",[3946],0,"","",376,400,""
18,2,4,20,"","BattlePassThreeKaruiTimelessJewel",[3949],0,"","",377,401,""
19,2,6,30,"","BattlePassThreeMagnaEclipsis",[3954],0,"","",378,402,""
20,2,8,40,"","BattlePassThreeEternalTimelessJewel",[3951],0,"","",379,403,""
21,2,10,50,"","BattlePassThreeGravebind",[3953],0,"","",380,404,""
22,2,12,60,"","BattlePassThreeVaalTimelessJewel",[3948],0,"","",381,405,""
23,2,14,70,"","BattlePassThreeLegacyOfFury",[3952],0,"","",382,406,""
24,2,16,80,"","BattlePassThreeTemplarTimelessJewel",[3950],0,"","",1264,1268,""
25,2,18,90,"","BattlePassThreeFarrulsFur",[3943],0,"","",1265,1269,""
26,2,20,100,"","BattlePassThreeMarakethTimelessJewel",[3947],0,"","",1266,1270,""
27,2,22,115,"","BattlePassThreeCosprisMalice",[3945],0,"","",1267,1271,""
28,3,0,0,"","BattlePassFourTheGull",[4109],0,"","",375,399,""
29,3,1,10,"","MysteryPackSinAndInnocenceBox",[8892],0,"Receive a random prize with a Sin or Innocence theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",376,400,1
30,3,2,15,"","BattlePassFourShavronnesWrappings",[4110],0,"","",377,401,""
31,3,3,20,"","MysteryPackPolarisBox",[8918],0,"Receive a random prize with a Polaris theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",378,402,1
32,3,4,30,"","BattlePassFourOlrothsResolve",[4107],0,"","",379,403,""
33,3,5,40,"","MysteryPackTwilightBox",[8927],0,"Receive a random prize with a Twilight theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",380,404,1
34,3,6,45,"","BattlePassFourNebulis",[4108],0,"","",381,405,""
35,3,8,60,"","BattlePassFourVentorsGamble",[4111],0,"","",382,406,""
36,3,9,70,"","MysteryPackWarlordBox",[8930],0,"Receive a random prize with a Warlord theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",1264,1268,1
37,3,10,75,"","BattlePassFourMeldingoftheFlesh",[4106],0,"","",1265,1269,""
38,3,12,90,"","BattlePassFourHateforge",[4112],0,"","",1266,1270,""
39,3,13,100,"","MysteryPackHarmonyBox",[8942],0,"Receive a random prize with a Harmony theme! It'll appear inside your MTX stash, waiting to be unwrapped.","",1267,1271,1
40,3,14,105,"","BattlePassFourStarforge",[4114],0,"","",1276,1278,""
41,3,16,115,"","BattlePassFourVoidforge",[4113],0,"","",1277,1279,""
