"rownum","Id","[rid]","[i32]","[i32]","[i32]","Variants","[rid]","[i32]","[rid]","rid","[i32]","[rid]","[i32]"
0,"global_auras",[],[],[],[],"[""Default"",""Archon"",""Imp"",""Carnage"",""Trinity"",""SoulNexus"",""ForceField"",""ArcticSkull"",""LightningSkull"",""InfernalSkull"",""Corsair"",""Betrayal"",""Mystic"",""Lava"",""Stygian"",""Celestial"",""Celestial_Tencent1"",""Celestial_Tencent2"",""Celestial_Tencent3"",""Huntsman"",""Madcap"",""Plated"",""Dragon"",""DragonBlue"",""Illusionist"",""Legion"",""Wrangler"",""Wild"",""Lich"",""Harlequin"",""CorruptedEmperor"",""Ringmaster"",""Black"",""White"",""Dragon_Hunter"",""Balefire"",""Dark_Magic"",""Scientist"",""Project"",""Angelic"",""Demonic"",""FrostViking"",""Sunrise"",""Nightfall"",""Darkwood"",""EthercraftSavage"",""EthercraftEnraged"",""EthercraftTranquil"",""EthercraftChaotic"",""DualDragon"",""Misery"",""Suffering"",""Sun"",""Lightbringer"",""Darkshard"",""Merchant"",""Scavenger"",""Overseer"",""Siren"",""Deepwater""]",[0],"[18079,842,14646,60842,33608,37998,19034,44108,43340,36671,51220,44880,45462,43749,39541,27572,46439,46436,46437,10526,59045,33232,25624,63772,54759,24373,13661,28806,56631,15800,7859,25284,25619,15971,13085,23387,50237,64816,55295,36925,61278,36735,53117,57192,12926,65156,54226,1322,49284,27394,32478,2790,34292,55723,35955,40677,46158,5427,42935,57983]",[],347,[],[],[]
1,"anger",[0],[],[],[],"[""Default"",""Alternate"",""Talisman"",""Ground""]",[70],"[18079,25075,50744,62389]",[],347,[],[159],[]
2,"hatred",[1],[],[],[],"[""Default"",""Alternate"",""Talisman"",""SmallTalisman"",""Ground""]",[74],"[18079,25075,50744,23449,62389]",[],347,[],"[160,161]",[]
3,"wrath",[3],[],[],[],"[""Default"",""Alternate"",""Talisman"",""Ground""]",[79],"[18079,25075,50744,62389]",[],347,[],"[162,1121]",[]
4,"haste",[4],[],[],[],"[""Default"",""Alternate"",""Wandering""]",[83],"[18079,25075,11702]",[],347,[],"[147,1120]",[]
5,"default_ranged",[],[],[],[],[],[],[],[0],4820,[],"[62,63]",[]
6,"steelskin",[5],[],"[0,0]",[],"[""Default"",""Maven"",""Stygian""]",[86],"[18079,1353,39541]",[],347,[],"[1185,1316]",[]
7,"cremation","[8,16,24]",[],[],[],"[""Default"",""Elder"",""Abyss"",""Gore"",""Quicksilver"",""Darkwood"",""VaalOrb"",""VoidEmperor""]",[],"[18079,18332,37812,63064,7534,12926,3918,48015]",[36],347,[],"[960,961]",[]
8,"consecrated_path","[32,37,42]",[],[],[],"[""Default"",""Elreon"",""Stygian"",""Celestial""]",[],"[18079,49177,39541,27572]",[],347,[],[1086],[]
9,"consecrated_path_ancestral","[47,50,53]",[],[],[],"[""Default"",""Elreon"",""Stygian"",""Celestial""]",[],"[18079,49177,39541,27572]",[],347,[],[1086],[]
