"rownum","Id","Value"
0,"EncounterRadiusMaya",950
1,"EncounterDarknessRadiusMaya",1100
2,"EncounterRuneDesiredSizeMaya",950
3,"ExpectedNumberOfMonsters",50
4,"SpawnRateExponentVsMonsterCount",0.75
5,"ShaderMaxPercentageOfKills",90
6,"MonsterFirstReviveLessXP",40
7,"MonsterFirstReviveLessIIQ",40
8,"MonsterFirstReviveLessPoints",0
9,"MonsterFirstReviveLessBeyondPortalChance",50
10,"MonsterRepeatReviveLessXP",20
11,"MonsterRepeatReviveLessIIQ",20
12,"MonsterRepeatReviveLessPoints",40
13,"MonsterRepeatReviveLessBeyondPortalChance",50
