"rownum","NPCsKey","i32","i32","i32","i32","i32","i32","i32","i32","bool","i32","i32","i32","i32","i32","i32","bool","bool","bool","rid"
0,0,1254,0,0,0,-16843010,-16843010,-16843010,-16843010,"",5,419430405,134217728,0,1207959552,0,"","","",""
1,16,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,1275068416,0,1207959552,0,"","","",""
2,186,-16843010,-16843010,-16843010,-16843010,1085,0,0,0,"",5,419430405,-2046820352,0,1207959552,0,"","","",""
3,341,-16843010,-16843010,-16843010,-16843010,1254,0,0,0,"",5,419430405,-1107296256,0,1207959552,0,"","","",""
4,100,-16843010,-16843010,-16843010,-16843010,672,0,0,0,"",5,419430405,536870912,1,1207959552,0,"","","",""
5,391,-16843010,-16843010,-16843010,-16843010,59,0,0,0,"",5,419430405,1543503872,1,1207959552,0,"","","",""
6,343,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,5,-1241513984,1,1107296256,2,"","","",1
7,344,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,5,1543503872,2,-335544320,2,"","","",2
8,345,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,5,134217728,3,-1811939328,3,"","","",3
9,346,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,5,-1375731712,3,1006632960,4,"","","",4
10,347,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,5,1711276032,4,-167772160,4,"","","",5
11,348,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,603979776,5,-1241513984,5,"","","",6
12,349,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,-771751936,5,-1241513984,5,"","","",7
13,350,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,1543503872,6,-1241513984,5,"","","",8
14,351,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,-369098752,6,-1241513984,5,"","","",9
15,352,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,2013265920,7,-1241513984,5,"","","",10
16,353,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,134217728,8,-1241513984,5,"","","",11
17,354,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,-1644167168,8,-1241513984,5,"","","",12
18,355,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,738197504,9,-1241513984,5,"","","",13
19,356,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,-1174405120,9,-1241513984,5,"","","",14
20,357,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,1140850688,10,-1241513984,5,"","","",15
21,358,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,-704643072,10,-1241513984,5,"","","",16
22,359,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,"",5,419430405,1711276032,11,-1241513984,5,"","","",17
