"rownum","rid","rid","[i32]"
0,0,0,[5928]
1,1,0,[5929]
2,2,0,[5927]
3,4,0,[5954]
4,3,0,[5930]
5,5,0,[5931]
6,6,0,[5932]
7,7,0,[5951]
8,8,0,[5950]
9,9,0,[5952]
10,10,0,[5933]
11,11,0,[5934]
12,12,0,[5935]
13,13,0,[5936]
14,14,0,[5937]
15,15,0,[5938]
16,16,0,[5939]
17,17,0,[5940]
18,18,0,[5941]
19,19,0,[5942]
20,20,0,[5943]
21,21,0,[5944]
22,22,0,[5945]
23,23,0,[5946]
24,24,0,[5947]
25,25,0,[5948]
26,26,0,[5949]
27,27,0,[5953]
28,4,1,[7011]
29,19,1,[7017]
30,1,1,[7018]
31,24,1,[7019]
32,3,1,[7020]
33,27,1,[7021]
34,2,1,[7022]
35,0,1,[7023]
36,6,1,[7024]
37,4,2,[11728]
38,24,2,[11737]
39,27,2,[11741]
40,0,2,[11744]
41,1,2,[11736]
42,3,2,[11738]
43,2,2,[11742]
44,6,2,[11740]
45,4,3,[12601]
46,1,3,[12607]
47,24,3,[12608]
48,3,3,[12609]
49,27,3,[12611]
50,2,3,[12612]
51,0,3,[12613]
52,6,3,[12610]
53,4,4,[13139]
54,0,4,[13151]
55,1,4,[13145]
56,3,4,[13147]
57,2,4,[13150]
58,7,4,[13148]
59,24,4,[13146]
60,27,4,[13149]
61,4,5,[13845]
62,1,5,[13848]
63,3,5,[13850]
64,5,5,[13851]
65,6,5,[13856]
66,27,5,[13852]
67,23,5,[13849]
68,2,5,[13854]
69,0,5,[13855]
70,28,5,[13853]
71,29,5,[13853]
