"rownum","rid","rid","i32"
0,16348,16348,3
1,16349,16349,3
2,16345,16345,0
3,16346,16346,0
4,16347,16347,0
5,16350,16350,0
6,16351,216,0
7,16353,6198,0
8,16356,216,1
9,16357,216,2
10,16358,216,3
11,16359,11834,1
12,16277,11834,2
13,16360,172,1
14,16361,172,2
15,16362,16104,1
16,16363,16104,2
17,16375,16272,3
18,16373,16373,1
19,16374,16374,3
20,16335,16335,4
21,16336,16336,4
22,16337,16337,4
23,16366,16366,0
24,16367,16366,1
25,16368,16366,3
26,16370,16369,1
27,16371,16369,2
28,16372,16372,3
29,16364,16364,0
30,16365,16364,3
31,16352,16352,0
32,16354,16352,2
33,16355,16352,3
34,16278,16278,4
35,16377,16398,1
36,16378,16378,0
37,16376,16376,3
38,16379,16399,3
39,16387,16387,3
40,16388,16388,2
41,16389,16389,1
42,16390,16390,2
43,16391,16391,2
44,16419,16366,2
45,16426,16426,4
46,16425,16425,4
