"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas"
0,1139,7271,"",381,1956,"[113,33,1,96,94]",4,7,11,15,16,330.811,379.08,141,7.615,-6.371,"","",""
1,1140,8363,"",381,1957,[0],4,7,11,15,16,359.806,366.509,52,-14.497,6.285,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaelstromOfChaos.dds","",""
2,1151,7260,"",390,1968,"[52,3,66,103]",3,6,10,14,16,761.834,481.347,216,1.144,-29.671,"","",""
3,1152,8539,"",390,1969,[2],3,6,10,14,16,814.05,463.017,77,-26.108,9.165,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/OlmecsSanctum.dds","",""
4,1141,7268,"",382,1958,"[5,100,40]",12,15,16,16,16,775.822,155.17,115,-18.063,2.368,"","",""
5,1142,11268,"",382,1959,[4],12,15,16,16,16,802.291,168.784,50,-13.234,-6.807,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/HallowedGround.dds","",""
6,1195,7276,"",426,2011,"[63,56,79,7,77]",12,15,16,16,16,221.048,158.203,190,10.003,0.027,"","",""
7,1196,8382,"",426,2012,[6],12,15,16,16,16,176.947,162.79,67,22.252,-4.309,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheCowardsTrial.dds","",""
8,1149,7240,"",389,1966,"[95,9,49]",15,16,16,16,16,768.255,96.76,104,-10.307,-6.522,"","",""
9,1150,11509,"",389,1967,[8],15,16,16,16,16,798.119,95.337,51,-14.932,0.712,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PillarsOfArun.dds","",""
10,1173,7354,"",406,1989,"[113,80,11,94]",2,5,9,13,16,375.885,442.036,185,-3.226,-10.737,"","",""
11,1174,11507,"",406,1990,[10],2,5,9,13,16,355.078,415.604,54,10.404,13.216,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheTwilightTemple.dds","",""
12,1184,7277,"",415,2000,"[39,72,18,13]",3,6,10,14,16,631.769,404.768,109,4.362,11.155,"","",""
13,1185,11267,"",415,2001,[12],3,6,10,14,16,656.698,425.594,53,-12.464,-10.413,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ThePutridCloister.dds","",""
14,1219,7302,"",446,2034,"[15,58,32]",7,10,14,16,16,798.298,285.225,112,-1.866,-1.929,"","",""
15,1220,8693,"",446,2035,[14],7,10,14,16,16,824.61,267.751,52,-13.156,8.737,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DeathAndTaxes.dds","",""
16,1212,7280,"",441,2027,"[83,71,68,75,17]",6,9,13,16,16,503.007,300.217,249,-11.451,-13.748,"","",""
17,1213,8425,"",441,2028,[16],6,9,13,16,16,515.197,275.206,48,-6.095,12.505,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ActonsNightmare.dds","",""
18,1168,7273,"",403,1985,"[48,109,97,19,12,34]",4,7,11,15,16,644.077,373.445,209,1.693,9.749,"","",""
19,1169,8475,"",403,1986,[18],4,7,11,15,16,691.811,388.672,72,-23.867,-7.613,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds","",""
20,1111,7254,"",350,1928,"[39,21,90]",1,4,8,12,16,555.605,423.461,109,9.678,-13.556,"",1,""
21,1112,8860,"",350,1929,[20],1,4,8,12,16,564.142,398.834,47,-4.268,12.314,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/WhakawairuaTuahu.dds","",""
22,1181,7283,"",413,1997,"[23,35,103,32]",5,8,12,16,16,818.427,366.6,186,-28.27,-5.399,"","",""
23,1182,8458,"",413,1998,[22],5,8,12,16,16,796.203,374.098,44,11.112,-3.749,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PoorjoysAsylum.dds","",""
24,1143,7297,"",383,1960,"[86,102,25,67,38]",14,16,16,16,16,463.093,111.757,349,-6.858,-5.605,"","",""
25,1218,8479,"",383,2033,[24],14,16,16,16,16,516.212,97.845,75,-25.552,7.561,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ObasCursedTrove.dds","",""
26,1153,7290,"",391,1970,"[63,61,27,59,43]",10,13,16,16,16,367.92,191.25,153,-3.542,-0.402,"","",""
27,1154,10881,"",391,1971,[26],10,13,16,16,16,365.957,171.756,40,0.982,9.747,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/CaerBlaiddWolfpacksDen.dds","",""
28,1161,7230,"",398,1978,"[108,29,69]",4,7,11,15,16,210.445,413.85,173,1.81,-7.883,"","",""
29,1162,7373,"",398,1979,[28],4,7,11,15,16,172.416,380.973,72,19.015,16.439,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/VaultsOfAtziri.dds","",""
30,1165,7286,"",401,1982,"[52,35,103]",5,8,12,16,16,755.799,363.735,181,-2.988,8.615,"","",""
31,1123,7317,"",366,1940,"[46,86,100]",14,16,16,16,16,646.624,114.636,205,-5.805,-5.224,"","",""
32,1198,7281,"",428,2014,"[84,22,14]",6,9,13,16,16,801.605,324.315,143,-12.923,-8.308,"","",""
33,1232,7232,"",458,2047,"[0,88,65,89]",5,8,12,16,16,285.137,348.386,176,-8.556,2.751,"","",""
34,1128,7304,"",370,1945,"[50,18,42]",5,8,12,16,16,588.923,338.79,148,1.279,4.752,"","",""
35,1121,7356,"",364,1938,"[84,114,97,22,30]",6,9,13,16,16,722.361,318.505,221,6.238,11.332,"","",""
36,1190,7258,"",421,2006,"[78,94,112]",2,5,9,13,16,480.945,389.718,148,-23.313,1.105,"","",""
37,1131,7349,"",373,1948,"[39,72,66]",1,4,8,12,16,596.646,494.201,130,33.795,-28.874,"",1,""
38,1263,7279,"",330,2065,"[70,24,99,105]",15,16,16,16,16,341.336,96.483,300,31.092,2.54,"","",""
39,1234,7368,"",460,2049,"[37,20,48,12]",2,5,9,13,16,605.971,424.133,164,-12.895,0.434,"","",""
40,1191,7299,"",422,2007,"[51,104,101,4]",11,14,16,16,16,727.006,169.939,166,-8.631,2.244,"","",""
41,1157,7291,"",394,1974,"[51,58]",9,12,16,16,16,792.311,222.289,91,-18.817,1.624,"","",""
42,1103,7239,"",342,1920,"[83,71,114,97,34]",6,9,13,16,16,596.249,306.045,221,4.07,8.551,"","",""
43,1202,7244,"",431,2018,"[26,106,55,57]",9,12,16,16,16,312.204,228.411,200,12.792,-2.457,"","",""
44,1110,7363,"",349,1927,"[63,102,59,77]",12,15,16,16,16,360.173,144.944,172,-1.006,5.757,"","",""
45,1264,7243,"",361,2066,"[110,86,91]",12,15,16,16,16,560.946,144.777,155,8.323,1.749,"","",""
46,1160,7329,"",397,1977,"[31,95,92,49]",15,16,16,16,16,650.565,84.4,237,14.16,4.269,"","",""
47,1179,7301,"",411,1995,"[71,74,114,73]",8,11,15,16,16,593.215,241.805,173,24.225,7.947,"","",""
48,1134,7235,"",376,1951,"[39,50,18,90]",3,6,10,14,16,575.391,376.274,158,3.092,8.312,"","",""
49,1127,7256,"",369,1944,"[46,8]",16,16,16,16,16,736.277,62.283,161,-17.911,18.865,"","",""
50,1147,7305,"",387,1964,"[83,48,112,34]",4,7,11,15,16,531.56,355.889,129,6.623,-3.249,"","",""
51,1155,7289,"",392,1972,"[41,74,40]",10,13,16,16,16,766.955,193.558,146,-23.396,9.976,"","",""
52,1145,7344,"",385,1962,"[2,109,97,30]",4,7,11,15,16,749.812,400.231,183,-18.639,8.914,"","",""
53,1214,7259,"",442,2029,"[113,80,69]",2,5,9,13,16,355.625,485.046,204,-17.227,-20.025,"","",""
54,1094,7218,"",333,1911,"[106,55,60]",9,12,16,16,16,197.271,220.144,167,40.771,14.831,"","",""
55,1265,7251,"",362,2067,"[63,54,56,43]",10,13,16,16,16,243.218,196.553,162,9.378,2.033,"","",""
56,1108,7362,"",347,1925,"[55,6]",11,14,16,16,16,197.392,181.784,79,23.161,-2.937,"","",""
57,1217,7296,"",445,2032,"[68,61,75,43]",8,11,15,16,16,398.907,249.782,196,-4.068,-2.525,"","",""
