"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,7373,1162,112,79,"","g","Vaults of Atziri",""
1,8363,1140,163,149,"","Ç","Maelstrom of Chaos",""
2,8382,1196,167,153,"","Å","The Coward's Trial",""
3,8425,1213,169,159,"","Ô","Acton's Nightmare",""
4,8458,1182,199,191,"","ß","Poorjoy's Asylum",""
5,8475,1169,222,209,"","À","Mao Kun",""
6,8479,1218,226,213,"","#","Oba's Cursed Trove",""
7,8539,1152,229,216,"","$","Olmec's Sanctum",""
8,8540,1171,230,217,1,"","Untainted Paradise",""
9,8693,1220,316,303,"","¿","Death and Taxes",""
10,8860,1112,378,394,"","È","Whakawairua Tuahu",""
11,9587,1199,401,417,1,"Ù","Hall of Grandmasters",""
12,9588,1166,602,577,1,"²","The Vinktar Square",""
13,10881,1154,658,806,"","æ","Caer Blaidd, Wolfpack's Den",""
14,10950,1114,715,893,1,"™","The Perandus Manor",1
15,11267,1185,799,1049,"","Õ","The Putrid Cloister",""
16,11268,1142,801,1051,"","Ð","Hallowed Ground",""
17,11503,1250,951,1506,1,"","The Beachhead",""
18,11504,1251,951,1506,1,"","The Beachhead",""
19,11505,1252,951,1506,1,"","The Beachhead",""
20,11507,1174,953,1527,"","^","The Twilight Temple",""
21,11508,1124,957,1528,1,"‹","Doryani's Machinarium",""
22,11509,1150,961,1529,"","›","Pillars of Arun",""
23,12059,452,1181,2077,1,"","Altered Distant Memory",""
24,12060,453,1182,2078,1,"","Augmented Distant Memory",""
25,12061,454,1183,2079,1,"","Twisted Distant Memory",""
26,12062,455,1184,2080,1,"","Rewritten Distant Memory",""
27,12063,451,1185,2081,1,"","Cortex",""
28,11506,1253,1272,1506,1,"","Infused Beachhead",""
29,12064,451,1186,2081,1,"","Cortex",""
30,11510,1150,962,1529,1,"","Pillars of Arun",""
31,8459,1182,200,191,1,"","Poorjoy's Asylum",""
32,12731,1740,1400,1784,1,"","The Tower of Ordeals",""
