"rownum","WorldArea","CapturedVessel","QuestFlag","CapturedMonster","PanelLayout"
0,1145,8964,1389,4391,0
1,1258,8965,1390,8213,0
2,1143,8966,1391,2365,0
3,1136,8967,1392,2421,1
4,1212,8968,1393,5787,1
5,1240,8969,1394,5387,1
6,1181,8970,1395,5334,2
7,1117,8971,1396,3993,2
8,1138,8972,1397,2382,2
9,1173,8973,1398,5310,3
10,1265,8974,1399,8166,3
11,1264,8975,1400,5296,3
12,1144,8976,1402,2309,6
13,1141,8977,1405,5667,8
14,1226,8978,1406,5680,9
15,1260,8979,1407,8184,10
16,1233,8980,1401,4608,11
17,1234,8981,1404,5645,13
18,1206,8982,1408,5819,14
19,1159,8983,1403,1515,15
