"rownum","Id","HideoutArea","HASH16","HideoutFile","SpawnAreas","ClaimSideArea","HideoutImage","IsEnabled","Weight","Rarity","NotActsArea","Name","[i32]","bool","bool","bool","bool"
0,"HideoutForest",1533,65379,"Metadata/Terrain/Missions/Hideouts/Forest/decoration.hideout",[35],1532,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LushHideout",1,10000,0,"","Lush Hideout",[],"",1,1,""
1,"HideoutArch",1513,2401,"Metadata/Terrain/Missions/Hideouts/Archaeological/decoration.hideout",[1236],1514,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TrenchHideout",1,33,3,1,"Robber's Trench Hideout",[],"",1,1,""
2,"HideoutBattleground",1561,28470,"Metadata/Terrain/Missions/Hideouts/Battleground/decoration.hideout",[1198],1562,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BattlescarredHideout",1,200,1,1,"Battle-scarred Hideout",[],"",1,1,""
3,"HideoutBeach",1557,33485,"Metadata/Terrain/Missions/Hideouts/Beach/decoration.hideout",[1139],1558,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoastalHideout",1,200,1,1,"Coastal Hideout",[],"",1,1,""
4,"HideoutLibrary",1563,8897,"Metadata/Terrain/Missions/Hideouts/Library/decoration.hideout",[1135],1564,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EnlightenedHideout",1,200,1,1,"Enlightened Hideout",[],"",1,1,""
5,"HideoutGardens",1567,62863,"Metadata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",[1197],1568,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/OvergrownHideout",1,100,2,1,"Overgrown Hideout",[],"",1,1,""
6,"HideoutSolaris",1565,13485,"Metadata/Terrain/Missions/Hideouts/Solaris/decoration.hideout",[1128],1566,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ImmaculateHideout",1,200,1,1,"Immaculate Hideout",[],"",1,1,""
7,"HideoutFellshrine",1559,45200,"Metadata/Terrain/Missions/Hideouts/Fellshrine/decoration.hideout",[1090],1560,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UnearthedHideout",1,200,1,1,"Unearthed Hideout",[],"",1,1,""
8,"HideoutSlum",1555,62635,"Metadata/Terrain/Missions/Hideouts/Slums/decoration.hideout",[1107],1556,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BackstreetHideout",1,200,1,1,"Backstreet Hideout",[],"",1,1,""
9,"HideoutSewer",1535,29226,"Metadata/Terrain/Missions/Hideouts/Sewers/decoration.hideout",[49],1534,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UndercityHideout",1,10000,0,"","Undercity Hideout",[],"",1,1,""
