"rownum","Mod","Categories","DestroyAchievements"
0,24698,[0],[]
1,24699,[0],[8128]
2,24700,[0],[8117]
3,24701,[0],[8129]
4,24702,[0],[8130]
5,24703,[0],[8125]
6,24704,[0],[8120]
7,24705,[0],[8122]
8,24706,[0],[8123]
9,24707,[0],[8124]
10,24708,[0],[8126]
11,24709,[1],[]
12,24710,[1],[8119]
13,24711,[1],[8118]
14,24712,[3],[]
15,24713,[0],[8127]
16,24714,[0],[8131]
17,24715,[0],[8132]
18,24716,[1],[8133]
19,24717,[0],[]
20,24718,[0],[]
21,24719,[0],[]
22,24720,[0],[8134]
23,24721,[0],[]
24,24722,[0],[8121]
25,24723,[0],[8135]
26,24724,[0],[8115]
27,24725,[0],[8114]
28,24726,[0],[8113]
29,24727,[0],[8116]
30,24728,[0],[8136]
31,24729,[0],[8137]
32,24730,[0],[8138]
33,24731,[0],[8139]
34,24732,[0],[8140]
35,24733,[0],[8141]
36,24734,[0],[8142]
37,24735,[0],[8143]
38,24736,[3],[]
39,24746,[3],[]
40,24745,[3],[]
41,24737,[0],[]
42,24738,[2],[]
43,24739,[0],[]
44,24740,[2],[]
45,24741,[0],[]
46,24742,[0],[]
47,24743,[0],[]
48,24744,[0],[]
49,24747,[0],[]
50,24748,[2],[]
51,24749,[0],[]
52,24750,[2],[]
53,24751,[1],[]
54,24752,[1],[]
55,24753,[1],[]
56,24754,[1],[]
57,24755,[2],[]
58,24756,[2],[]
59,24757,[2],[]
60,24758,[2],[]
61,24781,[1],[]
62,24759,[2],[]
63,24760,[2],[]
64,24761,[2],[]
65,24762,[1],[]
66,24763,[1],[]
67,24764,[1],[]
68,24782,[1],[]
69,24783,[1],[]
70,24784,[1],[]
71,24785,[1],[]
72,24786,[1],[]
73,24787,[1],[]
74,24788,[1],[]
75,24789,[1],[]
76,24790,[1],[]
77,24791,[1],[]
78,24775,[1],[]
79,24776,[1],[]
80,24778,[1],[]
81,24779,[1],[]
82,24777,[2],[]
83,24780,[2],[]
84,24792,[2],[]
85,24793,[2],[]
86,24794,[2],[]
87,24795,[2],[]
88,24796,[2],[]
89,24797,[2],[]
90,24798,[2],[]
91,24799,[2],[]
92,24800,[2],[]
93,24801,[2],[]
94,24802,[2],[]
95,24695,[0],[]
96,24697,[0],[]
97,24696,[0],[]
98,24663,[1],[]
99,24665,[1],[]
100,24667,[1],[]
101,24669,[1],[]
102,24671,[1],[]
103,24673,[1],[]
104,24675,[1],[]
105,24677,[1],[]
106,24679,[1],[]
107,24681,[1],[]
108,24683,[1],[]
109,24685,[1],[]
110,24687,[1],[]
111,24689,[1],[]
112,24691,[1],[]
113,24693,[1],[]
114,24765,[1],[]
115,24767,[1],[]
116,24769,[1],[]
117,24771,[1],[]
118,24766,[2],[]
119,24768,[2],[]
120,24770,[2],[]
121,24772,[2],[]
122,24664,[2],[]
123,24666,[2],[]
124,24668,[2],[]
125,24670,[2],[]
126,24672,[2],[]
127,24674,[2],[]
128,24676,[2],[]
129,24678,[2],[]
130,24680,[2],[]
131,24682,[2],[]
132,24684,[2],[]
133,24686,[2],[]
134,24688,[2],[]
135,24690,[2],[]
136,24692,[2],[]
137,24694,[2],[]
138,24773,[1],[]
139,24774,[2],[]
