"rownum","Id","Normal_WorldAreasKeys","Cruel_WorldAreasKeys","Merciless_WorldAreasKeys","Endgame_WorldAreasKeys","i32"
0,"OutdoorEnd","[481,515]","[554,587]","[626,659]","[698,731]",1
1,"OutdoorEndBottleneck","[482,516,505]","[555,588,577]","[627,660,649]","[699,732,721]",1
2,"OutdoorStraight","[483,506,517]","[556,578,589]","[628,650,661]","[700,722,733]",2
3,"OutdoorStraightBottleneck","[518,507,484]","[590,579,557]","[662,651,629]","[734,723,701]",2
4,"OutdoorBranch","[485,508,519]","[558,580,591]","[630,652,663]","[702,724,735]",3
5,"OutdoorBranchBottleneck1","[509,520]","[581,592]","[653,664]","[725,736]",3
6,"OutdoorBranchBottleneck2","[521,510,487]","[593,582,560]","[665,654,632]","[737,726,704]",3
7,"OutdoorQuad","[489,512,523]","[562,584,595]","[634,656,667]","[706,728,739]",4
8,"IndoorShortcut",[461],[534],[606],[678],2
9,"IndoorEndBottleneck","[460,471,494]","[533,544,566]","[605,616,638]","[677,688,710]",1
10,"IndoorStraight","[495,472,461]","[567,545,534]","[639,617,606]","[711,689,678]",2
11,"IndoorStraightBottleneck","[462,496,473]","[535,568,546]","[607,640,618]","[679,712,690]",2
12,"IndoorBranch","[497,474,463]","[569,547,536]","[641,619,608]","[713,691,680]",3
13,"IndoorBranchBottleneck1","[464,498,475]","[537,570,548]","[609,642,620]","[681,714,692]",3
14,"IndoorBranchBottleneck2","[465,499,476]","[538,571,549]","[610,643,621]","[682,715,693]",3
15,"IndoorQuad","[467,478,501]","[540,551,573]","[612,623,645]","[684,695,717]",4
16,"OutdoorQuadDoor","[525,491,514]","[597,564,586]","[669,636,658]","[741,708,730]",4
17,"OutdoorBranchDoor","[522,488,511]","[594,561,583]","[666,633,655]","[738,705,727]",3
18,"IndoorQuadDoor","[469,480,503]","[542,553,575]","[614,625,647]","[686,697,719]",4
19,"IndoorBranchDoor","[466,477,500]","[539,550,572]","[611,622,644]","[683,694,716]",3
20,"EntranceStraight",[517],[589],[661],[733],2
21,"EntranceQuadDoor",[525],[597],[669],[741],4
22,"EntranceQuad",[523],[595],[667],[739],4
23,"EntranceBranch",[519],[591],[663],[735],3
24,"EntranceBranchDoor",[522],[594],[666],[738],3
25,"EntranceStraightBottleneck",[518],[590],[662],[734],2
26,"ElegantBlockBranch",[492],[],[],[],3
27,"Boss1",[526],[598],[670],[742],2
28,"Boss2",[527],[599],[671],[743],3
29,"Boss3",[528],[600],[672],[744],4
30,"FinalBoss1",[529],[601],[673],[745],2
31,"FinalBoss2",[530],[602],[674],[746],3
32,"FinalBoss3",[531],[603],[675],[747],4
