"rownum","InfluenceMod","UpgradedMod","bool"
0,14419,24265,1
1,14420,24266,1
2,14421,14422,""
3,14422,24267,1
4,14423,14424,""
5,14424,24268,1
6,14425,14426,""
7,14426,24269,1
8,14427,24270,1
9,14429,24271,1
10,14431,14432,""
11,14432,24272,1
12,14433,14434,""
13,14434,24273,1
14,14435,24274,1
15,14436,14437,""
16,14437,24275,1
17,14438,14439,""
18,14439,24276,1
19,14440,14441,""
20,14441,24277,1
21,14442,14443,""
22,14443,24278,1
23,14444,14445,""
24,14445,24279,1
25,14446,14447,""
26,14447,24280,1
27,14448,14449,""
28,14449,24281,1
29,14450,14451,""
30,14451,24282,1
31,14452,14453,""
32,14453,24283,1
33,14454,14455,""
34,14455,24284,1
35,20418,20419,""
36,20419,24285,1
37,20494,20495,""
38,20495,24286,1
39,20496,24287,1
40,20500,20501,""
41,20501,24290,1
42,20502,24291,1
43,20503,20504,""
44,20504,24292,1
45,20505,20506,""
46,20506,24293,1
47,20507,20508,""
48,20508,24294,1
49,20509,24295,1
50,20510,24296,1
51,20511,20512,""
52,20512,20513,""
53,20513,24297,1
54,20514,20515,""
55,20515,24298,1
56,20516,24299,1
57,20517,20518,""
58,20518,24300,1
59,20519,20520,""
60,20520,24301,1
61,20521,24302,1
62,20522,20523,""
63,20523,24303,1
64,20524,24304,1
65,20525,24305,1
66,20526,24306,1
67,20527,20528,""
68,20528,24307,1
69,20529,24308,1
70,20530,20531,""
71,20531,24309,1
72,20532,20533,""
73,20533,24310,1
74,20534,20535,""
75,20535,24311,1
76,20536,20537,""
77,20537,24312,1
78,20538,20539,""
79,20539,24313,1
80,20540,24315,1
81,20541,24316,1
82,20542,20543,""
83,20543,24317,1
84,20544,20545,""
85,20545,24318,1
86,20546,20547,""
87,20547,24319,1
88,20548,20549,""
89,20549,24320,1
90,14352,14353,""
91,14353,14354,""
92,14354,24321,1
93,14355,14356,""
94,14356,14357,""
95,14357,24322,1
96,14358,14359,""
97,14359,24323,1
98,14360,14361,""
99,14361,14362,""
100,14362,24324,1
101,14363,14364,""
102,14364,14365,""
103,14365,24325,1
104,14369,14370,""
105,14370,14371,""
106,14371,24327,1
107,14372,14373,""
108,14373,14374,""
109,14374,24328,1
110,14375,14376,""
111,14376,14377,""
112,14377,24329,1
113,14378,14379,""
114,14379,14380,""
115,14380,24330,1
116,14381,14382,""
117,14382,14383,""
118,14383,24331,1
119,14384,14385,""
120,14385,14386,""
121,14386,24332,1
122,14387,14388,""
123,14388,24333,1
124,14389,24334,1
125,14390,14391,""
126,14391,14392,""
127,14392,24335,1
128,14393,14394,""
129,14394,14395,""
130,14395,24336,1
131,14396,14397,""
132,14397,14398,""
133,14398,24337,1
134,14399,14400,""
135,14400,14401,""
136,14401,24338,1
137,14402,14403,""
138,14403,14404,""
139,14404,24339,1
140,14405,14406,""
141,14406,24340,1
142,14407,14408,""
143,14408,24341,1
144,14409,14410,""
145,14410,24342,1
146,14411,14412,""
147,14412,14413,""
148,14413,24343,1
149,14414,14415,""
150,14415,14416,""
151,14416,24344,1
152,14417,24345,1
153,14418,24346,1
154,20307,20308,""
155,20308,24347,1
156,20414,20415,""
157,20415,24348,1
158,20420,20421,""
159,20421,24350,1
160,20422,24351,1
161,20423,20424,""
162,20424,24352,1
163,20425,20426,""
164,20426,24353,1
165,20427,24354,1
166,20428,20429,""
167,20429,20430,""
168,20430,24355,1
169,20431,20432,""
170,20432,20433,""
171,20433,24356,1
172,20434,20435,""
173,20435,20436,""
174,20436,24357,1
175,20437,24358,1
176,20438,20439,""
177,20439,24359,1
178,20440,20441,""
179,20441,20442,""
180,20442,24360,1
181,20443,20444,""
182,20444,24361,1
183,20445,24362,1
184,20446,20447,""
185,20447,20448,""
186,20448,24363,1
