"rownum","BaseItemTypesKey","ItemVisualEffectKey","ItemVisualIdentityKey1","ItemVisualIdentityKey2","Stats","ItemClasses","[rid]","bool","[i32]","[i32]","bool","[rid]","bool","[rid]","[rid]","rid","[rid]"
0,441,12,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
1,442,2,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
2,443,1,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
3,444,13,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
4,445,0,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
5,446,14,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
6,447,3,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
7,448,4,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
8,449,5,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
9,450,6,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
10,451,7,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
11,452,8,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
12,453,9,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
13,454,10,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
14,455,15,"","",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],"",[]
15,456,15,"","",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],"",[]
16,457,15,"","",[],"[7,8,9,10,15,37,56]",[],"",[],"[2,5]","",[],"",[],[],"",[]
17,458,16,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
18,459,17,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],"",[]
19,460,18,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],"",[]
20,461,19,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],"",[]
21,462,20,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]",1,[],"",[],[],"",[]
22,463,21,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
23,464,22,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
24,465,23,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
25,466,24,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
26,467,25,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
27,468,43,"","",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],"[2,5]","",[],"",[],[],"",[]
28,370,"","",4012,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
29,369,"","",4011,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
30,366,"","",4013,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
31,367,"","",4014,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
32,368,"","",4015,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
33,371,"","",4016,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
34,372,"","",4017,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
35,4155,"","",4019,[],[25],[],1,[],"[8,21]","",[],"",[],[],"",[]
36,373,"","",4020,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
37,374,"","",4021,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
38,375,"","",4022,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
39,376,"","",4023,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
40,377,"","",4024,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
41,378,"","",4026,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
42,379,"","",4027,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
43,380,"",4028,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
44,381,"","",4029,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
45,382,"","",4030,[],[25],[],"",[],"[8,21]","",[],"",[],[],"",[]
46,383,"",4031,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
47,384,"",4032,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
48,385,"",4033,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
49,386,"",4034,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
50,387,"",4035,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
51,388,"",4036,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
52,389,"",4037,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
53,390,"",4038,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
54,391,"",4039,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
55,392,"",4040,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
56,393,"",4041,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
57,394,"",4042,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
58,395,"",4043,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
59,396,"",4044,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
60,397,"",4045,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
61,398,"",4047,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
62,399,"",4048,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
63,556,"",4101,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
64,557,"",4102,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
65,482,"",4046,"",[],[25],[],"",[],[7],"",[],"",[],[],"",[]
66,400,"",4018,"",[],[24],[],"",[],[9],"",[],"",[],[],"",[]
67,362,"",8600,"",[],"[25,24,22,23,26,20]",[],"",[],"[7,9,11,12,4]","",[],"",[],[],"",[]
68,364,"","","",[16128],"[0,1,2,33,34]",[],"",[-1],"[26,27,28,29,30]","",[],"",[],[],"",[]
