"rownum","Id","ModsKey0","ModsKey1","ModsKey2","bool"
0,"Resist1",3037,3108,3192,1
1,"Resist2",3038,3109,3193,1
2,"Resist3",3039,3110,3194,1
3,"Resist4",3040,3111,3195,1
4,"Resist5",3041,3112,3196,1
5,"Resist6",3042,3113,3197,1
6,"Resist7",3043,3114,3198,1
7,"Resist8",3044,3115,3199,1
8,"Resist9",8216,8218,8220,""
9,"Resist10",8217,8219,8221,""
10,"Resist11",8254,8256,8258,""
11,"Resist12",8255,8257,8259,""
12,"Resist13",8365,8367,8369,""
13,"Resist14",8366,8368,8370,""
14,"Resist15",8401,8403,8405,""
15,"Resist16",8402,8404,8406,""
16,"Resist17",17366,17369,17372,""
17,"Resist18",17367,17370,17373,""
18,"Resist19",17368,17371,17374,""
19,"Resist20",3258,3259,3260,""
20,"Resist21",18050,18051,18052,""
21,"Resist22",9159,9160,9161,1
22,"Resist23",13696,13697,13698,1
23,"Resist24",3255,3256,3257,""
24,"Resist25",18047,18048,18049,""
25,"Resist26",14640,14643,14646,1
26,"Resist27",14641,14644,14647,1
27,"Resist28",14642,14645,14648,1
28,"Resist29",15745,15754,15763,""
29,"Resist30",20274,20343,20414,1
30,"Resist31",20275,20344,20415,1
31,"Resist32",20566,20578,20550,1
32,"Resist33",20567,20579,20551,1
33,"Resist34",20568,20580,20552,1
34,"Resist35",3252,3253,3254,""
35,"Resist36",18044,18045,18046,""
36,"Resist37",15813,15823,15833,1
37,"Resist38",21696,21699,21702,1
38,"Resist39",21697,21700,21703,1
39,"Resist40",21698,21701,21704,1
40,"Resist41",21769,21774,21779,1
41,"Resist42",21770,21775,21780,1
42,"Resist43",21771,21776,21781,1
43,"Resist44",21772,21777,21782,1
44,"Resist45",21773,21778,21783,1
45,"Resist46",24474,24415,24348,1
46,"Resist47",13314,13317,13320,1
47,"Resist48",13315,13318,13321,1
48,"Resist49",13316,13319,13322,1
