"rownum","BaseItemTypesKey","Critical","Speed","DamageMin","DamageMax","RangeMax","Null6"
0,4571,500,833,1,1,13,0
1,4572,700,714,5,9,120,0
2,4573,700,833,9,16,120,0
3,4574,700,667,9,17,120,0
4,4575,700,769,14,27,120,0
5,4576,700,769,12,37,120,0
6,4577,800,833,23,42,120,0
7,4578,700,741,22,40,120,0
8,4579,700,833,26,48,120,0
9,4580,700,667,21,38,120,0
10,4581,700,769,28,52,120,0
11,4582,700,769,21,64,120,0
12,4583,800,833,33,61,120,0
13,4584,700,741,31,57,120,0
14,4585,700,833,38,71,120,0
15,4586,700,667,29,53,120,0
16,4587,700,769,35,65,120,0
17,4588,700,769,25,75,120,0
18,4589,800,833,35,64,120,0
19,4590,700,741,33,61,120,0
20,4591,750,714,16,30,120,0
21,4592,750,714,25,46,120,0
22,4593,750,714,29,54,120,0
23,4594,700,714,13,25,120,0
24,4595,700,714,27,50,120,0
25,4596,700,714,30,55,120,0
26,4597,700,800,5,9,120,0
27,4598,600,667,6,10,10,0
28,4599,600,690,4,17,10,0
29,4600,630,690,3,26,10,0
30,4601,610,667,7,27,10,0
31,4602,630,690,8,34,10,0
32,4603,650,769,10,41,10,0
33,4604,630,690,11,43,10,0
34,4605,650,833,15,59,10,0
35,4606,620,741,14,54,10,0
36,4607,600,714,11,45,10,0
37,4608,630,714,7,62,10,0
38,4609,610,667,13,52,10,0
39,4610,630,714,15,59,10,0
40,4611,650,833,19,75,10,0
41,4612,630,690,16,64,10,0
42,4613,650,833,22,87,10,0
43,4614,650,741,19,74,10,0
44,4615,650,714,19,76,10,0
45,4616,630,714,10,86,10,0
46,4617,610,667,19,74,10,0
47,4618,630,714,20,79,10,0
48,4619,650,833,24,95,10,0
49,4620,630,667,18,73,10,0
50,4621,650,833,24,97,10,0
51,4622,620,741,22,88,10,0
52,4623,630,714,12,46,10,0
53,4624,630,714,18,71,10,0
54,4625,630,714,20,79,10,0
55,4626,630,690,12,47,10,0
56,4627,630,690,18,73,10,0
57,4628,630,690,21,85,10,0
58,4629,620,625,4,11,11,0
59,4630,650,667,6,17,11,0
60,4631,630,645,7,23,11,0
61,4632,600,625,12,22,11,0
62,4633,630,645,12,31,11,0
63,4634,650,769,16,43,11,0
64,4635,600,625,14,38,11,0
65,4636,630,667,12,46,11,0
66,4637,630,667,15,44,11,0
67,4638,650,769,20,53,11,0
68,4639,630,667,15,51,11,0
69,4640,600,625,23,43,11,0
70,4641,630,667,20,53,11,0
71,4642,650,769,26,68,11,0
72,4643,600,625,21,56,11,0
73,4644,630,667,17,69,11,0
74,4645,630,667,21,64,11,0
75,4646,650,769,30,78,11,0
76,4647,630,667,21,73,11,0
77,4648,600,625,29,55,11,0
78,4649,630,667,26,68,11,0
79,4650,650,769,29,76,11,0
80,4651,600,625,25,65,11,0
81,4652,630,667,18,71,11,0
82,4653,630,667,23,68,11,0
83,4654,600,625,13,24,11,0
84,4655,600,625,20,37,11,0
85,4656,600,625,22,41,11,0
86,4657,500,667,6,11,11,0
87,4658,500,690,10,15,11,0
88,4659,500,667,11,21,11,0
89,4660,500,769,12,35,11,0
90,4661,500,741,19,34,11,0
91,4662,500,714,14,42,11,0
92,4663,500,833,27,50,11,0
93,4664,500,769,29,48,11,0
94,4665,500,741,26,46,11,0
95,4666,500,769,32,50,11,0
96,4667,500,667,25,46,11,0
97,4668,500,833,26,79,11,0
98,4669,500,769,35,65,11,0
99,4670,500,714,24,71,11,0
100,4671,500,833,45,83,11,0
101,4672,500,769,45,75,11,0
102,4673,500,741,40,71,11,0
103,4674,500,769,49,77,11,0
104,4675,500,667,38,70,11,0
105,4676,500,833,38,114,11,0
106,4677,500,769,47,87,11,0
107,4678,500,714,30,90,11,0
108,4679,500,833,54,100,11,0
109,4680,500,769,51,85,11,0
110,4681,500,741,44,79,11,0
111,4682,500,769,21,44,11,0
112,4683,500,769,32,67,11,0
113,4684,500,769,38,79,11,0
114,4685,500,690,5,11,11,0
115,4686,500,909,3,23,11,0
