"rownum","StatsKey","Description","BaseItemTypesKey","ModsKey"
0,20252,"Quality (Elemental Damage Modifiers)",283,0
1,20253,"Quality (Caster Modifiers)",284,1
2,20254,"Quality (Attack Modifiers)",285,2
3,20255,"Quality (Defence Modifiers)",286,3
4,20256,"Quality (Life and Mana Modifiers)",287,4
5,20257,"Quality (Resistance Modifiers)",288,5
6,20258,"Quality (Attribute Modifiers)",289,6
7,20259,"Quality (Physical and Chaos Damage Modifiers)",290,7
8,20260,"Quality (Speed Modifiers)",291,8
9,20261,"Quality (Critical Modifiers)",292,9
