"rownum","i32","[rid]","[rid]","i32","i32","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","i32"
0,1,"[196,197,198]",[],4,0,0,0,0,1,0,7,"","",2,"",0
1,2,[213],[],5,0,22,0,0,1,0,7,"","",2,"",0
2,3,[212],[],4,0,0,0,0,1,0,7,"","",2,"",0
3,4,[215],[],5,0,0,0,0,1,0,7,"","",2,"",0
4,5,[216],[],5,0,0,0,0,1,0,7,"","",2,"",0
5,6,[217],[],5,0,0,0,0,1,0,7,"","",2,"",0
6,7,[218],[],5,0,0,0,0,1,0,7,"","",2,"",0
7,8,[219],[],5,0,0,0,0,1,0,7,"","",2,"",0
8,9,[222],[],5,0,0,0,0,1,0,2,"","",2,"",0
9,10,[227],[],5,0,20,0,0,1,0,7,"","",2,"",0
10,11,"[230,231,232,233]",[],5,0,22,0,0,1,0,7,"","boss_geyser",2,1,0
11,12,[236],[],5,0,22,0,0,1,0,7,"","",2,"",0
12,13,"[237,238,239,240]",[],5,0,8,0,0,1,0,7,"","",2,"",0
13,14,[244],[],5,0,0,0,0,1,0,2,"","",2,"",0
14,15,[245],[],5,0,0,0,0,5,3,7,"","",2,"",0
15,16,[262],[],4,0,0,0,-90,1,0,4,"","",2,"",0
16,17,[262],[],4,0,0,0,90,1,0,4,"","",2,"",0
17,18,[263],[],5,0,22,0,0,1,0,7,"","",2,"",0
18,19,"[264,265,266]",[],4,0,0,0,0,1,0,7,"","",2,"",0
19,21,[268],[],4,4,5,0,0,1,0,7,"","",2,"",0
20,22,[281],[],4,0,0,0,0,1,0,7,"","",2,"",0
21,23,[282],[],4,0,0,0,0,2,20,2,"","",2,"",0
22,24,[284],[],4,0,0,0,-90,1,0,4,"","",2,"",0
23,25,[286],[],4,0,0,0,0,1,0,2,"","",2,"",0
24,26,[285],[],4,0,0,0,-90,1,0,4,"","",2,"",0
25,27,[290],[],4,0,0,0,0,1,0,4,"","",2,"",0
26,28,[291],[],4,0,0,0,0,2,0,4,"","",2,"",0
27,29,"[322,323,324,325,326]",[],4,0,0,0,0,1,0,7,"","",2,"",0
28,30,[330],[],4,0,0,0,0,1,0,7,"","",2,"",0
29,31,[333],[],5,0,22,0,0,1,0,7,"","",2,"",0
30,32,[335],[],4,0,0,0,0,1,0,7,"","",2,"",0
31,33,[336],[],4,0,0,0,0,1,0,7,"","",2,"",0
32,34,[342],[],4,0,0,0,0,1,0,7,"","",2,"",0
33,35,[343],[],4,0,0,0,0,1,0,2,"","",2,"",0
34,36,[344],[],4,0,0,0,0,1,0,2,"","",2,"",0
35,37,[345],[],4,0,0,0,0,1,0,2,"","",2,"",0
36,38,[347],[],4,0,0,0,0,1,0,2,"","",2,"",0
37,39,[350],[],3,0,0,0,0,1,0,2,"","",2,"",0
38,40,[360],[],4,0,0,0,0,2,10,4,"","",2,"",0
39,41,[364],[],5,0,0,0,0,1,0,7,"","",2,"",0
40,42,[366],[],5,0,22,0,0,1,0,7,"","",2,"",0
41,43,[367],[],5,0,0,0,0,1,0,7,"","",2,"",0
42,44,[369],[],4,0,0,0,0,1,0,7,"","",2,"",0
43,45,[376],[],4,0,0,0,0,1,0,7,"","",2,"",0
44,46,[377],[],4,0,0,0,0,1,0,7,"","",2,"",0
45,47,[378],[],4,0,0,0,0,1,0,7,"","",2,"",0
46,48,[376],[],4,0,15,0,0,1,0,7,"","",2,"",0
47,49,[377],[],4,0,15,0,0,1,0,7,"","",2,"",0
48,50,[378],[],4,0,15,0,0,1,0,7,"","",2,"",0
49,51,[394],[],4,0,0,0,0,1,0,7,"","flank_markers",2,1,0
50,52,[394],[],4,0,0,0,0,1,0,4,"","prowl_vines",2,1,0
51,53,[394],[],4,0,0,0,0,1,0,4,"","prowl_vines",2,1,0
52,54,[395],[],5,0,0,0,0,1,0,4,"","vine_trap",2,"",0
53,55,[394],[],4,0,0,0,0,1,0,4,"","last_prowl_vine",2,"",0
54,56,[398],[],4,0,0,0,0,1,0,7,"","",2,"",0
55,57,[404],[],4,0,0,0,0,1,0,7,"","",2,"",0
56,58,[405],[],4,0,0,0,0,1,0,7,"","",2,"",0
57,59,[406],[],4,0,0,0,0,1,0,7,"","",2,"",0
58,60,[407],[],4,0,0,0,0,1,0,7,"","",2,"",0
59,61,[421],[],3,0,0,0,0,1,0,2,"","ice_fissures",2,1,0
60,64,[424],[],4,0,0,0,0,1,0,2,"","",2,"",0
61,65,[425],[],5,0,0,0,0,1,0,7,"","",2,"",0
62,66,[427],[],4,0,0,0,0,1,0,2,"","",2,"",0
63,67,[428],[],5,0,0,0,0,1,0,2,"","",2,"",0
64,68,[429],[],4,0,0,0,0,1,0,2,"","",2,"",0
65,69,[431],[],3,0,0,0,0,1,0,7,"","placed_bomb",2,"",0
66,70,[432],[],4,0,0,0,0,1,0,7,"","grid_mine",2,1,0
67,71,[442],[],5,0,0,0,0,1,0,2,"","",2,"",0
68,72,[443],[],4,0,0,0,0,1,0,7,"","",2,"",0
69,73,[439],[],4,0,0,0,0,1,0,7,"","",2,1,0
70,74,[440],[],4,0,0,0,0,1,0,7,"","",2,1,0
71,75,[447],[],4,0,0,0,0,1,0,7,"","",2,"",0
72,76,[451],[],4,0,0,0,0,1,0,7,"","",2,1,0
73,77,[456],[],4,0,0,0,0,1,0,7,"","",2,"",0
74,78,[458],[],4,10,0,0,0,1,0,7,"","dominus_spawner",2,1,0
75,79,[459],[],4,0,0,0,0,1,0,7,"","",2,"",0
76,80,[461],[],4,0,0,0,0,1,0,7,"","",2,"",0
77,81,[463],[],4,0,0,0,0,1,0,7,"","standalone_shav_telemark",2,1,0
78,82,[464],[],4,0,0,0,180,1,0,2,"","turret_group1",2,1,0
79,83,[465],[],4,0,0,0,0,1,0,2,"","turret_group2",2,1,0
80,84,"[466,467]",[],4,0,0,0,0,1,0,7,"","cracks",2,1,0
81,85,[468],[],4,0,0,0,0,1,0,7,"","adus_pillar",2,1,0
82,86,"[471,472,473]",[],4,3,7,0,0,1,0,7,"","pods",2,1,0
83,87,[475],[],4,0,0,0,0,1,0,7,"","xnuke",2,1,0
84,88,[483],[],4,0,0,0,0,1,0,7,"","",2,"",0
85,89,[508],[],4,0,0,0,0,2,10,7,"","",2,"",0
86,90,[515],[],4,0,0,0,0,2,10,7,"","",2,"",0
87,91,[540],[],4,0,0,0,0,2,0,2,"","",2,"",0
88,92,[541],[],4,0,0,0,0,1,0,7,"","",2,"",0
89,93,[543],[],4,0,0,0,0,1,0,7,"","",2,"",0
90,94,[549],[],4,0,0,0,0,1,0,7,"","",2,"",0
91,95,[550],[],4,12,12,0,0,2,13,2,"","",2,"",0
92,96,[561],[],4,0,0,0,0,1,0,7,"","blood_orb",2,"",0
93,97,[562],[],4,0,0,0,0,1,0,7,"","fissure",2,1,0
94,98,[576],[],4,0,0,0,0,1,0,7,"","",2,"",0
95,99,[577],[],4,0,0,0,0,1,0,2,"","target_rune",2,"",0
96,100,[344],[],4,0,0,0,0,1,0,4,"","",2,"",0
97,101,[345],[],4,0,0,0,0,1,0,4,"","",2,"",0
98,102,"[584,586,587,588]",[],4,0,0,0,0,1,0,7,"","walls",2,1,0
99,103,[606],[],4,0,0,0,0,1,0,7,"","",2,"",0
100,104,[611],[],4,0,0,0,0,1,0,11,"","big_tentacles",2,1,0
101,105,[611],[],4,0,0,0,0,1,0,11,"","big_tentacles",2,1,0
102,106,[611],[],4,0,0,0,180,1,0,4,"","",2,"",0
103,107,[1172],[],4,0,0,0,0,1,0,2,"","target_marker",2,"",0
104,108,[287],[],4,0,0,0,0,1,0,2,"","",2,"",0
