"rownum","Id","Name","Tier","MinLevel","RoomUpgrade_IncursionRoomsKey","Mods","PresentARMFile","HASH16","IncursionArchitectKey","PastARMFile","TSIFile","UIIcon","FlavourText","Description","AchievementItemsKeys","i32","i32","RoomUpgradeFrom_IncursionRoomsKey","ItemisedFlavourText","string","[rid]"
0,"EntranceRoom","Entrance",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/entrance_01.arm",51448,"","","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Entrance","The tomb unsealed, what will it yield?","",[],90,1280,"","","",[]
1,"Boss","Apex of Atzoatl",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/boss_main.arm",20539,"","","","Art/2DArt/UIImages/InGame/Incursion/Rooms/BossRoom","'Tis not the meek who reach the peak.","",[],90,464,"","","",[]
2,"TEMPLATE_BlankRoom","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/room_blank.arm",15188,"","Metadata/Terrain/Leagues/Incursion/Rooms/room_blank_past.arm","","","","",[],90,1280,"","","",[]
3,"TEMPLATE_LockedDoor1","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_01_01.arm",33435,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_past_01_01.arm","","","","",[],90,1280,"","","",[]
4,"TEMPLATE_LockedDoor2","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_02_01.arm",20548,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_closed_past_02_01.arm","","","","",[],90,1280,"","","",[]
5,"TEMPLATE_OpenDoor1Trap1","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_Trap1.arm",17985,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","",[],90,1280,"","","",[]
6,"TEMPLATE_OpenDoor1Trap2","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_Trap2.arm",22436,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","",[],90,1280,"","","",[]
7,"TEMPLATE_OpenDoor1Trap3","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_Trap3.arm",16661,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","",[],90,1280,"","","",[]
8,"TEMPLATE_OpenDoor1","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_01_01.arm",42086,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_01_01.arm","","","","",[],90,1280,"","","",[]
9,"TEMPLATE_OpenDoor2Trap1","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_Trap1.arm",64909,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","",[],90,1280,"","","",[]
10,"TEMPLATE_OpenDoor2Trap2","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_Trap2.arm",34812,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","",[],90,1280,"","","",[]
11,"TEMPLATE_OpenDoor2Trap3","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_Trap3.arm",24216,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","",[],90,1280,"","","",[]
12,"TEMPLATE_OpenDoor2","",0,0,"",[],"Metadata/Terrain/Leagues/Incursion/Rooms/door_open_02_01.arm",61239,"","Metadata/Terrain/Leagues/Incursion/Rooms/door_open_past_02_01.arm","","","","",[],90,1280,"","","",[]
13,"PoisonRoomI","Poison Garden",1,0,35,"[15490,15578]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/poison_present_1.arm",56998,0,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/poison_past_1.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/PoisonRoom","Sweet scents mask foul intents.","Spreads poisonous plants throughout the Temple.",[],55,71,"","","Spreads poisonous plants throughout the Temple.",[15493]
14,"SacrificeRoomI","Sacrificial Chamber",1,0,36,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/sacrificialchamber_present_1.arm",50849,1,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/sacrificialchamber_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_black.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/SacrificeRoom","Sacred words read to bless the dead.","Allows you to sacrifice a unique item.\nAhuana drops an additional Unique Item.",[],61,72,"","","Allows you to sacrifice a unique item.",[]
15,"StormRoomI","Tempest Generator",1,0,37,"[15560,15546]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/storm_present_1.arm",37180,2,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/storm_past_1.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/StormRoom","White mists form a quiet storm.","Adds certain Tempests to the Temple.\nBuffs from Tempests have 50% increased duration.",[],64,73,"","","Adds certain Tempests to the Temple.\nBuffs from Tempests have 50% increased duration.",[15560]
16,"TrapRoomI","Trap Workshop",1,0,38,"[15522,15549,15572]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/trap_present_1.arm",4946,3,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/trap_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_white.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/TrapRoom","From the hollows, death soon follows.","Monsters throughout the Temple have increased area of effect.\nAdds traps throughout the Temple.",[],67,74,"","","Monsters throughout the Temple have increased area of effect.\nAdds traps throughout the Temple.",[15522]
17,"CartographyRoomI","Surveyor's Study",1,68,39,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/cartography_present_1.arm",54001,4,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/cartography_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_white.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/CartographyRoom","Borders drawn; liberties gone. ","Contains chests full of maps.",[],22,75,"","","Contains chests full of maps.",[]
18,"QueensChambersI","Royal Meeting Room",1,68,40,"[15537,15590]","Metadata/Terrain/Leagues/Incursion/Rooms/Features/queenschamber_present_1.arm",42889,5,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/queenschamber_past_1.arm","Metadata/Terrain/Leagues/Incursion/Recolors/master_yellow.tsi","Art/2DArt/UIImages/InGame/Incursion/Rooms/QueensChambers","A few beguile the rank and file.","Increases the number of magic monsters throughout the Temple. ",[],58,76,"","","Increases the number of magic monsters throughout the Temple. ",[15537]
19,"ChestsI","Storage Room",1,0,41,[],"Metadata/Terrain/Leagues/Incursion/Rooms/Features/chests_present_1.arm",25231,6,"Metadata/Terrain/Leagues/Incursion/Rooms/Features/chests_past_1.arm","","Art/2DArt/UIImages/InGame/Incursion/Rooms/Chests","Relics rust and gather dust.","Contains chests full of items.",[],25,77,"","","Contains chests full of items.",[]
