"rownum","StatsKey","MonsterPacksKeys"
0,16751,"[1234,1250,1251]"
1,16752,"[1240,1250,1251]"
2,16753,"[1246,1250,1251]"
3,16754,"[1247,1250,1251]"
4,16755,"[1248,1250,1251]"
5,1017,"[107,108,109,110,111,112,113,114,251]"
6,1016,"[163,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,201,306,325,330,404,408,202,203,204,205,206,437,438,439]"
7,1018,"[129,130,131,132,133]"
8,1019,"[172,173,174,175,176,177,213]"
9,1020,"[150,151,152,153,154,155,156,286,287,288]"
10,1021,"[123,165,166,167,172,190,230,231,232,251,252,253,254,255,256,257,297,339,346]"
11,2011,"[121,128,139,157,212,289,311,320,322,137,411,413,414,415,421]"
12,2012,"[263,264,265,266,267]"
13,5287,"[346,347,348,349,350,351,352]"
14,2013,"[170,299,302,303,304,305]"
15,5606,"[214,215,216,217,218,219,220,221,222]"
16,5607,"[258,259,260,261]"
17,6297,"[389,390,391,392,397,398,399,400,401,276,275]"
18,6298,"[393,394,395,396,405,406,407,410,273]"
19,6299,"[124,125,126,365,381,382,423,127]"
20,6863,"[358,359,360,361,362,363,430,426,427,428,429,425,447,448]"
21,7964,"[223,224,225,226,227,228,229,230,231,232,233]"
