"rownum","InfluencePack","MonsterPacks","rid","[rid]","i32","i32","i32","i32","[rid]","i32","i32","rid","i32","i32","i32","i32","bool","bool","bool","bool"
0,0,"[1808,1809,1810,1811]","",[],0,0,72,0,[],0,0,17339,20,20,15,15,"","","",""
1,1,"[1808,1809,1810,1811]","",[],0,0,72,0,[],0,0,17339,30,30,20,20,"","","",""
2,2,"[1808,1809,1810,1811]","",[],0,0,72,0,[],0,0,17339,40,40,25,25,"","","",""
3,3,"[1812,1813,1814,1815,1816]","",[],0,0,72,0,[],0,0,17339,20,20,15,15,"","","",""
4,4,"[1812,1813,1814,1815,1816]","",[],0,0,72,0,[],0,0,17339,30,30,20,20,"","","",""
5,5,"[1812,1813,1814,1815,1816]","",[],0,0,72,0,[],0,0,17339,40,40,25,25,"","","",""
6,6,"[1817,1818,1819,1820,1821]","",[],0,0,72,0,[],0,0,17339,20,20,15,15,"","","",""
7,7,"[1817,1818,1819,1820,1821]","",[],0,0,72,0,[],0,0,17339,30,30,20,20,"","","",""
8,8,"[1817,1818,1819,1820,1821]","",[],0,0,72,0,[],0,0,17339,40,40,25,25,"","","",""
9,9,"[1822,1823,1824]","",[],0,0,72,0,[],0,0,17339,20,20,15,15,"","","",""
10,10,"[1822,1823,1824]","",[],0,0,72,0,[],0,0,17339,30,30,20,20,"","","",""
11,11,"[1822,1823,1824]","",[],0,0,72,0,[],0,0,17339,40,40,25,25,"","","",""
12,12,[1825],"",[],0,0,72,0,[],0,0,"",15,15,15,15,"","","",""
13,13,[1826],"",[],0,0,72,0,[],0,0,"",15,15,15,15,"","","",""
14,14,[1827],"",[],0,0,72,0,[],0,0,"",15,15,15,15,"","","",""
15,15,[1828],"",[],0,0,72,0,[],0,0,"",15,15,15,15,"","","",""
16,16,[],"",[10807],0,0,72,0,[15],0,0,"",0,0,0,0,"","","",""
17,17,[1829],"",[],0,0,72,0,[],0,0,"",6,6,6,6,"","","",""
18,18,[1830],"",[],0,0,72,0,[],0,0,"",4,4,4,4,"","","",""
19,19,[1831],"",[],0,0,72,0,[],0,0,"",6,6,6,6,"","","",""
20,20,[],1442,[],5,0,956,0,[],0,0,"",0,0,0,0,"","","",""
21,21,[],1443,[],7,0,976,0,[],0,0,"",0,0,0,0,"","","",""
22,22,[],1444,[],4,0,1004,0,[],0,0,"",0,0,0,0,"","","",""
23,23,[],1445,[],5,0,1020,0,[],0,0,"",0,0,0,0,"","","",""
24,25,[],"",[],0,0,72,0,[],70,100,16146,3,3,3,3,1,"","",""
25,26,[],"",[],0,0,72,0,[],70,100,16146,3,3,3,3,1,"","",""
26,27,[],"",[],0,0,72,0,[],0,0,16146,8,18,8,18,1,"","",""
27,28,[],"",[],0,0,72,0,[],0,0,16146,10,23,10,20,1,"","",""
28,29,[],"",[],0,0,72,0,[],0,0,16146,12,28,12,22,1,"","",""
29,30,[],"",[],0,0,72,0,[],0,0,16146,14,32,14,24,1,"","",""
30,31,[],"",[],0,0,72,0,[],0,0,16146,16,36,16,26,1,"","",""
31,32,[],"",[],0,0,72,0,[],0,0,16146,18,48,18,28,1,"","",""
32,33,[],"",[],0,0,72,0,[],0,0,16146,20,60,20,30,1,"","",""
33,34,[],"",[],0,0,72,0,[],0,0,16146,20,60,20,30,1,"","",""
34,35,[],"",[],0,0,72,0,[],70,100,16147,3,3,3,3,1,"","",""
35,36,[],"",[],0,0,72,0,[],70,100,16147,3,3,3,3,1,"","",""
36,37,[],"",[],0,0,72,0,[],0,0,16147,8,18,8,18,1,"","",""
37,38,[],"",[],0,0,72,0,[],0,0,16147,10,23,10,20,1,"","",""
38,39,[],"",[],0,0,72,0,[],0,0,16147,12,28,12,22,1,"","",""
39,40,[],"",[],0,0,72,0,[],0,0,16147,14,32,14,24,1,"","",""
40,41,[],"",[],0,0,72,0,[],0,0,16147,16,36,16,26,1,"","",""
41,42,[],"",[],0,0,72,0,[],0,0,16147,18,48,18,28,1,"","",""
42,43,[],"",[],0,0,72,0,[],0,0,16147,20,60,20,30,1,"","",""
43,44,[],"",[],0,0,72,0,[],0,0,16147,20,60,20,30,1,"","",""
