"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","Tier","i32","i32","bool"
0,1088,7367,"",10,1,5,""
1,1089,7220,"",0,1,5,""
2,1090,7234,"",16,6,10,""
3,1091,7233,"",8,6,10,""
4,1263,7279,"",15,1,5,""
5,1092,7357,"",2,1,5,""
6,1093,7359,"",0,1,5,""
7,1094,7218,"",9,1,5,""
8,1095,7224,"",0,1,5,""
9,1096,7225,"",0,1,5,""
10,1097,7228,"",0,1,5,""
11,1098,7365,"",6,6,10,""
12,1099,7351,"",2,1,5,""
13,1100,7322,"",0,1,5,""
14,1101,7294,"",0,1,5,""
15,1102,7315,"",8,6,10,""
16,1103,7239,"",6,1,5,""
17,1104,7288,"",3,6,10,""
18,1105,7238,"",7,1,5,""
19,1106,7261,"",0,6,10,""
20,1107,7215,"",9,1,5,""
21,1108,7362,"",11,6,10,""
22,1109,7358,"",0,1,5,""
23,1110,7363,"",12,11,15,""
24,1111,7254,"",1,1,5,""
25,1112,8860,"",1,0,0,""
26,1113,7293,"",0,6,10,""
27,1115,7227,"",15,1,5,""
28,1116,7310,"",0,6,10,""
29,1117,7323,"",6,1,5,""
30,1118,7309,"",0,11,15,""
31,1119,7247,"",14,11,15,""
32,1258,7298,"",7,1,5,""
33,1260,7292,"",10,1,5,""
34,1261,7319,"",8,1,5,""
35,1262,7314,"",2,1,5,""
36,1264,7243,"",12,1,5,""
37,1265,7251,"",10,1,5,""
38,1120,7361,"",0,6,10,""
39,1121,7356,"",6,1,5,""
40,1122,7348,"",6,1,5,""
41,1123,7317,"",14,1,5,""
42,1124,11508,"",14,0,0,1
43,1125,7226,"",13,1,5,""
44,1126,7229,"",16,6,10,""
45,1127,7256,"",16,6,10,""
46,1128,7304,"",5,6,10,""
47,1129,7245,"",4,6,10,""
48,1130,7269,"",0,1,5,""
49,1131,7349,"",1,1,5,""
50,1132,7355,"",0,1,5,""
51,1133,7219,"",0,1,5,""
52,1134,7235,"",3,11,15,""
53,1135,7231,"",8,6,10,""
54,1136,7255,"",4,1,5,""
55,1137,7257,"",0,1,5,""
56,1138,7263,"",15,1,5,""
57,1139,7271,"",4,1,5,""
58,1140,8363,"",4,0,0,""
59,1141,7268,"",12,11,15,""
60,1142,11268,"",12,0,0,""
61,1143,7297,"",14,6,10,""
62,1144,7350,"",7,6,10,""
63,1145,7344,"",4,6,10,""
64,1146,7300,"",0,6,10,""
65,1147,7305,"",4,6,10,""
66,1148,7252,"",0,1,5,""
67,1149,7240,"",15,1,5,""
68,1150,11509,"",15,0,0,""
69,1151,7260,"",3,6,10,""
70,1152,8539,"",3,0,0,""
71,1153,7290,"",10,6,10,""
72,1154,10881,"",10,0,0,""
73,1155,7289,"",10,11,15,""
74,1156,7265,"",4,6,10,""
75,1157,7291,"",9,6,10,""
76,1158,7366,"",5,11,15,""
77,1159,7360,"",11,11,15,""
78,1160,7329,"",15,6,10,""
79,1161,7230,"",4,11,15,""
80,1162,7373,"",4,0,0,""
81,1163,7249,"",0,6,10,""
82,1164,7284,"",0,1,5,""
83,1165,7286,"",5,11,15,""
84,1166,9588,"",5,0,0,1
85,1167,7264,"",0,6,10,""
86,1168,7273,"",4,0,0,""
87,1169,8475,"",4,0,0,""
88,1170,7274,"",0,0,0,""
89,1172,7318,"",7,6,10,""
90,1173,7354,"",2,6,10,""
91,1174,11507,"",2,0,0,""
92,1175,7369,"",3,11,15,""
93,1176,7246,"",0,11,15,""
94,1177,7237,"",0,11,15,""
95,1178,7303,"",3,6,10,""
96,1179,7301,"",8,6,10,""
97,1180,7307,"",0,6,10,""
98,1181,7283,"",5,6,10,""
99,1182,8458,"",5,0,0,""
100,1183,7266,"",0,6,10,""
101,1184,7277,"",3,6,10,""
102,1185,11267,"",3,0,0,""
103,1186,7313,"",0,6,10,""
104,1187,7353,"",0,6,10,""
105,1188,7306,"",12,11,15,""
106,1189,7345,"",0,6,10,""
107,1190,7258,"",2,0,0,""
108,1191,7299,"",11,6,10,""
109,1192,7295,"",7,11,15,""
110,1193,7267,"",5,6,10,""
111,1194,7272,"",5,0,0,""
112,1195,7276,"",12,0,0,""
113,1196,8382,"",12,0,0,""
114,1197,7278,"",13,6,10,""
115,1198,7281,"",6,6,10,""
116,1199,9587,"",6,0,0,""
117,1200,7308,"",13,11,15,""
118,1201,7262,"",12,6,10,""
119,1202,7244,"",9,6,10,""
120,1203,7253,"",2,6,10,""
121,1204,7275,"",3,11,15,""
122,1205,7316,"",0,6,10,""
123,1206,7221,"",7,6,10,""
124,1207,7241,"",11,0,0,""
125,1208,7242,"",0,6,10,""
126,1210,7347,"",10,11,15,""
127,1211,7342,"",0,11,15,""
128,1212,7280,"",6,6,10,""
129,1213,8425,"",6,0,0,""
130,1214,7259,"",2,0,0,""
131,1215,7217,"",0,11,15,""
132,1216,7236,"",11,6,10,""
133,1217,7296,"",8,11,15,""
134,1218,8479,"",14,0,0,""
135,1219,7302,"",7,6,10,""
136,1220,8693,"",7,0,0,""
137,1221,7250,"",0,11,15,""
138,1222,7324,"",3,11,15,""
139,1223,7222,"",16,6,10,""
140,1224,7352,"",0,6,10,""
141,1225,7287,"",0,11,15,""
142,1226,7311,"",1,11,15,""
143,1227,7321,"",13,11,15,""
144,1228,7285,"",8,6,10,""
145,1229,7223,"",0,11,15,""
146,1230,7326,"",0,11,15,""
147,1231,7325,"",9,11,15,""
148,1232,7232,"",5,11,15,""
149,1233,7328,"",9,11,15,""
150,1234,7368,"",2,11,15,""
151,1235,7312,"",13,11,15,""
152,1236,7364,"",0,11,15,""
153,1237,7320,"",0,11,15,""
154,1238,7343,"",1,11,15,""
155,1239,7346,"",0,11,15,""
156,1240,7341,"",14,11,15,""
157,1241,7282,"",0,11,15,""
158,1242,7340,"",14,11,15,""
159,1256,7248,"",0,0,0,""
160,1257,7270,"",0,0,0,""
161,1266,7327,"",5,0,0,""
162,1243,7330,"",16,0,0,1
163,1244,7331,"",16,0,0,1
164,1246,7332,"",16,0,0,1
165,1245,7333,"",16,0,0,1
166,1248,7335,"",16,0,0,1
167,1254,7216,"",11,0,0,""
