"rownum","BaseItemTypesKey","SpawnWeight","ModsKey","Tier","bool","bool","rid","rid","i32"
0,4986,1818,9826,1,"","","","",3
1,4987,1818,9827,1,"","","","",0
2,4988,1818,9828,1,"","","","",0
3,4989,1818,9830,1,"","","","",0
4,4990,1818,9829,1,"","","","",0
5,4991,1818,9831,1,"","","","",0
6,4992,1818,9832,1,"","","","",0
7,4993,1818,9833,1,"","","","",0
8,4994,1,9851,1,"","","","",0
9,4995,1818,9852,1,"","","","",0
10,4996,1818,9853,1,"","","","",0
11,4997,1818,9854,1,"","","","",0
12,5010,2100,9855,2,"","","","",0
13,4998,2100,11594,2,"","","","",0
14,4999,2100,11590,2,"","","","",0
15,5000,2100,11593,2,"","","","",0
16,5001,2100,11595,2,"","","","",0
17,5002,2100,11591,2,"","","","",0
18,5003,350,11602,2,"","","","",0
19,5004,350,11602,2,"","","","",0
20,5005,350,11601,2,"","","","",0
21,5006,350,11601,2,"","","","",0
22,5007,350,11603,2,"","","","",0
23,5008,350,11603,2,"","","","",0
24,5009,2100,11599,2,"","","","",0
25,5011,2400,11592,3,"","","","",0
26,5012,2400,11600,3,"","","","",0
27,5013,2400,11598,3,"","","","",0
28,5014,2400,11604,3,"","","","",0
29,5015,2400,11596,3,"","","","",0
30,5016,800,11597,3,"","","","",0
31,5017,800,11597,3,"","","","",0
32,5018,800,11597,3,"","","","",0
33,5019,2400,11589,3,"","","","",0
34,5020,100,"",4,"","","","",0
