"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1"
0,3620,[8605],"[8606,8782,8781,8786]","[8607,8698,8783,8785]",10,100,1000,"",140,[],[]
1,3621,[8608],"[8609,8782,8781,8786]","[8610,8696,8783,8785]",6,100,2500,"",140,[],[]
2,3622,[8611],"[8612,8782,8781,8786]","[8613,8698,8783,8785]",10,100,1000,3084,140,[],[]
3,3623,[8614],"[8615,8782,8781,8786]","[8616,8698,8783,8785]",10,100,1000,"",140,[],[]
4,3624,[8643],"[8644,8782,8781,8786]","[8645,8699,8783,8785]",30,100,500,"",140,[],[]
5,3625,[8656],"[8657,8782,8781,8786]","[8658,8698,8783,8785]",15,100,1000,"",8,[],[]
6,3626,"[8623,8624]","[8625,8782,8781,8786]","[8626,8698,8783,8785]",15,100,1000,1878,140,[],[]
7,3627,[8649],"[8650,8782,8781,8786]","[8651,8698,8783,8785]",6,100,1000,"",140,[],[]
8,3628,[8617],"[8618,8782,8781,8786]","[8619,8698,8783,8785]",20,100,1000,"",140,[],[]
9,3629,[8620],"[8621,8782,8781,8786]","[8622,8699,8783,8785]",30,100,500,280,140,[],[]
10,3630,[8627],"[8628,8782,8781,8786]","[8629,8696,8783,8785]",1,100,2500,"",140,[],[]
11,3631,[8630],"[8631,8782,8781,8786]","[8632,8696,8633,8783,8785]",1,100,2500,"",140,[],[]
12,3632,[],"[8634,8782,8781,8786]","[8635,8699,8783,8785]",60,100,1,"",140,[],[]
13,3633,[8636],"[8637,8782,8781,8786]","[8638,8699,8783,8785]",60,100,500,"",140,[],[]
14,3634,[8640],"[8641,8782,8781,8786]","[8642,8696,8783,8785]",1,100,2500,"",140,[],[]
15,3635,[8646],"[8647,8782,8781,8786]","[8648,8696,8783,8785]",6,100,2500,"",140,[],[]
16,3636,"[8652,8653]","[8654,8782,8781,8786]","[8655,8698,8783,8785]",20,100,1000,45,140,[],[]
17,3637,[8659],"[8660,8782,8781,8786]","[8661,8699,8783,8785]",40,100,500,"",10,[],[]
18,3638,[8665],"[8666,8782,8781,8786]","[8667,8698,8783,8785]",20,100,1000,"",140,[],[]
19,3639,[8668],"[8669,8782,8781,8786]","[8670,8696,8783,8785]",1,100,2500,"",140,[],[]
20,3640,[8672],"[8673,8782,8781,8786]","[8674,8698,8783,8785]",10,100,1000,"",140,[],[]
21,3641,[8675],"[8677,8782,8781,8786]","[8678,8676,8699,8783,8785]",40,100,500,"",140,[],[]
22,3644,[8679],"[8680,8782,8781,8786]","[8695,8681,8699,8783,8785]",1,100,0,"",140,[],[]
23,3642,[8682],"[8683,8782,8781,8786]","[8684,8697,8784,8785]",1,100,0,"",140,[],[]
24,3643,[8685],"[8686,8782,8781,8786]","[8687,8697,8784,8785]",1,100,0,"",140,[],[]
25,3645,[8688],"[8689,8782,8781,8786]","[8690,8696,8783,8785]",1,100,0,"",140,[],[]
26,3646,[8688],"[8689,8782,8781,8786]","[8691,8696,8783,8785]",1,100,0,"",140,[],[]
27,3647,[8688],"[8689,8782,8781,8786]","[8692,8696,8783,8785]",1,100,0,"",140,[],[]
28,3648,[8688],"[8689,8782,8781,8786]","[8693,8696,8783,8785]",1,100,0,"",140,[],[]
29,3649,[8688],"[8689,8782,8781,8786]","[8694,8696,8783,8785]",1,100,0,"",140,[],[]
30,3650,[19737],"[19738,8782,8781,8786]","[19739,8699,8783,8785]",68,100,0,3866,140,[],[]
31,3651,[19734],"[19735,8782,8781,8786]","[19736,8699,8783,8785]",68,100,0,"",140,[],[]
32,3652,[19740],"[19741,8782,8781,8786]","[19742,8699,8783,8785]",68,100,0,"",140,[],[]
33,7321,[],"[8628,8782,8781,8786]","[8629,8696,8783,8785]",1,100,0,"",140,[],[]
34,7322,[],"[8628,8782,8781,8786]","[8629,8696,8783,8785]",1,100,0,"",140,[],[]
35,7323,[],"[8628,8782,8781,8786]","[8629,8696,8783,8785]",1,100,0,"",140,[],[]
36,7324,[],"[8628,8782,8781,8786]","[8629,8696,8783,8785]",1,100,0,"",140,[],[]
37,7325,[],"[8628,8782,8781,8786]","[8629,8696,8783,8785]",1,100,0,"",140,[],[]
