"rownum","Id","bool","bool","Message","string","i32","bool","bool","i32"
0,"FriendRequest",1,1,"Friend Request","",0,1,"",0
1,"FriendNowOnline","",1,"Friend Now Online","",1,1,"",0
2,"FriendNowOffline","",1,"Friend Now Offline","",2,1,"",0
3,"FriendAreaChanged","","","Friend Area Changed","",3,1,"",0
4,"FriendLevelChanged","","","Friend Level Changed","",4,1,"",0
5,"FriendStatusMessageChanged",1,1,"Friend Status Changed","",5,1,"",0
6,"PartyInvite",1,1,"Party Invite","",6,1,"",0
7,"PartyJoined","",1,"Party Joined","",7,1,1,0
8,"PartyLeft","",1,"Party Left","",8,1,1,0
9,"PartyMemberInvited","",1,"Party Member Invited","",9,1,"",0
10,"PartyMemberJoined","",1,"Party Member Joined","",10,1,1,0
11,"PartyMemberLeft","",1,"Party Member Left","",11,1,1,0
12,"PartyMemberPromotedToLeader","",1,"Party Member Promoted","",12,1,"",0
13,"PartyMemberNowOnline","",1,"Party Member Now Online","",13,1,"",0
14,"PartyMemberNowOffline","",1,"Party Member Now Offline","",14,1,"",0
15,"GuildInvite",1,1,"Guild Invite","",15,1,1,0
16,"GuildJoined","",1,"Guild Joined","",16,1,1,0
17,"GuildLeft","",1,"Guild Left","",17,1,1,0
18,"GuildRankChanged","",1,"Guild Rank Changed","",18,1,1,0
19,"GuildMemberInvited",1,1,"Guild Member Invited","",19,1,1,0
20,"GuildMemberJoined",1,1,"Guild Member Joined","",20,1,1,0
21,"GuildMemberLeft",1,1,"Guild Member Left","",21,1,1,0
22,"GuildMemberRankChanged",1,1,"Guild Member Rank Changed","",22,1,1,0
23,"GiftReceived",1,1,"Gift Received","",23,1,"",0
24,"TradeRequest",1,1,"Trade Request","",24,1,1,0
25,"AchievementComplete","",1,"Achievement Complete","",25,1,1,0
26,"AchievementItemComplete","",1,"Achievement Item Complete","Displays notification when part of an achievement is completed",26,1,1,0
27,"AchievementItemFailed","",1,"Tracked Achievement Item Failed","",27,1,1,0
28,"PVPDuelChallenge",1,1,"PvP Duel Challenge","",28,1,"",0
29,"PVPEvent",1,1,"PvP Event","",29,1,"",0
30,"LeagueEvent",1,1,"League Event","",30,1,1,0
31,"MarketNotifications",1,1,"Market Notifications","Displays notification when you receive offers, when they are accepted or when they are rejected.",31,1,1,0
32,"BestiaryRecipeNotification",1,1,"Bestiary Recipe","",32,1,1,0
33,"RewardNotifications",1,1,"Reward Notifications","Displays challenge reward notifications.",33,1,1,0
34,"LeagueInGame",1,"","Harvest In-game Notifications","Displays Harvest related in-game notifications",34,1,"",0
35,"ConsoleServerMessages","",1,"Server Messages","Show server messages as popups as well as in the chatbox",35,1,1,2
36,"ConsolePlayerLevelUp","",1,"Level Up","",36,1,1,2
37,"ConsoleGemLevelUp","",1,"Skill Gem Level Up","",37,1,1,2
38,"ConsoleGemReadyToLevelUp","",1,"Skill Gem Ready to Level Up","",38,1,1,2
