"rownum","Id","bool","DoubleLine","HeaderSingle","HeaderDouble","HardmodeHeaderSingle","HardmodeHeaderDouble","Color","Separator","bool","Rarity","DisplayString","ColorMarkup"
0,"Normal",1,"","ItemsHeaderWhite","ItemsHeaderWhite","HardmodeItemsHeaderWhite","HardmodeItemsHeaderWhite","[200,200,200]","Art/2DArt/UIImages/InGame/ItemsSeparatorWhite","",0,2043,"<rgb(200,200,200)>{"
1,"Magic",1,"","ItemsHeaderMagic","ItemsHeaderMagic","HardmodeItemsHeaderMagic","HardmodeItemsHeaderMagic","[136,136,255]","Art/2DArt/UIImages/InGame/ItemsSeparatorMagic","",1,2038,"<rgb(136,136,255)>{"
2,"Rare",1,1,"ItemsHeaderRareSingleLine","ItemsHeaderRare","HardmodeItemsHeaderRareSingleLine","HardmodeItemsHeaderRare","[255,255,119]","Art/2DArt/UIImages/InGame/ItemsSeparatorRare","",2,2039,"<rgb(255,255,119)>{"
3,"Unique",1,1,"ItemsHeaderUniqueSingleLine","ItemsHeaderUnique","HardmodeItemsHeaderUniqueSingleLine","HardmodeItemsHeaderUnique","[175,96,37]","Art/2DArt/UIImages/InGame/ItemsSeparatorUnique","",3,2040,"<rgb(175,96,37)>{"
4,"Gem",1,"","ItemsHeaderGem","ItemsHeaderGem","HardmodeItemsHeaderGem","HardmodeItemsHeaderGem","[27,162,155]","Art/2DArt/UIImages/InGame/ItemsSeparatorGem","","",2041,"<rgb(27,162,155)>{"
5,"Currency",1,"","ItemsHeaderCurrency","ItemsHeaderCurrency","HardmodeItemsHeaderCurrency","HardmodeItemsHeaderCurrency","[170,158,130]","Art/2DArt/UIImages/InGame/ItemsSeparatorCurrency","","",2042,"<rgb(170,158,130)>{"
6,"DivinationCard","","","ItemsHeaderDivinationCardFrame","ItemsHeaderDivinationCardFrame","ItemsHeaderDivinationCardFrame","ItemsHeaderDivinationCardFrame","[14,186,255]","Art/2DArt/UIImages/InGame/ItemsSeparatorDivinationCardFrame","","",2258,"<rgb(14,186,255)>{"
7,"Quest","","","ItemsHeaderQuest","ItemsHeaderQuest","ItemsHeaderQuest","ItemsHeaderQuest","[74,230,58]","Art/2DArt/UIImages/InGame/ItemsSeparatorQuest","","",6659,"<rgb(74,230,58)>{"
8,"Prophecy","","","ItemsHeaderProphecy","ItemsHeaderProphecy","ItemsHeaderProphecy","ItemsHeaderProphecy","[181,75,255]","Art/2DArt/UIImages/InGame/ItemsSeparatorProphecy","","","","<rgb(181,75,255)>{"
9,"Foil",1,1,"ItemsHeaderFoilSingleLine","ItemsHeaderFoil","HardmodeItemsHeaderFoilSingleLine","HardmodeItemsHeaderFoil","[130,173,106]","Art/2DArt/UIImages/InGame/ItemsSeparatorFoil",1,"",2040,"<rgb(130,173,106)>{"
10,"SupporterFoil",1,1,"ItemsHeaderSupporterFoilSingleLine","ItemsHeaderSupporterFoil","HardmodeItemsHeaderSupporterFoilSingleLine","HardmodeItemsHeaderSupporterFoil","[255,255,255]","Art/2DArt/UIImages/InGame/ItemsSeparatorSupporterFoil",1,"",2040,"<rgb(255,255,255)>{"
