"rownum","Id","bool","bool","rid","[rid]","rid","rid","rid","[rid]","rid","rid","i32","bool","rid","[rid]","bool","bool","[rid]"
0,"Anarchy",1,1,16996,[1851],17037,13810,"","[2235,3258]",5455,"",10,"",1389,[],"","",[]
1,"Shrine",1,1,16997,[],17038,13807,"","[2457,9857,9856]",5616,"",10,"","",[],1,"",[]
2,"VaalSideArea",1,1,16998,[],13637,"",2314,[5830],"","",1,"","",[],1,"",[2314]
3,"Ambush",1,1,16999,[2523],17039,"","",[2456],5659,"",2,"","",[],"","",[]
4,"Torment",1,1,17000,[2771],17040,"","","[2772,3259]",5582,"",10,"",13806,[],"","",[]
5,"Essence",1,1,17001,[],17041,15522,"","[4872,5596]",5467,"",10,"","",[],"","",[]
6,"Breach","",1,16160,[9284],13315,"",17070,"[5462,5595]",5461,"",3,"","","[5716,5717,16829,16750]","","",[17070]
7,"Abyss",1,"",16159,[9284],13752,"",17068,[6632],"","",10,"","",[16878],"","",[17068]
8,"MasterMission",1,1,"",[2336],"","","",[4933],"","",1,"","",[2312],1,1,[]
9,"Bestiary",1,1,"",[2336],"","","",[],"","",1,"","",[],"",1,[]
10,"Incursion","",1,"",[2336],"","","",[],"","",1,"","",[],1,1,[]
11,"Delve","",1,"",[2336],"","","",[],"","",1,"","",[],1,1,[]
12,"Betrayal","",1,"",[2336],"","","",[],"","",1,"","",[],1,1,[]
13,"Legion","",1,16162,[],13530,"",17074,[9359],"","",1,"","",[],1,"",[17074]
14,"Blight","",1,16164,[],13666,15908,17069,[10058],"","",1,"","",[],1,"",[17069]
15,"Metamorph","",1,16163,[],13670,"",17075,[11463],"","",1,"","",[],"","",[17075]
16,"Delirium","",1,16167,[],13658,"",17071,[12474],"","",1,"","",[11507],"","",[17071]
17,"Harvest","",1,16158,[],13328,"",17073,[11799],"","",1,"","",[16837],1,"",[17073]
18,"Heist","",1,16166,[],13692,"",13632,"[13252,14160]","","",1,"","",[],"","",[13632]
19,"Ritual","","",16165,[],14049,"",17076,[14048],"","",1,"","",[],"","",[17076]
20,"Expedition","",1,16161,[],14742,"",17072,[14217],"","",1,"","",[],"",1,[17072]
21,"Sanctum","",1,"",[],"","","",[16990],"","",1,1,"",[],1,"",[]
