"rownum","RecipeId","Description","CraftingItemClassCategoriesKeys","UnlockDescription","Rank","UnlockArea"
0,146,"Movement Speed - Rank 1",[8],"",1,36
1,161,"Spell Damage - Rank 1","[0,1,2,3]","",1,37
2,158,"Physical Damage - Rank 1","[0,1,2,3,4,7,9,10,13]","",1,49
3,170,"Fire Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,47
4,173,"Cold Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,63
5,176,"Lightning Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,52
6,133,"Elemental Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",2,69
7,141,"Attributes - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",2,93
8,168,"Attack, Cast and Warcry Speed - Rank 1","[0,1,2,3,4,7,9,10]","",1,60
9,180,"Chaos Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,115
10,147,"Movement Speed and Exerted Attacks - Rank 2","[8,9,10,11]","",2,79
11,159,"Physical Damage - Rank 2","[0,1,2,3,4,9,10]","",2,80
12,183,"Accuracy - Rank 1","[0,1,2,3,4,5,7,9,10,13]","",1,81
13,142,"Attributes - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,1147
14,149,"Life and Mana - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",2,98
15,162,"Spell Damage - Rank 2","[0,1,2,3]","",2,91
16,187,"Defences - Rank 1","[4,5,6,7,8]","",1,42
17,171,"Fire Damage - Rank 2","[0,1,2,3,9,10]","",2,111
18,174,"Cold Damage - Rank 2","[0,1,2,3,9,10]","",2,112
19,178,"Lightning Damage - Rank 2","[0,1,2,3,9,10]","",2,105
20,185,"Accuracy - Rank 2","[0,1,2,3,4,5,7,9,10,13]","",2,149
21,135,"Elemental Resistances - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,119
22,228,"Minions - Rank 1","[0,1,2,3,5,7,9,10]","",1,125
23,230,"Traps and Mines - Rank 1","[0,1,2,3]","",1,131
24,160,"Physical Damage - Rank 3","[0,1,2,3]","",3,141
25,163,"Spell Damage - Rank 3","[0,1,2,3]","",3,139
26,169,"Attack and Cast Speed - Rank 2","[0,1,2,3,4,10]","",2,136
27,150,"Life and Mana - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,151
28,181,"Chaos Damage - Rank 2","[0,1,2,3,9,10]","",2,154
29,188,"Defences - Rank 2","[4,5,6,7,8]","",2,88
30,148,"Movement Speed and Flask Enchantments - Rank 3","[8,12]","Epilogue",3,163
31,139,"All Resistances - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Aspirant's Trial",1,528
32,137,"Double Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Cruel Aspirant's Trial",2,600
33,138,"Double Resistances - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Merciless Aspirant's Trial",3,672
34,140,"All Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Eternal Aspirant's Trial",2,744
35,166,"Elemental Damage with Attacks - Rank 1","[0,1,2,3,9,10,11,13]","Labyrinth Trial in The Catacombs",1,44
36,144,"All Attributes - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Imperial Gardens",1,53
37,136,"Double Resistances - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Lower Prison",1,90
38,164,"Damage over Time - Rank 1","[0,1,2,3]","Labyrinth Trial in The Crypt",1,104
39,156,"Mana Regen - Rank 1","[0,1,2,3,4,9,10]","Labyrinth Trial in The Chamber of Sins Level 2",1,106
40,192,"Flask Duration - Rank 1",[11],"Labyrinth Trial in The Bath House",1,122
41,145,"All Attributes - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Tunnel",2,140
42,234,"Socket Numbers - 2 to 4 Sockets","[0,1,2,3,6,7,8,5,4]","",0,67
43,237,"Socket Numbers - 5 Sockets","[0,1,2,3,6,7,8,5,4]","",0,1091
44,238,"Socket Numbers - 6 Sockets","[0,1,2,3,6,7,8,5,4]","",0,1159
45,239,"Socket Links - 2 to 4 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,65
46,242,"Socket Links - 5 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1141
47,243,"Socket Links - 6 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1126
48,244,"Socket Colours","[0,1,2,3,6,7,8,5,4]","",0,61
49,151,"Life and Mana - Rank 4","[0,1,2,3,6,7,8,5,4]","",4,1178
50,196,"Attack and Spell Block - Rank 1",[4],"",1,1128
51,193,"Flask Duration - Rank 2",[11],"",2,1099
52,195,"Ailment, Stun and Curse Mitigation - Rank 2","[5,7,8,9]","",2,1265
53,191,"Criticals - Rank 2","[0,1,2,3,10,13]","",2,1228
54,199,"Special Defences - Rank 2","[6,4,5,7,8]","",2,1155
55,197,"Attack and Spell Block - Rank 2",[4],"",2,1231
56,253,"Global Energy Shield - Rank 2","[10,9]","",2,1135
57,172,"Fire Damage - Rank 3","[0,1,2,3]","",3,1179
58,190,"Criticals - Rank 1","[0,1,2,3,10,13]","",1,1136
59,175,"Cold Damage - Rank 3","[0,1,2,3]","",3,1258
60,179,"Lightning Damage - Rank 3","[0,1,2,3]","",3,1102
61,198,"Special Defences - Rank 1","[6,4,5,7,8]","",1,1173
62,157,"Mana Regen - Rank 2","[0,1,2,3,9,10,4]","",2,1103
63,165,"Damage over Time - Rank 2","[0,1,2,3]","",2,1161
64,229,"Minions - Rank 2","[0,1,2,3,7,5,9,10]","",2,1198
65,167,"Elemental Damage with Attacks - Rank 2","[0,1,2,3,9,10,11,13]","",2,1134
66,194,"Ailment, Stun and Curse Mitigation - Rank 1","[5,7,8,9,4,13]","",1,71
67,189,"Defences - Rank 3","[6,8,7,5,4]","",3,1266
68,252,"Global Energy Shield - Rank 1","[10,9]","",1,1168
69,261,"Physical Damage - Rank 4","[0,1,2,3]","",4,1191
70,262,"Spell Damage - Rank 4","[0,1,2,3]","",4,1264
71,109,"Attack and Cast Speed - Rank 3","[0,1,2,3]","",3,1200
72,153,"Life - Rank 5",[6],"",5,1172
73,154,"Leech - Rank 1","[0,1,2,3,7,9,10,13]","",1,1139
74,155,"Leech - Rank 2","[0,1,2,3,7,10]","",2,1157
75,182,"Chaos Damage - Rank 3","[0,1,2,3]","",3,1153
76,186,"Accuracy - Rank 3","[0,1,2,3,4,7,5,9,10,13]","",3,1232
77,226,"Reduced Damage over Time","[4,11]","",0,1207
78,227,"Animated Guardian and Light Radius",[6],"",0,1260
79,231,"Traps and Mines - Rank 2","[0,1,2,3]","",2,1194
80,254,"Criticals - Rank 3","[0,1,2,3]","",3,1123
81,255,"Minions - Rank 3","[0,1,2,3]","",3,1227
82,249,"Prefixes cannot be Changed","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1196
83,250,"Suffixes cannot be Changed","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1218
84,251,"Can have up to 3 Crafted Modifiers","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1185
85,247,"Cannot roll Attack Mods","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1154
86,248,"Cannot roll Caster Mods","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1112
