"rownum","string","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[15008]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[15008,15186]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[15181]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[15181,15186]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[15182]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[15182,15186]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[15183]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[15183,15186]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[15184]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[15184,15186]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[15185]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[15185,15186]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[14997]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[14997,14998]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[14997]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[14997]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[14997]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[14997]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[14999]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[14999,14998]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[14999]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[14999]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[14999]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[14999]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[15000]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[15000,14998]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[15000]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[15000]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[15000]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[15000]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[15001]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[15001,14998]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[15001]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[15001]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[15001]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[15001]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[15002]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[15002,14998]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[15002]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[15002]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[15002]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[15002]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[15005,15003]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[15005,15003,14998]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[15005,15003]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[15005,15003]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[15005,15003]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[15005,15003]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[15006,15004]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[15006,15004,14998]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[15006,15004]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[15006,15004]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[15006,15004]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[15006,15004]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[15007,14997]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[15007,15005]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[14997,14998,19745]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[14997,14998,19745]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[14997,14998,19745]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[14997,14998,19745]"
