"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32","i32","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32","i32","ShrineSoundsKey","bool","AchievementItemsKeys","IsPVPOnly","bool","IsLesserShrine","Description","Name","bool","rid","[rid]"
0,"Acceleration",0,"",359,30,1,360,"","",50,45,3,"","[8031,9132,9149]","",1,"",6025,6024,"","",[]
1,"Lightning",0,"",371,80,4,"",2721,2722,0,45,2,"","[8031,9132,9149]","","","",6027,6026,"","",[]
2,"Cold",0,"",370,80,4,"",2723,2724,0,45,0,"","[8031,9132,9149]","","","",6029,6028,"","",[]
3,"Fire",0,"",369,0,10,"",2719,2720,0,45,1,"","[8031,9132,9149]","","","",6031,6030,"","",[]
4,"Arc",0,"",372,0,10,"",2727,2728,0,45,2,"","[516,8031,9132,9149]","","","",6033,6032,"","",[]
5,"Criticals",0,"",367,30,1,368,"","",50,45,7,"","[8031,9132,9149]","",1,"",6035,6034,"","",[]
6,"Brutal",0,"",363,30,1,364,"","",50,45,5,"","[8031,9132,9149]","",1,"",6037,6036,"","",[]
7,"Thorns",0,"",365,0,40,366,"","",50,45,6,"","[519,8031,9132,9149]","",1,"",6039,6038,"","",[]
8,"Regen",0,1,361,30,1,362,"","",50,45,4,"","[8031,9132,9149]","",1,"",6041,6040,"","",[]
9,"Massive",0,"",379,60,10,380,"","",50,45,4,"","[8031,9132,9149]","",1,"",6043,6042,"","",[]
10,"Defence",0,"",381,80,25,382,"","",50,45,6,"","[8031,9132,9149]","",1,"",6045,6044,"","",[]
11,"Resistance",0,"",383,80,40,384,"","",50,45,6,"","[8031,9132,9149]","",1,"",6047,6046,"","",[]
12,"GodMode",0,"",385,10,60,386,"","",50,45,6,"","[8031,9132,9149,9151]","",1,"",6049,6048,"","",[]
13,"Multi",0,"",376,10,60,375,"","",50,45,7,"","[8899,9132,9149]","",1,"",6051,6050,"","",[]
14,"Curses",0,"",378,0,25,377,"",3005,50,45,5,"","[526,8031,9132,9149]","","","",6053,6052,"","",[]
15,"Skeletons",0,"",373,40,25,"",2729,2730,0,45,8,"","[8031,9132,9149]","","","",6055,6054,"","",[]
16,"Smoke",0,"",374,60,40,"",2725,2726,0,45,9,"","[8031,9132,9149]","","","",6057,6056,"","",[]
17,"PVPAcceleration",45,"",359,100,0,"","","",0,12,3,1,[],"","","",6059,6058,"","",[]
18,"PVPRegen",45,1,361,100,0,"","","",0,12,4,1,[],"","","",6061,6060,"","",[]
19,"PVPBrutal",45,"",363,100,0,"","","",0,20,5,1,[],"","","",6063,6062,"","",[]
20,"CTFBrutal",45,"",363,100,0,"","","",0,20,5,1,[],1,"","",6065,6064,"","",[]
21,"CTFRegen",45,1,361,100,0,"","","",0,20,4,1,[],1,"","",6067,6066,"","",[]
22,"CTFMassive",45,"",379,100,0,"","","",0,20,4,1,[],1,"","",6069,6068,"","",[]
23,"CTFDefence",45,"",381,100,0,"","","",0,20,6,1,[],1,"","",6071,6070,"","",[]
24,"AccelerationLesser",0,"",388,30,1,"","","",0,20,3,"",[],"",1,1,6025,6072,"","",[]
25,"BrutalLesser",0,"",389,30,1,"","","",0,20,5,"",[],"",1,1,6037,6073,"","",[]
26,"RegenLesser",0,"",390,30,1,"","","",0,20,4,"",[],"",1,1,6041,6074,"","",[]
27,"MassiveLesser",0,"",391,60,1,"","","",0,20,4,"",[],"",1,1,6043,6075,"","",[]
28,"ResistanceLesser",0,"",392,80,1,"","","",0,20,6,"",[],"",1,1,6047,6076,"","",[]
29,"DefenceLesser",0,"",393,80,1,"","","",0,20,6,"",[],"",1,1,6045,6077,"","",[]
30,"Resonating",0,"",394,0,2,395,"","",50,45,10,"","[8031,9132,9149]","",1,"",6079,6078,"","",[]
31,"Gloom",0,"",396,0,2,397,"","",50,45,11,"","[8031,9132,9149]","",1,"",6081,6080,"","",[]
32,"RoyaleShrineAccelerating",60,"",398,100,0,"","","",0,10,3,"",[],"","","",6025,6024,1,"",[]
33,"RoyaleShrineBrutal",60,"",399,100,0,"","","",0,10,5,"",[],"","","",6037,6036,1,"",[]
34,"RoyaleShrineBurning",60,"",400,0,0,"",2719,2720,0,10,1,"",[],"","","",6031,6030,1,"",[]
35,"RoyaleShrineCharged",60,"",401,100,0,"","","",0,10,10,"",[],"","","",6079,6078,1,"",[]
36,"RoyaleShrineDiamond",60,"",402,100,0,"","","",0,10,7,"",[],"","","",6035,6034,1,"",[]
37,"RoyaleShrineEchoing",60,"",403,100,0,"","","",0,10,7,"",[],"","","",6051,6050,1,"",[]
38,"RoyaleShrineFreezing",60,"",404,0,0,"",2723,2724,0,10,0,"",[],"","","",6029,6028,1,"",[]
39,"RoyaleShrineGloom",60,"",405,0,0,"","","",0,10,11,"",[],"","","",6053,6080,1,"",[]
40,"RoyaleShrineHexing",60,"",406,100,0,"","",3005,0,10,5,"",[],"","","",6053,6052,1,"",[]
41,"RoyaleShrineImpenetrable",60,"",407,0,0,"","","",0,10,6,"",[],"","","",6045,6044,1,"",[]
42,"RoyaleShrineLightning",60,"",408,0,0,"",2721,2722,0,10,2,"",[],"","","",6027,6026,1,"",[]
43,"RoyaleShrineMassive",60,"",409,100,0,"","","",0,10,4,"",[],"","","",6043,6042,1,"",[]
44,"RoyaleShrineReplenishing",60,"",410,100,0,"","","",0,10,4,"",[],"","","",6041,6040,1,"",[]
45,"RoyaleShrineResistance",60,"",411,100,0,"","","",0,10,6,"",[],"","","",6047,6046,1,"",[]
46,"RoyaleShrineShrouded",60,"",412,0,0,"",2725,2726,0,10,9,"",[],"","","",6057,6056,1,"",[]
47,"RoyaleShrineStatic",60,"",413,0,0,"",2727,2728,0,10,2,"",[],"","","",6033,6032,1,"",[]
48,"Greed",0,"",418,0,0,417,"","",50,45,12,"","[8546,9132,9149]","",1,"",6098,6097,"","",[]
49,"BrineKing",0,"",476,0,0,477,"","",50,45,0,"","[9132,9149]","",1,"",6430,6426,"",31407,"[2195,2196,2197,2198,2199]"
50,"Lunaris",0,"",478,0,0,479,"","",50,45,0,"","[9132,9149]","",1,"",6431,6427,"",31404,"[2200,2201,2202,2203]"
51,"Solaris",0,"",480,0,0,481,"","",50,45,1,"","[9132,9149]","",1,"",6432,6428,"",31405,"[2204,2205,2206,2207]"
52,"Arakaali",0,"",482,0,0,483,"","",50,45,11,"","[9132,9149]","",1,"",6433,6429,"",31406,"[2208,2209,2210,2211]"
