"rownum","Item","rid","rid","i32","rid","[rid]","bool","bool","rid","i32","rid","Script","rid"
0,9335,2284,"",225,"",[],"","","",1280,"","",""
1,9336,1870,"",351,"",[],"","","",1280,"","",""
2,9337,1869,"",352,"",[],"","","",1280,"","",""
3,9344,2301,"",979,"",[],"",1,887,1280,"","",""
4,9345,2302,"",980,"",[],"",1,887,1280,"","",""
5,9346,2303,"",981,"",[],"",1,887,1280,"","",""
6,9347,2304,"",982,"",[],"",1,887,1280,"","",""
7,5684,2583,"",1156,"",[],"","",902,1280,"","",""
8,5685,2584,"",1157,"",[],"","",903,1280,"","",""
9,5686,2594,"",1160,"",[],"","",904,1280,"","",""
10,9880,953,"",207,"",[],"",1,889,1280,"","",""
11,9882,954,"",212,"",[],"",1,6135,1280,"","",""
12,9884,955,"",323,"",[],"",1,890,1280,"","",""
13,9886,956,"",328,"",[],"",1,6136,1280,"","",""
14,5588,2007,"",662,"",[],"","",885,662,899,"skill_book",""
15,5589,2008,"",663,"",[],"","",885,663,899,"skill_book",""
16,5590,2009,"",664,"",[],"","",885,664,899,"skill_book",""
17,5591,2010,"",665,"",[],"","",885,665,899,"skill_book",""
18,5592,2012,"",675,"",[],"","",885,675,899,"skill_book",""
19,5593,2013,"",676,"",[],"","",885,676,899,"skill_book",""
20,5687,1518,1516,1280,1516,[],"","",905,1280,"","sentinel_controller",""
