"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile","[i32]"
0,"ExtraBoss",4049,"",[],"",[]
1,"HardBoss",4448,"",[],"",[]
2,"Lieutenants1_Bull",4532,"",[],"",[]
3,"Lieutenants2_Bull",4535,650,"[500,667]","","[500,0]"
4,"Lieutenants1_Ranged",4530,"",[],"",[]
5,"Lieutenants2_Ranged",4533,650,"[500,667]","","[500,0]"
6,"Lieutenants1_Melee",4531,"",[],"",[]
7,"Lieutenants2_Melee",4534,650,"[500,667]","","[500,0]"
8,"PowerSymbols1_Physical","",538,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol1.ot",[]
9,"PowerSymbols1_Fire","",532,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol2.ot",[]
10,"PowerSymbols1_Cold","",534,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol3.ot",[]
11,"PowerSymbols1_Lightning","",536,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol4.ot",[]
12,"PowerSymbols2_Physical","",539,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad1.ot","[40,-50,500,0]"
13,"PowerSymbols2_Fire","",533,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad2.ot","[40,-50,500,0]"
14,"PowerSymbols2_Cold","",535,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad3.ot","[40,-50,500,0]"
15,"PowerSymbols2_Lightning","",537,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad4.ot","[40,-50,500,0]"
16,"ToggleStatuesNormal_Fire","",540,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
17,"ToggleStatuesNormal_Cold","",542,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
18,"ToggleStatuesNormal_Lightning","",544,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
19,"ToggleStatuesNormal_Fire2","",541,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[15,-20,10,500,0]"
20,"ToggleStatuesNormal_Cold2","",543,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[15,-20,10,500,0]"
21,"ToggleStatuesNormal_Lightning2","",545,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[15,-20,10,500,0]"
22,"ToggleStatuesCruel_Fire","",540,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
23,"ToggleStatuesCruel_Cold","",542,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
24,"ToggleStatuesCruel_Lightning","",544,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
25,"ToggleStatuesCruel_Fire2","",541,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[20,-20,20,500,0]"
26,"ToggleStatuesCruel_Cold2","",543,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[20,-20,20,500,0]"
27,"ToggleStatuesCruel_Lightning2","",545,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[20,-20,20,500,0]"
28,"ToggleStatuesMerciless_Fire","",540,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
29,"ToggleStatuesMerciless_Cold","",542,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
30,"ToggleStatuesMerciless_Lightning","",544,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
31,"ToggleStatuesMerciless_Fire2","",541,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[20,-20,20,500,0]"
32,"ToggleStatuesMerciless_Cold2","",543,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[20,-20,20,500,0]"
33,"ToggleStatuesMerciless_Lightning2","",545,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[20,-20,20,500,0]"
34,"ToggleStatuesEndgame_Fire","",540,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
35,"ToggleStatuesEndgame_Cold","",542,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
36,"ToggleStatuesEndgame_Lightning","",544,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
37,"ToggleStatuesEndgame_Fire2","",541,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[30,-20,30,500,0]"
38,"ToggleStatuesEndgame_Cold2","",543,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[30,-20,30,500,0]"
39,"ToggleStatuesEndgame_Lightning2","",545,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[30,-20,30,500,0]"
40,"PowerPylonsCruel_Vulnerability",4730,"",[],"",[]
41,"PowerPylonsCruel_TempChains",4728,"",[],"",[]
42,"PowerPylonsCruel_EleWeakness",4732,"",[],"",[]
43,"PowerPylonsCruel_Vulnerability2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot","[500,0]"
44,"PowerPylonsCruel_TempChains2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot","[500,0]"
45,"PowerPylonsCruel_EleWeakness2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot","[500,0]"
46,"PowerPylonsMerciless_Vulnerability",4729,"",[],"",[]
47,"PowerPylonsMerciless_TempChains",4727,"",[],"",[]
48,"PowerPylonsMerciless_EleWeakness",4731,"",[],"",[]
49,"PowerPylonsMerciless_Vulnerability2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot","[500,0]"
50,"PowerPylonsMerciless_TempChains2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot","[500,0]"
51,"PowerPylonsMerciless_EleWeakness2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot","[500,0]"
52,"PowerPylonsEndgame_Vulnerability",4729,"",[],"",[]
53,"PowerPylonsEndgame_TempChains",4727,"",[],"",[]
54,"PowerPylonsEndgame_EleWeakness",4731,"",[],"",[]
55,"PowerPylonsEndgame_Vulnerability2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot","[500,0]"
56,"PowerPylonsEndgame_TempChains2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot","[500,0]"
57,"PowerPylonsEndgame_EleWeakness2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot","[500,0]"
58,"ElementalNormal_Fire",1081,614,[20],"",[]
59,"ElementalNormal_Cold",1082,616,[20],"",[]
60,"ElementalNormal_Lightning",1083,618,[20],"",[]
61,"ElementalNormal_Fire2",1084,615,"[20,500,667]","","[20,500,0]"
62,"ElementalNormal_Cold2",1085,617,"[20,500,667]","","[20,500,0]"
63,"ElementalNormal_Lightning2",1086,619,"[20,500,667]","","[20,500,0]"
64,"ElementalCruel_Fire",1081,614,[30],"",[]
65,"ElementalCruel_Cold",1082,616,[30],"",[]
66,"ElementalCruel_Lightning",1083,618,[30],"",[]
67,"ElementalCruel_Fire2",1084,615,"[30,500,667]","","[30,500,0]"
68,"ElementalCruel_Cold2",1085,617,"[30,500,667]","","[30,500,0]"
69,"ElementalCruel_Lightning2",1086,619,"[30,500,667]","","[30,500,0]"
70,"ElementalMerciless_Fire",1081,614,[40],"",[]
71,"ElementalMerciless_Cold",1082,616,[40],"",[]
72,"ElementalMerciless_Lightning",1083,618,[40],"",[]
73,"ElementalMerciless_Fire2",1084,615,"[40,500,667]","","[40,500,0]"
74,"ElementalMerciless_Cold2",1085,617,"[40,500,667]","","[40,500,0]"
75,"ElementalMerciless_Lightning2",1086,619,"[40,500,667]","","[40,500,0]"
76,"ElementalEndgame_Fire",1081,614,[60],"",[]
77,"ElementalEndgame_Cold",1082,616,[60],"",[]
78,"ElementalEndgame_Lightning",1083,618,[60],"",[]
79,"ElementalEndgame_Fire2",1084,615,"[60,500,667]","","[60,500,0]"
80,"ElementalEndgame_Cold2",1085,617,"[60,500,667]","","[60,500,0]"
81,"ElementalEndgame_Lightning2",1086,619,"[60,500,667]","","[60,500,0]"
82,"PortalSummon1_Fire",4743,"",[],"",[]
83,"PortalSummon1_Cold",4744,"",[],"",[]
84,"PortalSummon1_Lightning",4745,"",[],"",[]
85,"PortalSummon2_Fire",4746,650,"[500,667]","","[500,0]"
86,"PortalSummon2_Cold",4747,650,"[500,667]","","[500,0]"
87,"PortalSummon2_Lightning",4748,650,"[500,667]","","[500,0]"
88,"GargoylesNormal_Fire",4735,633,[-20],"",[]
89,"GargoylesNormal_Cold",4734,631,"[20,20]","",[]
