"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,9021
1,0,2,9022
2,0,3,9023
3,0,4,9024
4,1,1,9009
5,1,2,9010
6,1,3,9011
7,1,4,9012
8,2,1,9013
9,2,2,9014
10,2,3,9015
11,2,4,9016
12,3,1,9017
13,3,2,9018
14,3,3,9019
15,3,4,9020
16,4,1,9029
17,4,2,9030
18,4,3,9031
19,4,4,9032
20,5,1,9033
21,5,2,9034
22,5,3,9035
23,5,4,9036
24,6,1,9041
25,6,2,9042
26,6,3,9043
27,6,4,9044
28,7,1,9045
29,7,2,9046
30,7,3,9047
31,7,4,9048
32,8,1,9049
33,8,2,9050
34,8,3,9051
35,8,4,9052
36,9,1,9053
37,9,2,9054
38,9,3,9055
39,9,4,9056
40,10,1,9057
41,10,2,9058
42,10,3,9059
43,10,4,9060
44,11,1,9061
45,11,2,9062
46,11,3,9063
47,11,4,9064
48,12,1,9065
49,12,2,9066
50,12,3,9067
51,12,4,9068
52,13,1,9037
53,13,2,9038
54,13,3,9039
55,13,4,9040
56,14,1,9069
57,14,2,9070
58,14,3,9071
59,14,4,9072
60,15,1,9073
61,15,2,9074
62,15,3,9075
63,15,4,9076
