"rownum","BlightTowersKey","i32","MonsterVarietiesKey","Cost","i32"
0,0,1,7389,0,0
1,1,1,7390,100,0
2,2,1,7391,150,0
3,3,1,7392,300,0
4,4,1,7393,500,0
5,5,1,7394,500,0
6,6,11,7395,100,0
7,7,11,7396,150,0
8,8,11,7397,300,0
9,9,11,7398,500,0
10,10,11,7399,500,0
11,11,45,7400,100,0
12,12,45,7401,150,0
13,13,45,7402,300,0
14,14,45,7403,500,0
15,15,45,7404,500,0
16,16,20,7405,100,0
17,17,20,7406,150,0
18,18,20,7407,300,0
19,19,20,7408,500,0
20,20,20,7409,500,0
21,21,6,7410,100,0
22,22,6,7411,150,0
23,23,6,7412,300,0
24,24,6,7413,500,0
25,25,6,7414,500,0
26,26,1,7415,100,0
27,27,1,7416,150,0
28,28,1,7417,300,0
29,29,1,7418,500,0
30,30,1,7419,500,0
