"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey"
0,"Hatred",1,"",2621
1,"Woe",1,"",2622
2,"Greed",1,"",2623
3,"Contempt",1,"",2624
4,"Sorrow",2,"",2625
5,"Anger",2,"",2626
6,"Torment",2,"",2627
7,"Fear",2,"",2628
8,"Suffering",3,"",2629
9,"Rage",3,"",2631
10,"Wrath",3,"",2630
11,"Doubt",3,"",2632
12,"Anguish",4,"",2633
13,"Loathing",4,"",2634
14,"Spite",4,"",2636
15,"Zeal",4,"",2635
16,"Misery",5,"",2637
17,"Dread",5,"",2638
18,"Scorn",5,"",2639
19,"Envy",5,"",2640
20,"Hysteria",6,1,2641
21,"Insanity",6,1,2642
22,"Horror",6,1,2643
23,"Delirium",6,1,2644
24,"NotEssence",0,"",2645
