"rownum","rid","string","string","rid"
0,6413,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveRed","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveRedAlt",""
1,6414,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveGreen","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveGreenAlt",""
2,6415,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActive_Blue","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActive_BlueAlt",""
3,6416,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActivePrismatic","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActivePrismaticAlt",""
4,6417,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",""
5,6418,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",""
6,6419,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",""
7,6420,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyss","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAbyssAlt",""
8,6421,"Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveLegion","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveLegionAlt",""
9,6422,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAltPurple",219
10,6423,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAltBlue",218
11,6424,"","Art/2DArt/UIImages/InGame/PassiveSkillScreenJewelSocketActiveAltRed",217
